time,Philadelphia,pts.away,score,pts.home,San Antonio
10:28.0,,,75-83,2,J. Simmons makes 2-pt shot from 6 ft (assist by K. Leonard)
10:27.0,Philadelphia full timeout,,75-83,,
10:27.0,,,75-83,,D. Dedmon enters the game for D. Lee
10:27.0,,,75-83,,D. Green enters the game for K. Leonard
10:14.0,N. Stauskas misses 3-pt shot from 25 ft,,75-83,,
10:13.0,Offensive rebound by D. Saric,,75-83,,
10:08.0,D. Saric makes 2-pt shot from 3 ft,2,77-83,,
9:55.0,,,77-85,2,D. Green makes 2-pt shot from 7 ft (assist by D. Dedmon)
9:45.0,,,77-85,,Personal foul by D. Dedmon (drawn by J. Okafor)
9:36.0,N. Stauskas misses 3-pt shot from 25 ft,,77-85,,
9:34.0,Offensive rebound by J. Okafor,,77-85,,
9:31.0,J. Okafor makes 2-pt shot from 2 ft,2,79-85,,
9:22.0,,,79-85,,Shooting foul by E. Ilyasova (drawn by J. Simmons)
9:22.0,,,79-86,1,J. Simmons makes free throw 1 of 2
9:22.0,,,79-87,1,J. Simmons makes free throw 2 of 2
9:06.0,Turnover by D. Saric (bad pass; steal by D. Bertans),,79-87,,
9:00.0,,,79-87,,D. Bertans misses 2-pt shot from 23 ft
8:58.0,Defensive rebound by J. Okafor,,79-87,,
8:50.0,T. McConnell misses 2-pt shot from 2 ft (block by D. Dedmon),,79-87,,
8:50.0,Offensive rebound by Team,,79-87,,
8:50.0,,,79-87,,T. Parker enters the game for P. Mills
8:35.0,J. Okafor misses 2-pt shot from 7 ft,,79-87,,
8:33.0,,,79-87,,Defensive rebound by D. Green
8:26.0,,,79-87,,Shooting foul by N. Stauskas (drawn by J. Simmons)
8:26.0,,,79-88,1,J. Simmons makes free throw 1 of 2
8:26.0,,,79-89,1,J. Simmons makes free throw 2 of 2
8:13.0,T. Luwawu-Cabarrot enters the game for D. Saric,,79-89,,
8:01.0,N. Stauskas misses 3-pt shot from 24 ft,,79-89,,
8:01.0,Offensive rebound by Team,,79-89,,
8:01.0,Turnover by Team (shot clock),,79-89,,
7:43.0,,,79-89,,Turnover by D. Bertans (lost ball; steal by T. McConnell)
7:19.0,J. Okafor misses 2-pt shot from 10 ft,,79-89,,
7:17.0,,,79-89,,Defensive rebound by D. Bertans
7:12.0,,,79-91,2,D. Dedmon makes 2-pt shot at rim (assist by T. Parker)
7:12.0,Philadelphia full timeout,,79-91,,
7:12.0,R. Holmes enters the game for J. Okafor,,79-91,,
7:12.0,C. Randle enters the game for N. Stauskas,,79-91,,
7:00.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by C. Randle),3,82-91,,
6:45.0,,,82-91,,J. Simmons misses 2-pt shot from 19 ft
6:43.0,Defensive rebound by C. Randle,,82-91,,
6:25.0,R. Holmes misses 2-pt shot from 9 ft,,82-91,,
6:25.0,,,82-91,,Defensive rebound by T. Parker
6:16.0,,,82-91,,J. Simmons misses 2-pt shot from 1 ft
6:15.0,,,82-91,,Offensive rebound by D. Bertans
6:00.0,,,82-91,,D. Bertans misses 3-pt shot from 22 ft
5:59.0,,,82-91,,Offensive rebound by D. Dedmon
5:58.0,Personal foul by T. McConnell,,82-91,,
5:58.0,D. Saric enters the game for R. Holmes,,82-91,,
5:54.0,,,82-93,2,D. Dedmon makes 2-pt shot at rim (assist by T. Parker)
5:35.0,Turnover by D. Saric (bad pass; steal by D. Green),,82-93,,
5:23.0,,,82-93,,D. Bertans misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by E. Ilyasova,,82-93,,
5:18.0,,,82-93,,Personal foul by J. Simmons (drawn by T. Luwawu-Cabarrot)
5:18.0,,,82-93,,K. Anderson enters the game for D. Bertans
5:18.0,,,82-93,,K. Leonard enters the game for J. Simmons
5:11.0,D. Saric misses 3-pt shot from 24 ft,,82-93,,
5:11.0,,,82-93,,Defensive rebound by K. Leonard
5:04.0,,,82-93,,Shooting foul by T. McConnell (drawn by D. Dedmon)
5:04.0,,,82-94,1,D. Dedmon makes free throw 1 of 2
5:04.0,,,82-95,1,D. Dedmon makes free throw 2 of 2
4:51.0,C. Randle misses 3-pt shot from 25 ft,,82-95,,
4:49.0,,,82-95,,Defensive rebound by K. Anderson
4:44.0,,,82-95,,D. Murray enters the game for T. Parker
4:40.0,,,82-95,,Turnover by D. Murray (bad pass)
4:29.0,Turnover by T. McConnell (lost ball),,82-95,,
4:14.0,,,82-95,,Turnover by K. Leonard (bad pass; steal by E. Ilyasova)
4:06.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,82-95,,
4:03.0,,,82-95,,Defensive rebound by K. Leonard
3:54.0,,,82-97,2,K. Anderson makes 2-pt shot from 8 ft (assist by K. Leonard)
3:53.0,Philadelphia full timeout,,82-97,,
3:53.0,N. Stauskas enters the game for C. Randle,,82-97,,
3:43.0,E. Ilyasova misses 3-pt shot from 25 ft,,82-97,,
3:42.0,,,82-97,,Defensive rebound by K. Anderson
3:33.0,Personal foul by E. Ilyasova (drawn by K. Leonard),,82-97,,
3:33.0,,,82-97,,K. Leonard misses free throw 1 of 2
3:33.0,,,82-97,,Offensive rebound by Team
3:33.0,,,82-98,1,K. Leonard makes free throw 2 of 2
3:33.0,,,82-97,,J. Anthony enters the game for D. Dedmon
3:33.0,S. Rodriguez enters the game for T. McConnell,,82-97,,
3:18.0,Offensive charge foul by D. Saric,,82-98,,
3:18.0,Turnover by D. Saric (offensive foul),,82-98,,
3:18.0,,,82-98,,B. Forbes enters the game for K. Leonard
3:07.0,,,82-98,,Turnover by K. Anderson (bad pass; steal by S. Rodriguez)
3:01.0,E. Ilyasova makes 2-pt shot at rim (assist by S. Rodriguez),2,84-98,,
2:44.0,,,84-98,,B. Forbes misses 2-pt shot from 14 ft (block by N. Stauskas)
2:42.0,Defensive rebound by D. Saric,,84-98,,
2:36.0,D. Saric misses 3-pt shot from 24 ft,,84-98,,
2:35.0,,,84-98,,Defensive rebound by K. Anderson
2:21.0,,,84-98,,D. Green misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by E. Ilyasova,,84-98,,
2:09.0,S. Rodriguez misses 2-pt shot from 19 ft,,84-98,,
2:07.0,,,84-98,,Defensive rebound by D. Green
2:00.0,,,84-98,,Offensive charge foul by D. Murray
2:00.0,,,84-98,,Turnover by D. Murray (offensive foul)
2:00.0,Official timeout,,84-98,,
2:00.0,,,84-98,,J. Simmons enters the game for D. Green
1:59.0,,,84-98,,D. Bertans enters the game for D. Murray
1:50.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,84-98,,
1:50.0,Offensive rebound by T. Luwawu-Cabarrot,,84-98,,
1:47.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,84-98,,
1:45.0,,,84-98,,Defensive rebound by J. Simmons
1:36.0,,,84-100,2,J. Anthony makes 2-pt shot at rim (assist by D. Bertans)
1:36.0,Philadelphia full timeout,,84-100,,
1:36.0,C. Randle enters the game for E. Ilyasova,,84-100,,
1:36.0,R. Holmes enters the game for D. Saric,,84-100,,
1:13.0,S. Rodriguez misses 2-pt shot from 19 ft,,84-100,,
1:12.0,,,84-100,,Defensive rebound by K. Anderson
1:05.0,Personal foul by S. Rodriguez (drawn by K. Anderson),,84-100,,
1:05.0,,,84-101,1,K. Anderson makes free throw 1 of 2
1:05.0,,,84-102,1,K. Anderson makes free throw 2 of 2
0:58.0,Turnover by S. Rodriguez (bad pass),,84-102,,
0:38.0,,,84-102,,J. Simmons misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by T. Luwawu-Cabarrot,,84-102,,
0:21.0,S. Rodriguez makes 2-pt shot from 20 ft,2,86-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
