time,Golden State,pts.away,score,pts.home,Atlanta
7:37.0,,,101-93,,Shooting foul by D. West (drawn by T. Hardaway)
7:37.0,,,101-93,,T. Hardaway misses free throw 1 of 2
7:37.0,,,101-93,,Offensive rebound by Team
7:37.0,,,101-94,1,T. Hardaway makes free throw 2 of 2
7:37.0,,,101-93,,T. Sefolosha enters the game for T. Waller-Prince
7:37.0,P. McCaw enters the game for D. Green,,101-93,,
7:19.0,P. McCaw makes 3-pt shot from 25 ft (assist by S. Livingston),3,104-94,,
7:00.0,,,104-94,,K. Bazemore misses 2-pt shot from 10 ft
6:57.0,Defensive rebound by D. West,,104-94,,
6:52.0,S. Livingston misses 2-pt shot from 1 ft (block by E. Ilyasova),,104-94,,
6:49.0,Offensive rebound by S. Livingston,,104-94,,
6:39.0,Shooting foul by K. Bazemore (drawn by K. Thompson),,104-94,,
6:39.0,K. Thompson makes free throw 1 of 2,1,105-94,,
6:39.0,K. Thompson misses free throw 2 of 2,,105-94,,
6:38.0,,,105-94,,Defensive rebound by D. Howard
6:21.0,,,105-94,,Shooting foul by P. McCaw (drawn by E. Ilyasova)
6:21.0,,,105-95,1,E. Ilyasova makes free throw 1 of 2
6:21.0,,,105-96,1,E. Ilyasova makes free throw 2 of 2
6:21.0,,,105-95,,P. Millsap enters the game for D. Howard
6:21.0,,,105-95,,M. Delaney enters the game for K. Bazemore
6:09.0,A. Iguodala makes 3-pt shot from 25 ft (assist by D. West),3,108-96,,
5:40.0,,,108-99,3,P. Millsap makes 3-pt shot from 26 ft
5:29.0,Golden State full timeout,,108-99,,
5:29.0,,,108-99,,D. Howard enters the game for E. Ilyasova
5:29.0,S. Curry enters the game for K. Thompson,,108-99,,
5:29.0,M. Barnes enters the game for S. Livingston,,108-99,,
5:29.0,D. Green enters the game for D. West,,108-99,,
5:18.0,A. Iguodala misses 3-pt shot from 26 ft,,108-99,,
5:16.0,Offensive rebound by P. McCaw,,108-99,,
5:04.0,M. Barnes misses 3-pt shot from 23 ft,,108-99,,
5:03.0,,,108-99,,Defensive rebound by D. Howard
4:58.0,,,108-99,,Turnover by D. Howard (bad pass; steal by D. Green)
4:53.0,Turnover by M. Barnes (traveling),,108-99,,
4:49.0,,,108-99,,Atlanta full timeout
4:49.0,,,108-99,,K. Bazemore enters the game for M. Delaney
4:42.0,Personal foul by S. Curry (drawn by T. Hardaway),,108-99,,
4:32.0,,,108-99,,P. Millsap misses 2-pt shot from 15 ft
4:30.0,Defensive rebound by P. McCaw,,108-99,,
4:10.0,S. Curry makes 3-pt shot from 23 ft (assist by P. McCaw),3,111-99,,
3:53.0,,,111-102,3,P. Millsap makes 3-pt shot from 25 ft (assist by T. Hardaway)
3:37.0,D. Green misses 3-pt shot from 25 ft,,111-102,,
3:36.0,,,111-102,,Defensive rebound by D. Howard
3:27.0,,,111-102,,K. Bazemore misses 2-pt shot from 1 ft
3:26.0,Defensive rebound by D. Green,,111-102,,
3:22.0,,,111-102,,Personal foul by D. Howard (drawn by D. Green)
3:22.0,,,111-102,,E. Ilyasova enters the game for D. Howard
3:22.0,K. Thompson enters the game for M. Barnes,,111-102,,
3:16.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,114-102,,
2:52.0,,,114-102,,Shooting foul by D. Green (drawn by K. Bazemore)
2:52.0,Official timeout,,114-102,,
2:52.0,,,114-103,1,K. Bazemore makes free throw 1 of 2
2:52.0,,,114-104,1,K. Bazemore makes free throw 2 of 2
2:38.0,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry),3,117-104,,
2:14.0,,,117-106,2,K. Bazemore makes 2-pt shot from 3 ft (assist by T. Hardaway)
1:59.0,S. Curry makes 2-pt shot from 2 ft,2,119-106,,
1:59.0,Shooting foul by T. Sefolosha (drawn by S. Curry),,119-106,,
1:59.0,S. Curry misses free throw 1 of 1,,119-106,,
1:58.0,,,119-106,,Defensive rebound by P. Millsap
1:48.0,,,119-106,,Shooting foul by S. Curry (drawn by K. Bazemore)
1:48.0,,,119-106,,K. Bazemore misses free throw 1 of 2
1:48.0,,,119-106,,Offensive rebound by Team
1:48.0,,,119-107,1,K. Bazemore makes free throw 2 of 2
1:30.0,K. Thompson misses 3-pt shot from 26 ft,,119-107,,
1:29.0,,,119-107,,Defensive rebound by T. Hardaway
1:22.0,,,119-107,,Turnover by T. Hardaway (bad pass; steal by A. Iguodala)
0:59.0,Turnover by Team (shot clock),,119-107,,
0:50.0,,,119-107,,Shooting foul by S. Curry (drawn by T. Hardaway)
0:50.0,,,119-108,1,T. Hardaway makes free throw 1 of 2
0:50.0,,,119-108,,T. Hardaway misses free throw 2 of 2
0:49.0,Defensive rebound by D. Green,,119-108,,
0:34.0,S. Curry misses 3-pt shot from 25 ft,,119-108,,
0:33.0,,,119-108,,Defensive rebound by T. Hardaway
0:25.0,,,119-111,3,K. Bazemore makes 3-pt shot from 26 ft
0:00.0,Turnover by Team (shot clock),,119-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
