time,Philadelphia,pts.away,score,pts.home,Houston
6:15.0,D. Saric enters the game for N. Stauskas,,76-102,,
6:02.0,S. Rodriguez misses 2-pt shot from 19 ft,,76-102,,
5:59.0,,,76-102,,Defensive rebound by K. McDaniels
5:54.0,,,76-102,,Turnover by M. Harrell (lost ball)
5:34.0,T. Luwawu-Cabarrot makes 2-pt shot from 3 ft,2,78-102,,
5:19.0,,,78-104,2,T. Ennis makes 2-pt shot from 3 ft
5:04.0,J. Okafor makes 2-pt shot from 6 ft (assist by D. Saric),2,80-104,,
4:49.0,,,80-106,2,M. Harrell makes 2-pt shot from 4 ft (assist by S. Dekker)
4:49.0,,,80-106,,Shooting foul by E. Ilyasova (drawn by M. Harrell)
4:49.0,,,80-106,,M. Harrell misses free throw 1 of 1
4:49.0,Defensive rebound by D. Saric,,80-106,,
4:49.0,,,80-106,,B. Brown enters the game for C. Brewer
4:24.0,Turnover by Team (shot clock),,80-106,,
4:24.0,R. Holmes enters the game for E. Ilyasova,,80-106,,
4:10.0,,,80-106,,K. McDaniels misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by D. Saric,,80-106,,
4:00.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft,2,82-106,,
3:50.0,,,82-106,,M. Harrell misses 2-pt shot from 19 ft
3:50.0,Defensive rebound by Team,,82-106,,
3:50.0,,,82-106,,Loose ball foul by K. McDaniels (drawn by D. Saric)
3:39.0,D. Saric misses 3-pt shot from 25 ft,,82-106,,
3:38.0,,,82-106,,Defensive rebound by B. Brown
3:28.0,,,82-109,3,K. McDaniels makes 3-pt shot from 24 ft (assist by S. Dekker)
3:28.0,Philadelphia full timeout,,82-109,,
3:28.0,T. McConnell enters the game for D. Saric,,82-109,,
3:28.0,N. Stauskas enters the game for S. Rodriguez,,82-109,,
3:14.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,84-109,,
2:58.0,,,84-112,3,T. Ennis makes 3-pt shot from 25 ft
2:36.0,T. Luwawu-Cabarrot misses 2-pt shot from 6 ft (block by S. Dekker),,84-112,,
2:34.0,Offensive rebound by R. Holmes,,84-112,,
2:31.0,R. Holmes makes 2-pt shot from 3 ft,2,86-112,,
2:21.0,,,86-112,,Turnover by T. Ennis (lost ball; steal by T. McConnell)
2:17.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by M. Harrell),,86-112,,
2:11.0,,,86-112,,S. Dekker misses 2-pt shot from 3 ft
2:07.0,Defensive rebound by N. Stauskas,,86-112,,
2:02.0,N. Stauskas makes 2-pt shot from 2 ft,2,88-112,,
1:47.0,,,88-112,,M. Harrell misses 2-pt shot from 7 ft (block by J. Okafor)
1:44.0,,,88-112,,Offensive rebound by M. Harrell
1:38.0,,,88-112,,Turnover by M. Harrell (bad pass; steal by T. McConnell)
1:33.0,Turnover by T. McConnell (bad pass; steal by T. Ennis),,88-112,,
1:28.0,,,88-112,,B. Brown misses 2-pt shot from 7 ft
1:26.0,Defensive rebound by T. Luwawu-Cabarrot,,88-112,,
1:19.0,R. Holmes misses 2-pt shot from 16 ft,,88-112,,
1:17.0,,,88-112,,Defensive rebound by K. McDaniels
1:14.0,,,88-112,,Turnover by K. McDaniels (bad pass; steal by T. McConnell)
1:08.0,Turnover by T. McConnell (bad pass),,88-112,,
0:57.0,,,88-115,3,T. Ennis makes 3-pt shot from 26 ft (assist by M. Harrell)
0:40.0,J. Okafor misses 2-pt shot from 19 ft,,88-115,,
0:38.0,,,88-115,,Defensive rebound by S. Dekker
0:16.0,,,88-115,,B. Brown misses 3-pt shot from 26 ft
0:14.0,Defensive rebound by R. Holmes,,88-115,,
0:04.0,R. Holmes misses 3-pt shot from 26 ft,,88-115,,
0:02.0,,,88-115,,Defensive rebound by M. Harrell
0:00.0,End of 4th quarter,,,,End of 4th quarter
