time,Milwaukee,pts.away,score,pts.home,Miami
4:46.0,,,36-40,,Defensive rebound by L. Babbitt
4:40.0,,,36-40,,G. Dragic misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by T. Snell,,36-40,,
4:22.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,38-40,,
4:22.0,Shooting foul by W. Reed (drawn by G. Antetokounmpo),,38-40,,
4:22.0,G. Antetokounmpo makes free throw 1 of 1,1,39-40,,
4:22.0,,,38-40,,T. Johnson enters the game for R. McGruder
4:08.0,,,39-40,,G. Dragic misses 2-pt shot from 14 ft
4:07.0,Defensive rebound by T. Snell,,39-40,,
4:01.0,T. Snell makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,42-40,,
3:43.0,,,42-42,2,D. Waiters makes 2-pt shot from 17 ft
3:33.0,J. Parker misses 2-pt shot from 2 ft,,42-42,,
3:32.0,,,42-42,,Defensive rebound by G. Dragic
3:21.0,,,42-44,2,D. Waiters makes 2-pt shot from 2 ft
3:15.0,Shooting foul by L. Babbitt (drawn by G. Antetokounmpo),,42-44,,
3:15.0,G. Antetokounmpo makes free throw 1 of 2,1,43-44,,
3:15.0,,,43-44,,Violation by G. Dragic (lane)
3:15.0,G. Antetokounmpo makes free throw 2 of 2,1,44-44,,
3:15.0,M. Teletovic enters the game for J. Parker,,43-44,,
3:15.0,,,43-44,,J. Johnson enters the game for L. Babbitt
3:03.0,,,44-44,,Offensive foul by W. Reed
3:03.0,,,44-44,,Turnover by W. Reed (offensive foul)
2:51.0,J. Henson makes 2-pt shot from 9 ft (assist by T. Snell),2,46-44,,
2:29.0,,,46-44,,T. Johnson misses 2-pt shot from 17 ft
2:28.0,Defensive rebound by M. Teletovic,,46-44,,
2:22.0,M. Teletovic misses 3-pt shot from 24 ft,,46-44,,
2:21.0,,,46-44,,Defensive rebound by G. Dragic
2:10.0,,,46-44,,D. Waiters misses 2-pt shot from 13 ft
2:09.0,Defensive rebound by G. Antetokounmpo,,46-44,,
2:01.0,T. Snell misses 3-pt shot from 24 ft,,46-44,,
2:00.0,,,46-44,,Defensive rebound by T. Johnson
1:51.0,,,46-44,,T. Johnson misses 2-pt shot from 20 ft
1:50.0,Defensive rebound by J. Henson,,46-44,,
1:40.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,48-44,,
1:20.0,,,48-44,,Turnover by G. Dragic (traveling)
1:20.0,Milwaukee full timeout,,48-44,,
0:59.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,48-44,,
0:58.0,,,48-44,,Defensive rebound by D. Waiters
0:51.0,,,48-44,,D. Waiters misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
0:50.0,,,48-44,,Offensive rebound by Team
0:37.0,,,48-46,2,G. Dragic makes 2-pt shot from 12 ft
0:29.0,M. Dellavedova misses 2-pt shot from 20 ft,,48-46,,
0:27.0,,,48-46,,Defensive rebound by W. Reed
0:05.0,,,48-48,2,D. Waiters makes 2-pt shot from 17 ft (assist by T. Johnson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,48-50,2,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters)
11:24.0,M. Dellavedova misses 2-pt shot from 9 ft,,48-50,,
11:23.0,,,48-50,,Defensive rebound by D. Waiters
11:04.0,,,48-50,,D. Waiters misses 2-pt shot from 17 ft
11:03.0,Defensive rebound by M. Dellavedova,,48-50,,
10:55.0,T. Snell misses 3-pt shot from 24 ft,,48-50,,
10:54.0,,,48-50,,Defensive rebound by H. Whiteside
10:47.0,,,48-52,2,D. Waiters makes 2-pt shot from 2 ft (assist by G. Dragic)
10:26.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,48-52,,
10:25.0,,,48-52,,Defensive rebound by J. Richardson
10:14.0,,,48-52,,J. Richardson misses 2-pt shot from 22 ft
10:13.0,Defensive rebound by M. Dellavedova,,48-52,,
10:03.0,J. Parker misses 2-pt shot from 1 ft,,48-52,,
10:02.0,Offensive rebound by J. Parker,,48-52,,
9:57.0,J. Parker makes 2-pt shot from 3 ft,2,50-52,,
9:35.0,,,50-54,2,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Williams)
9:16.0,J. Henson misses 2-pt shot from 7 ft,,50-54,,
9:15.0,,,50-54,,Defensive rebound by D. Waiters
9:01.0,,,50-54,,D. Williams misses 2-pt shot from 3 ft (block by J. Henson)
9:00.0,Defensive rebound by J. Parker,,50-54,,
8:59.0,Offensive charge foul by J. Parker,,50-54,,
8:59.0,Turnover by J. Parker (offensive foul),,50-54,,
8:44.0,,,50-57,3,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic)
8:31.0,J. Parker misses 3-pt shot from 26 ft,,50-57,,
8:29.0,,,50-57,,Defensive rebound by Team
8:06.0,,,50-57,,J. Richardson misses 3-pt shot from 24 ft (block by J. Parker)
8:05.0,,,50-57,,Offensive rebound by Team
8:05.0,,,50-57,,Turnover by Team (shot clock)
7:47.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,50-57,,
7:46.0,,,50-57,,Defensive rebound by H. Whiteside
7:36.0,,,50-57,,Turnover by G. Dragic (bad pass; steal by M. Dellavedova)
7:32.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,52-57,,
7:16.0,,,52-57,,Shooting foul by T. Snell (drawn by D. Waiters)
7:16.0,,,52-59,2,D. Waiters makes 2-pt shot from 2 ft
7:16.0,,,52-59,,D. Waiters misses free throw 1 of 1
7:15.0,Defensive rebound by J. Henson,,52-59,,
6:52.0,J. Parker misses 2-pt shot from 6 ft,,52-59,,
6:51.0,,,52-59,,Defensive rebound by G. Dragic
6:45.0,,,52-61,2,G. Dragic makes 2-pt shot from 2 ft
6:25.0,J. Henson makes 2-pt shot from 8 ft (assist by G. Antetokounmpo),2,54-61,,
6:25.0,Technical foul by M. Dellavedova,,54-61,,
6:25.0,,,54-62,1,G. Dragic makes technical free throw
6:25.0,M. Brogdon enters the game for J. Parker,,54-62,,
6:25.0,M. Plumlee enters the game for J. Henson,,54-62,,
6:25.0,M. Beasley enters the game for M. Dellavedova,,54-62,,
6:02.0,,,54-62,,G. Dragic misses 2-pt shot from 20 ft
6:01.0,Defensive rebound by G. Antetokounmpo,,54-62,,
5:50.0,M. Beasley misses 2-pt shot from 4 ft,,54-62,,
5:49.0,Offensive rebound by M. Beasley,,54-62,,
5:48.0,M. Beasley misses 2-pt shot from 3 ft,,54-62,,
5:47.0,Offensive rebound by M. Beasley,,54-62,,
5:46.0,M. Beasley misses 2-pt shot from 4 ft (block by H. Whiteside),,54-62,,
5:45.0,Offensive rebound by M. Beasley,,54-62,,
5:44.0,M. Beasley misses 2-pt shot from 3 ft,,54-62,,
5:43.0,,,54-62,,Defensive rebound by Team
5:39.0,Loose ball foul by M. Plumlee (drawn by G. Dragic),,54-62,,
5:39.0,,,54-62,,Miami full timeout
5:13.0,,,54-62,,J. Richardson misses 2-pt shot from 9 ft
5:12.0,Defensive rebound by M. Plumlee,,54-62,,
4:50.0,Turnover by Team (shot clock),,54-62,,
4:33.0,,,54-62,,H. Whiteside misses 2-pt shot from 6 ft
4:32.0,,,54-62,,Offensive rebound by D. Williams
