time,Boston,pts.away,score,pts.home,Chicago
6:15.0,T. Rozier makes 3-pt shot from 26 ft (assist by K. Olynyk),3,92-92,,
5:50.0,,,92-92,,B. Portis misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by I. Thomas,,92-92,,
5:45.0,I. Thomas makes 2-pt shot from 2 ft,2,94-92,,
5:44.0,,,94-92,,Chicago full timeout
5:44.0,A. Horford enters the game for J. Jerebko,,94-92,,
5:44.0,,,94-92,,T. Gibson enters the game for C. Felicio
5:24.0,,,94-92,,J. Grant misses 2-pt shot from 19 ft
5:23.0,Defensive rebound by T. Rozier,,94-92,,
5:12.0,I. Thomas misses 3-pt shot from 26 ft,,94-92,,
5:11.0,,,94-92,,Defensive rebound by D. McDermott
4:58.0,,,94-94,2,J. Butler makes 2-pt shot from 12 ft
4:43.0,I. Thomas misses 2-pt shot from 2 ft (block by B. Portis),,94-94,,
4:41.0,,,94-94,,Defensive rebound by J. Butler
4:29.0,,,94-94,,B. Portis misses 2-pt shot from 20 ft
4:28.0,Defensive rebound by I. Thomas,,94-94,,
4:22.0,K. Olynyk misses 3-pt shot from 25 ft,,94-94,,
4:21.0,,,94-94,,Defensive rebound by T. Gibson
3:57.0,,,94-94,,J. Grant misses 2-pt shot from 13 ft
3:56.0,Defensive rebound by K. Olynyk,,94-94,,
3:42.0,I. Thomas makes 3-pt shot from 27 ft (assist by K. Olynyk),3,97-94,,
3:25.0,,,97-94,,Shooting foul by A. Horford (drawn by J. Butler)
3:25.0,,,97-95,1,J. Butler makes free throw 1 of 2
3:25.0,,,97-96,1,J. Butler makes free throw 2 of 2
3:25.0,M. Smart enters the game for T. Rozier,,97-95,,
3:07.0,I. Thomas misses 3-pt shot from 25 ft,,97-96,,
3:06.0,,,97-96,,Defensive rebound by B. Portis
2:54.0,Personal foul by K. Olynyk (drawn by T. Gibson),,97-96,,
2:54.0,Boston full timeout,,97-96,,
2:54.0,,,97-97,1,T. Gibson makes free throw 1 of 2
2:54.0,,,97-98,1,T. Gibson makes free throw 2 of 2
2:36.0,I. Thomas makes 2-pt shot from 2 ft,2,99-98,,
2:11.0,,,99-98,,J. Grant misses 3-pt shot from 26 ft
2:09.0,Defensive rebound by M. Smart,,99-98,,
1:57.0,K. Olynyk misses 3-pt shot from 25 ft,,99-98,,
1:56.0,Offensive rebound by J. Crowder,,99-98,,
1:56.0,Shooting foul by J. Butler (drawn by I. Thomas),,99-98,,
1:56.0,I. Thomas makes free throw 1 of 2,1,100-98,,
1:56.0,I. Thomas makes free throw 2 of 2,1,101-98,,
1:45.0,Personal foul by I. Thomas (drawn by J. Grant),,101-98,,
1:45.0,,,101-99,1,J. Grant makes free throw 1 of 2
1:45.0,,,101-100,1,J. Grant makes free throw 2 of 2
1:30.0,Shooting foul by T. Gibson (drawn by I. Thomas),,101-100,,
1:30.0,I. Thomas makes free throw 1 of 2,1,102-100,,
1:30.0,I. Thomas makes free throw 2 of 2,1,103-100,,
1:20.0,Personal foul by I. Thomas (drawn by D. McDermott),,103-100,,
1:20.0,,,103-101,1,D. McDermott makes free throw 1 of 2
1:20.0,,,103-102,1,D. McDermott makes free throw 2 of 2
1:10.0,I. Thomas misses 2-pt shot from 2 ft (block by J. Butler),,103-102,,
1:08.0,,,103-102,,Defensive rebound by B. Portis
0:53.0,,,103-102,,J. Butler misses 3-pt shot from 26 ft
0:52.0,,,103-102,,Offensive rebound by T. Gibson
0:50.0,,,103-102,,Chicago full timeout
0:45.0,,,103-102,,J. Grant misses 3-pt shot from 26 ft
0:43.0,,,103-102,,Offensive rebound by J. Butler
0:31.0,,,103-102,,Turnover by J. Butler (lost ball; steal by M. Smart)
0:28.0,Boston full timeout,,103-102,,
0:28.0,,,103-102,,M. Carter-Williams enters the game for D. McDermott
0:08.0,I. Thomas misses 2-pt shot from 23 ft,,103-102,,
0:08.0,,,103-102,,Defensive rebound by M. Carter-Williams
0:08.0,,,103-102,,Chicago full timeout
0:08.0,A. Johnson enters the game for I. Thomas,,103-102,,
0:08.0,J. Young enters the game for K. Olynyk,,103-102,,
0:08.0,,,103-102,,D. McDermott enters the game for M. Carter-Williams
0:01.0,,,103-102,,Shooting foul by M. Smart (drawn by J. Butler)
0:01.0,,,103-103,1,J. Butler makes free throw 1 of 2
0:01.0,,,103-104,1,J. Butler makes free throw 2 of 2
0:01.0,Boston full timeout,,103-104,,
0:01.0,Boston full timeout,,103-104,,
0:01.0,,,103-103,,R. Lopez enters the game for B. Portis
0:01.0,,,103-104,,M. Carter-Williams enters the game for D. McDermott
