time,LA Clippers,pts.away,score,pts.home,Dallas
3:26.0,J. Crawford makes free throw 2 of 2,1,117-88,,
3:26.0,,,116-88,,A. Hammons enters the game for D. Powell
3:09.0,,,117-88,,N. Brussino misses 3-pt shot from 24 ft
3:08.0,,,117-88,,Offensive rebound by A. Hammons
2:58.0,,,117-90,2,J. Anderson makes 2-pt shot from 2 ft (assist by N. Brussino)
2:43.0,B. Bass makes 2-pt shot from 1 ft,2,119-90,,
2:29.0,,,119-90,,J. Anderson misses 2-pt shot at rim
2:27.0,,,119-90,,Offensive rebound by D. Finney-Smith
2:20.0,,,119-92,2,J. Anderson makes 2-pt shot from 6 ft
2:20.0,,,119-92,,Shooting foul by M. Speights (drawn by J. Anderson)
2:20.0,Official timeout,,119-92,,
2:20.0,,,119-93,1,J. Anderson makes free throw 1 of 1
2:07.0,,,119-93,,Personal block foul by D. Finney-Smith (drawn by M. Speights)
2:07.0,M. Speights misses free throw 1 of 2,,119-93,,
2:07.0,Offensive rebound by Team,,119-93,,
2:07.0,M. Speights makes free throw 2 of 2,1,120-93,,
1:58.0,,,120-95,2,D. Finney-Smith makes 2-pt shot from 1 ft (assist by N. Brussino)
1:44.0,B. Bass makes 2-pt shot from 15 ft,2,122-95,,
1:36.0,,,122-95,,A. Hammons misses 2-pt shot from 2 ft
1:35.0,,,122-95,,Offensive rebound by A. Hammons
1:32.0,,,122-98,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by A. Hammons)
1:17.0,B. Bass misses 2-pt shot from 16 ft,,122-98,,
1:16.0,,,122-98,,Defensive rebound by J. Anderson
1:07.0,,,122-98,,J. Anderson misses 2-pt shot from 18 ft
1:06.0,Defensive rebound by M. Speights,,122-98,,
1:03.0,,,122-98,,Personal block foul by J. Anderson (drawn by A. Rivers)
1:03.0,A. Rivers makes free throw 1 of 2,1,123-98,,
1:03.0,A. Rivers makes free throw 2 of 2,1,124-98,,
0:53.0,,,124-101,3,J. Anderson makes 3-pt shot from 23 ft (assist by D. Finney-Smith)
0:36.0,B. Bass misses 2-pt shot from 2 ft (block by N. Brussino),,124-101,,
0:35.0,,,124-101,,Defensive rebound by N. Brussino
0:30.0,,,124-104,3,J. Gibson makes 3-pt shot from 25 ft (assist by N. Brussino)
0:06.0,Turnover by Team (shot clock),,124-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
