time,Charlotte,pts.away,score,pts.home,Golden State
4:15.0,Defensive rebound by J. Lamb,,100-120,,
4:13.0,B. Roberts misses 3-pt shot from 26 ft,,100-120,,
4:11.0,,,100-120,,Defensive rebound by K. Looney
4:07.0,,,100-120,,Golden State full timeout
4:07.0,,,100-120,,D. Jones enters the game for K. Durant
3:54.0,,,100-120,,Turnover by P. McCaw (bad pass; steal by T. Graham)
3:52.0,Shooting foul by K. Looney (drawn by T. Graham),,100-120,,
3:52.0,T. Graham makes free throw 1 of 2,1,101-120,,
3:52.0,T. Graham makes free throw 2 of 2,1,102-120,,
3:33.0,,,102-122,2,I. Clark makes 2-pt shot from 12 ft (assist by J. McAdoo)
3:20.0,,,102-122,,Personal foul by J. McAdoo (drawn by C. Wood)
3:20.0,C. Wood makes free throw 1 of 2,1,103-122,,
3:20.0,C. Wood makes free throw 2 of 2,1,104-122,,
3:03.0,,,104-124,2,D. Jones makes 2-pt shot at rim (assist by J. McAdoo)
2:51.0,T. Graham misses 2-pt shot from 9 ft (block by D. Jones),,104-124,,
2:51.0,,,104-124,,Defensive rebound by P. McCaw
2:28.0,,,104-124,,P. McCaw misses 2-pt shot from 19 ft
2:27.0,Defensive rebound by J. Lamb,,104-124,,
2:19.0,Turnover by J. Lamb (bad pass; steal by I. Clark),,104-124,,
2:07.0,,,104-124,,P. McCaw misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by C. Wood,,104-124,,
1:51.0,T. Graham misses 2-pt shot from 2 ft (block by P. McCaw),,104-124,,
1:49.0,,,104-124,,Defensive rebound by D. Jones
1:37.0,,,104-124,,K. Looney misses 3-pt shot from 26 ft
1:37.0,Defensive rebound by B. Roberts,,104-124,,
1:25.0,J. Lamb misses 3-pt shot from 25 ft,,104-124,,
1:24.0,,,104-124,,Defensive rebound by I. Clark
1:21.0,,,104-124,,Offensive foul by D. Jones
1:21.0,,,104-124,,Turnover by D. Jones (offensive foul)
1:21.0,Official timeout,,104-124,,
1:08.0,C. Wood makes 2-pt shot at rim (assist by B. Roberts),2,106-124,,
0:49.0,,,106-124,,J. McAdoo misses 2-pt shot from 4 ft (block by C. Wood)
0:47.0,Defensive rebound by B. Roberts,,106-124,,
0:44.0,Shooting foul by I. Clark (drawn by B. Roberts),,106-124,,
0:44.0,B. Roberts makes free throw 1 of 2,1,107-124,,
0:44.0,B. Roberts makes free throw 2 of 2,1,108-124,,
0:22.0,,,108-124,,I. Clark misses 2-pt shot from 13 ft
0:20.0,,,108-124,,Offensive rebound by D. Jones
0:20.0,,,108-124,,Shooting foul by T. Graham (drawn by D. Jones)
0:20.0,,,108-125,1,D. Jones makes free throw 1 of 2
0:20.0,,,108-126,1,D. Jones makes free throw 2 of 2
0:10.0,T. Graham makes 3-pt shot from 23 ft (assist by B. Roberts),3,111-126,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
