time,Brooklyn,pts.away,score,pts.home,Phoenix
9:48.0,Y. Ferrell misses 3-pt shot from 25 ft,,90-86,,
9:47.0,,,90-86,,Defensive rebound by B. Knight
9:37.0,,,90-88,2,T. Ulis makes 2-pt shot from 13 ft
9:24.0,,,90-88,,Personal foul by P. Tucker (drawn by Y. Ferrell)
9:24.0,B. Bogdanovic enters the game for Y. Ferrell,,90-88,,
9:12.0,J. Harris misses 3-pt shot from 26 ft,,90-88,,
9:12.0,,,90-88,,Defensive rebound by B. Knight
9:04.0,,,90-88,,Turnover by P. Tucker (lost ball)
8:49.0,L. Scola makes 2-pt shot from 4 ft (assist by R. Foye),2,92-88,,
8:31.0,,,92-88,,B. Knight misses 2-pt shot from 19 ft
8:29.0,Defensive rebound by L. Scola,,92-88,,
8:16.0,J. Harris makes 3-pt shot from 27 ft (assist by B. Bogdanovic),3,95-88,,
8:15.0,,,95-88,,Phoenix full timeout
8:15.0,,,95-88,,E. Bledsoe enters the game for T. Ulis
8:15.0,B. Lopez enters the game for L. Scola,,95-88,,
8:02.0,,,95-88,,D. Booker misses 2-pt shot from 13 ft
8:02.0,Defensive rebound by Team,,95-88,,
7:50.0,Shooting foul by P. Tucker (drawn by B. Lopez),,95-88,,
7:50.0,B. Lopez makes free throw 1 of 2,1,96-88,,
7:50.0,B. Lopez makes free throw 2 of 2,1,97-88,,
7:50.0,,,96-88,,A. Len enters the game for P. Tucker
7:40.0,,,97-88,,Shooting foul by R. Foye (drawn by E. Bledsoe)
7:40.0,,,97-88,,E. Bledsoe misses free throw 1 of 3
7:40.0,,,97-88,,Offensive rebound by Team
7:40.0,,,97-89,1,E. Bledsoe makes free throw 2 of 3
7:40.0,,,97-90,1,E. Bledsoe makes free throw 3 of 3
7:40.0,,,97-89,,T. Warren enters the game for B. Knight
7:28.0,R. Foye misses 2-pt shot from 1 ft,,97-90,,
7:26.0,,,97-90,,Defensive rebound by A. Len
7:16.0,,,97-90,,A. Len misses 2-pt shot from 2 ft
7:14.0,,,97-90,,Offensive rebound by T. Warren
7:14.0,,,97-92,2,T. Warren makes 2-pt shot from 2 ft
7:01.0,B. Lopez misses 2-pt shot from 4 ft (block by A. Len),,97-92,,
7:00.0,,,97-92,,Defensive rebound by J. Dudley
6:53.0,,,97-92,,A. Len misses 2-pt shot from 2 ft (block by B. Lopez)
6:53.0,,,97-92,,Offensive rebound by Team
6:53.0,S. Kilpatrick enters the game for R. Foye,,97-92,,
6:48.0,,,97-94,2,T. Warren makes 2-pt shot from 18 ft (assist by J. Dudley)
6:33.0,R. Hollis-Jefferson enters the game for J. Harris,,97-94,,
6:33.0,Jump ball: B. Bogdanovic vs. D. Booker (J. Hamilton gains possession),,,,Jump ball: B. Bogdanovic vs. D. Booker (J. Hamilton gains possession)
6:22.0,R. Hollis-Jefferson makes 2-pt shot from 6 ft,2,99-94,,
6:15.0,,,99-94,,J. Dudley misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by S. Kilpatrick,,99-94,,
6:08.0,J. Hamilton makes 3-pt shot from 24 ft (assist by S. Kilpatrick),3,102-94,,
5:49.0,,,102-94,,E. Bledsoe misses 2-pt shot from 18 ft
5:47.0,Defensive rebound by B. Lopez,,102-94,,
5:37.0,Turnover by S. Kilpatrick (lost ball; steal by T. Warren),,102-94,,
5:32.0,,,102-94,,T. Warren misses 2-pt shot from 1 ft
5:29.0,Defensive rebound by R. Hollis-Jefferson,,102-94,,
5:22.0,S. Kilpatrick misses 3-pt shot from 24 ft,,102-94,,
5:21.0,,,102-94,,Defensive rebound by A. Len
5:00.0,,,102-96,2,D. Booker makes 2-pt shot from 12 ft (assist by E. Bledsoe)
4:46.0,Turnover by S. Kilpatrick (bad pass; steal by E. Bledsoe),,102-96,,
4:41.0,,,102-98,2,D. Booker makes 2-pt shot from 1 ft (assist by T. Warren)
4:41.0,Brooklyn full timeout,,102-98,,
4:41.0,T. Booker enters the game for J. Hamilton,,102-98,,
4:25.0,B. Lopez misses 2-pt shot from 5 ft,,102-98,,
4:24.0,,,102-98,,Defensive rebound by J. Dudley
4:16.0,,,102-100,2,D. Booker makes 2-pt shot from 9 ft
4:04.0,S. Kilpatrick misses 2-pt shot from 13 ft,,102-100,,
4:02.0,,,102-100,,Defensive rebound by D. Booker
3:56.0,,,102-100,,D. Booker misses 2-pt shot from 20 ft
3:55.0,Defensive rebound by T. Booker,,102-100,,
3:48.0,T. Booker makes 2-pt shot at rim,2,104-100,,
3:30.0,,,104-100,,E. Bledsoe misses 3-pt shot from 26 ft
3:30.0,Defensive rebound by R. Hollis-Jefferson,,104-100,,
3:18.0,Shooting foul by J. Dudley (drawn by T. Booker),,104-100,,
3:18.0,T. Booker makes free throw 1 of 2,1,105-100,,
3:18.0,T. Booker makes free throw 2 of 2,1,106-100,,
3:02.0,,,106-100,,J. Dudley misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by R. Hollis-Jefferson,,106-100,,
2:49.0,Shooting foul by J. Dudley (drawn by R. Hollis-Jefferson),,106-100,,
2:49.0,Official timeout,,106-100,,
2:49.0,R. Hollis-Jefferson makes free throw 1 of 2,1,107-100,,
2:49.0,R. Hollis-Jefferson makes free throw 2 of 2,1,108-100,,
2:40.0,,,108-100,,E. Bledsoe misses 2-pt shot from 12 ft
2:39.0,Defensive rebound by B. Bogdanovic,,108-100,,
2:25.0,T. Booker makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson),2,110-100,,
2:09.0,,,110-100,,Turnover by E. Bledsoe (bad pass)
1:47.0,B. Lopez makes 3-pt shot from 28 ft (assist by R. Hollis-Jefferson),3,113-100,,
1:47.0,,,113-100,,Phoenix full timeout
1:43.0,,,113-100,,J. Dudley misses 3-pt shot from 26 ft
1:43.0,Defensive rebound by R. Hollis-Jefferson,,113-100,,
1:33.0,Shooting foul by A. Len (drawn by T. Booker),,113-100,,
1:33.0,,,113-100,,Technical foul by A. Len (drawn by T. Booker)
1:33.0,B. Bogdanovic makes technical free throw,1,114-100,,
1:33.0,T. Booker makes free throw 1 of 2,1,115-100,,
1:33.0,T. Booker makes free throw 2 of 2,1,116-100,,
1:33.0,J. Harris enters the game for B. Lopez,,115-100,,
1:32.0,,,116-100,,Phoenix full timeout
1:32.0,,,116-100,,M. Chriss enters the game for T. Warren
1:32.0,,,116-100,,T. Ulis enters the game for A. Len
1:32.0,,,116-100,,D. Bender enters the game for D. Booker
1:32.0,,,116-100,,J. Jenkins enters the game for E. Bledsoe
1:32.0,,,116-100,,A. Williams enters the game for J. Dudley
1:32.0,A. Bennett enters the game for R. Hollis-Jefferson,,116-100,,
1:32.0,Y. Ferrell enters the game for T. Booker,,116-100,,
1:17.0,,,116-100,,M. Chriss misses 2-pt shot from 19 ft
1:16.0,Defensive rebound by A. Bennett,,116-100,,
0:57.0,S. Kilpatrick makes 3-pt shot from 27 ft,3,119-100,,
0:48.0,,,119-100,,J. Jenkins misses 3-pt shot from 24 ft
0:47.0,,,119-100,,Offensive rebound by M. Chriss
0:47.0,,,119-102,2,M. Chriss makes 2-pt shot at rim
0:28.0,J. Harris makes 3-pt shot from 27 ft (assist by S. Kilpatrick),3,122-102,,
0:19.0,,,122-104,2,A. Williams makes 2-pt shot from 6 ft (assist by T. Ulis)
0:00.0,End of 4th quarter,,,,End of 4th quarter
