time,Phoenix,pts.away,score,pts.home,Atlanta
8:33.0,Offensive rebound by T. Warren,,73-71,,
8:33.0,Shooting foul by T. Hardaway,,73-71,,
8:33.0,T. Warren makes free throw 1 of 2,1,74-71,,
8:33.0,T. Warren makes free throw 2 of 2,1,75-71,,
8:23.0,,,75-71,,T. Hardaway misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by Team,,75-71,,
8:01.0,J. Eddie misses 3-pt shot from 25 ft,,75-71,,
7:59.0,Offensive rebound by A. Williams,,75-71,,
7:53.0,R. Price makes 3-pt shot from 23 ft (assist by T. Warren),3,78-71,,
7:34.0,,,78-74,3,D. Schroder makes 3-pt shot from 25 ft
7:19.0,A. Williams misses 2-pt shot from 8 ft,,78-74,,
7:17.0,,,78-74,,Defensive rebound by E. Ilyasova
7:07.0,,,78-77,3,D. Schroder makes 3-pt shot from 24 ft (assist by E. Ilyasova)
7:06.0,Phoenix full timeout,,78-77,,
7:06.0,T. Ulis enters the game for J. Eddie,,78-77,,
7:06.0,,,78-77,,T. Waller-Prince enters the game for T. Hardaway
6:56.0,T. Warren misses 2-pt shot from 17 ft,,78-77,,
6:54.0,,,78-77,,Defensive rebound by D. Schroder
6:49.0,,,78-79,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Schroder)
6:20.0,T. Ulis misses 3-pt shot from 24 ft,,78-79,,
6:17.0,,,78-79,,Defensive rebound by J. Calderon
6:11.0,,,78-79,,E. Ilyasova misses 3-pt shot from 23 ft
6:08.0,Defensive rebound by J. Dudley,,78-79,,
6:05.0,Offensive charge foul by T. Warren,,78-79,,
6:05.0,Turnover by T. Warren (offensive foul),,78-79,,
6:05.0,D. Jones enters the game for T. Warren,,78-79,,
5:52.0,,,78-79,,D. Schroder misses 2-pt shot from 12 ft
5:49.0,Defensive rebound by D. Jones,,78-79,,
5:42.0,T. Ulis misses 2-pt shot from 13 ft,,78-79,,
5:40.0,,,78-79,,Defensive rebound by E. Ilyasova
5:34.0,,,78-81,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by J. Calderon)
5:34.0,,,78-81,,Shooting foul by A. Williams (drawn by T. Waller-Prince)
5:34.0,,,78-82,1,T. Waller-Prince makes free throw 1 of 1
5:34.0,M. Chriss enters the game for A. Williams,,78-81,,
5:15.0,J. Dudley misses 3-pt shot from 25 ft,,78-82,,
5:14.0,,,78-82,,Defensive rebound by D. Schroder
4:58.0,,,78-82,,Turnover by D. Schroder (bad pass; steal by R. Price)
4:52.0,Shooting foul by T. Waller-Prince (drawn by M. Chriss),,78-82,,
4:52.0,M. Chriss misses free throw 1 of 2,,78-82,,
4:52.0,Offensive rebound by Team,,78-82,,
4:52.0,M. Chriss makes free throw 2 of 2,1,79-82,,
4:41.0,,,79-82,,E. Ilyasova misses 3-pt shot from 25 ft
4:38.0,,,79-82,,Offensive rebound by D. Howard
4:36.0,,,79-84,2,D. Howard makes 2-pt shot at rim
4:25.0,M. Chriss misses 3-pt shot from 24 ft,,79-84,,
4:23.0,,,79-84,,Defensive rebound by T. Waller-Prince
4:07.0,,,79-84,,Turnover by J. Calderon (bad pass; steal by J. Dudley)
4:05.0,Turnover by J. Dudley (lost ball; steal by E. Ilyasova),,79-84,,
4:05.0,Personal foul by J. Dudley (drawn by E. Ilyasova),,79-84,,
4:05.0,,,79-85,1,E. Ilyasova makes free throw 1 of 2
4:05.0,,,79-86,1,E. Ilyasova makes free throw 2 of 2
4:05.0,Phoenix full timeout,,79-86,,
4:05.0,T. Warren enters the game for R. Price,,79-86,,
3:53.0,Turnover by M. Chriss (offensive foul),,79-86,,
3:53.0,Offensive foul by M. Chriss,,79-86,,
3:53.0,A. Len enters the game for M. Chriss,,79-86,,
3:40.0,,,79-86,,D. Schroder misses 3-pt shot from 25 ft
3:38.0,,,79-86,,Offensive rebound by E. Ilyasova
3:38.0,,,79-86,,E. Ilyasova misses 2-pt shot from 1 ft
3:36.0,,,79-86,,Offensive rebound by D. Howard
3:27.0,,,79-86,,Shooting foul by T. Ulis (drawn by J. Calderon)
3:27.0,,,79-87,1,J. Calderon makes free throw 1 of 2
3:27.0,,,79-88,1,J. Calderon makes free throw 2 of 2
3:12.0,J. Dudley misses 2-pt shot from 20 ft,,79-88,,
3:10.0,,,79-88,,Defensive rebound by E. Ilyasova
2:52.0,,,79-88,,D. Howard misses 2-pt shot from 3 ft
2:51.0,Defensive rebound by J. Dudley,,79-88,,
2:46.0,T. Warren makes 2-pt shot at rim (assist by J. Dudley),2,81-88,,
2:21.0,,,81-90,2,J. Calderon makes 2-pt shot from 19 ft (assist by D. Howard)
2:03.0,A. Len misses 2-pt shot from 3 ft (block by D. Howard),,81-90,,
2:01.0,,,81-90,,Defensive rebound by E. Ilyasova
1:59.0,,,81-90,,T. Waller-Prince misses 2-pt shot from 3 ft (block by T. Warren)
1:59.0,Defensive rebound by Team,,81-90,,
1:52.0,T. Ulis makes 2-pt shot from 17 ft,2,83-90,,
1:40.0,,,83-90,,D. Schroder misses 2-pt shot from 3 ft (block by J. Dudley)
1:40.0,,,83-90,,Offensive rebound by Team
1:38.0,,,83-92,2,D. Schroder makes 2-pt shot from 18 ft (assist by J. Calderon)
1:32.0,T. Ulis misses 3-pt shot from 24 ft,,83-92,,
1:29.0,,,83-92,,Defensive rebound by D. Howard
1:16.0,,,83-92,,J. Calderon misses 2-pt shot from 17 ft
1:14.0,Defensive rebound by T. Ulis,,83-92,,
1:11.0,D. Jones makes 2-pt shot at rim (assist by T. Ulis),2,85-92,,
0:58.0,,,85-92,,T. Waller-Prince misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by Team,,85-92,,
0:57.0,,,85-92,,Loose ball foul by D. Howard (drawn by A. Len)
0:57.0,A. Len makes free throw 1 of 2,1,86-92,,
0:57.0,A. Len misses free throw 2 of 2,,86-92,,
0:56.0,,,86-92,,Defensive rebound by D. Howard
0:41.0,,,86-92,,D. Schroder misses 2-pt shot from 1 ft
0:39.0,Defensive rebound by A. Len,,86-92,,
0:34.0,Shooting foul by E. Ilyasova (drawn by T. Ulis),,86-92,,
0:34.0,T. Ulis makes free throw 1 of 2,1,87-92,,
0:34.0,T. Ulis makes free throw 2 of 2,1,88-92,,
0:13.0,,,88-94,2,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder)
0:13.0,,,88-94,,Shooting foul by J. Dudley (drawn by D. Howard)
0:13.0,,,88-95,1,D. Howard makes free throw 1 of 1
0:13.0,Phoenix full timeout,,88-95,,
0:13.0,A. Williams enters the game for J. Dudley,,88-94,,
0:13.0,M. Chriss enters the game for T. Ulis,,88-94,,
0:13.0,T. Ulis enters the game for A. Len,,88-95,,
0:13.0,J. Eddie enters the game for A. Williams,,88-95,,
0:07.0,J. Eddie misses 3-pt shot from 25 ft,,88-95,,
0:05.0,Offensive rebound by Team,,88-95,,
0:01.0,M. Chriss makes 3-pt shot from 25 ft (assist by T. Ulis),3,91-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
