time,Denver,pts.away,score,pts.home,Indiana
3:26.0,D. Gallinari misses 3-pt shot from 25 ft,,111-100,,
3:26.0,,,111-100,,Defensive rebound by J. Teague
3:18.0,,,111-103,3,J. Teague makes 3-pt shot from 26 ft (assist by P. George)
3:17.0,Denver full timeout,,111-103,,
2:59.0,J. Nelson misses 3-pt shot from 25 ft,,111-103,,
2:58.0,Offensive rebound by W. Chandler,,111-103,,
2:38.0,D. Gallinari misses 3-pt shot from 26 ft,,111-103,,
2:37.0,,,111-103,,Defensive rebound by P. George
2:15.0,,,111-105,2,J. Teague makes 2-pt shot from 11 ft
1:58.0,,,111-105,,Personal foul by J. Teague (drawn by N. Jokic)
1:58.0,N. Jokic makes free throw 1 of 2,1,112-105,,
1:58.0,N. Jokic makes free throw 2 of 2,1,113-105,,
1:47.0,,,113-108,3,P. George makes 3-pt shot from 25 ft (assist by M. Ellis)
1:28.0,N. Jokic makes 3-pt shot from 25 ft (assist by W. Chandler),3,116-108,,
1:28.0,,,116-108,,Indiana full timeout
1:28.0,M. Plumlee enters the game for N. Jokic,,116-108,,
1:28.0,,,116-108,,Turnover by Team (5 sec inbounds)
1:28.0,N. Jokic enters the game for M. Plumlee,,116-108,,
1:15.0,N. Jokic makes 2-pt shot from 8 ft (assist by D. Gallinari),2,118-108,,
1:08.0,,,118-110,2,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague)
1:08.0,,,118-110,,Shooting foul by N. Jokic (drawn by M. Turner)
1:08.0,,,118-111,1,M. Turner makes free throw 1 of 1
0:47.0,D. Gallinari misses 2-pt shot from 6 ft (block by P. George),,118-111,,
0:47.0,Offensive rebound by D. Gallinari,,118-111,,
0:47.0,Shooting foul by M. Turner (drawn by D. Gallinari),,118-111,,
0:47.0,D. Gallinari makes free throw 1 of 2,1,119-111,,
0:47.0,,,119-111,,Violation by M. Ellis (lane)
0:47.0,D. Gallinari makes free throw 2 of 2,1,120-111,,
0:47.0,,,120-111,,Indiana full timeout
0:47.0,M. Plumlee enters the game for N. Jokic,,119-111,,
0:47.0,,,120-111,,C. Miles enters the game for T. Young
0:42.0,Away from play foul by W. Chandler (drawn by P. George),,120-111,,
0:42.0,,,120-111,,P. George misses free throw 1 of 1
0:42.0,,,120-111,,Offensive rebound by Team
0:36.0,,,120-114,3,M. Ellis makes 3-pt shot from 25 ft (assist by J. Teague)
0:32.0,,,120-114,,Personal take foul by C. Miles
0:32.0,D. Gallinari makes free throw 1 of 2,1,121-114,,
0:32.0,D. Gallinari makes free throw 2 of 2,1,122-114,,
0:32.0,,,122-114,,Indiana full timeout
0:23.0,,,122-114,,C. Miles misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by M. Plumlee,,122-114,,
0:22.0,,,122-114,,Personal take foul by C. Miles
0:22.0,M. Plumlee misses free throw 1 of 2,,122-114,,
0:22.0,Offensive rebound by Team,,122-114,,
0:22.0,M. Plumlee makes free throw 2 of 2,1,123-114,,
0:22.0,,,122-114,,T. Young enters the game for C. Miles
0:09.0,,,123-117,3,M. Ellis makes 3-pt shot from 28 ft
0:09.0,,,123-117,,Personal take foul by T. Young (drawn by G. Harris)
0:09.0,G. Harris makes free throw 1 of 2,1,124-117,,
0:09.0,G. Harris makes free throw 2 of 2,1,125-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
