time,Atlanta,pts.away,score,pts.home,Denver
6:32.0,D. Bembry makes 2-pt shot from 3 ft,2,91-92,,
6:12.0,,,91-92,,N. Jokic misses 2-pt shot from 9 ft
6:11.0,,,91-92,,Offensive rebound by J. Nelson
6:09.0,,,91-92,,Shooting foul by K. Bazemore (drawn by D. Gallinari)
6:09.0,,,91-93,1,D. Gallinari makes free throw 1 of 2
6:09.0,,,91-94,1,D. Gallinari makes free throw 2 of 2
6:09.0,D. Schroder enters the game for K. Bazemore,,91-93,,
6:09.0,,,91-93,,G. Harris enters the game for J. Murray
5:54.0,D. Schroder makes 2-pt shot from 2 ft,2,93-94,,
5:54.0,,,93-94,,Denver full timeout
5:54.0,,,93-94,,E. Mudiay enters the game for D. Gallinari
5:54.0,,,93-94,,W. Chandler enters the game for J. Nelson
5:33.0,,,93-96,2,G. Harris makes 2-pt shot from 5 ft
5:24.0,D. Schroder misses 2-pt shot from 2 ft (block by N. Jokic),,93-96,,
5:23.0,,,93-96,,Defensive rebound by Team
5:13.0,Personal foul by P. Millsap (drawn by N. Jokic),,93-96,,
5:13.0,,,93-96,,N. Jokic misses free throw 1 of 2
5:13.0,,,93-96,,Offensive rebound by Team
5:13.0,,,93-97,1,N. Jokic makes free throw 2 of 2
5:00.0,P. Millsap misses 2-pt shot from 2 ft (block by N. Jokic),,93-97,,
4:59.0,,,93-97,,Defensive rebound by W. Chandler
4:59.0,,,93-97,,Offensive foul by N. Jokic
4:59.0,,,93-97,,Turnover by N. Jokic (offensive foul)
4:59.0,,,93-97,,D. Arthur enters the game for N. Jokic
4:59.0,K. Bazemore enters the game for T. Sefolosha,,93-97,,
4:50.0,Turnover by K. Bazemore (traveling),,93-97,,
4:50.0,Technical foul by Team,,93-97,,
4:50.0,,,93-98,1,W. Barton makes technical free throw
4:33.0,,,93-98,,W. Chandler misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by D. Schroder,,93-98,,
4:15.0,P. Millsap misses 2-pt shot from 2 ft,,93-98,,
4:14.0,,,93-98,,Defensive rebound by E. Mudiay
4:09.0,,,93-98,,Shooting foul by M. Delaney (drawn by E. Mudiay)
4:09.0,,,93-99,1,E. Mudiay makes free throw 1 of 2
4:09.0,,,93-100,1,E. Mudiay makes free throw 2 of 2
4:09.0,M. Muscala enters the game for D. Bembry,,93-99,,
3:54.0,D. Schroder makes 2-pt shot from 2 ft (assist by M. Muscala),2,95-100,,
3:54.0,Shooting foul by W. Chandler (drawn by D. Schroder),,95-100,,
3:54.0,D. Schroder makes free throw 1 of 1,1,96-100,,
3:42.0,,,96-100,,Turnover by D. Arthur (offensive foul)
3:42.0,,,96-100,,Offensive foul by D. Arthur
3:23.0,K. Bazemore misses 3-pt shot from 26 ft,,96-100,,
3:22.0,,,96-100,,Defensive rebound by E. Mudiay
3:16.0,,,96-102,2,E. Mudiay makes 2-pt shot from 1 ft
2:58.0,Shooting foul by W. Chandler (drawn by P. Millsap),,96-102,,
2:58.0,Official timeout,,96-102,,
2:58.0,P. Millsap makes free throw 1 of 2,1,97-102,,
2:58.0,P. Millsap misses free throw 2 of 2,,97-102,,
2:58.0,T. Sefolosha enters the game for K. Bazemore,,96-102,,
2:58.0,,,96-102,,N. Jokic enters the game for D. Arthur
2:56.0,Offensive rebound by P. Millsap,,97-102,,
2:53.0,Atlanta full timeout,,97-102,,
2:50.0,M. Muscala makes 3-pt shot from 27 ft (assist by T. Sefolosha),3,100-102,,
2:30.0,,,100-104,2,W. Barton makes 2-pt shot from 11 ft (assist by E. Mudiay)
2:15.0,D. Schroder misses 2-pt shot from 2 ft,,100-104,,
2:14.0,,,100-104,,Defensive rebound by W. Chandler
2:04.0,,,100-104,,Shooting foul by M. Muscala (drawn by E. Mudiay)
2:04.0,,,100-105,1,E. Mudiay makes free throw 1 of 2
2:04.0,,,100-106,1,E. Mudiay makes free throw 2 of 2
2:04.0,,,100-105,,D. Arthur enters the game for N. Jokic
1:49.0,P. Millsap misses 3-pt shot from 26 ft,,100-106,,
1:48.0,,,100-106,,Defensive rebound by W. Chandler
1:43.0,Personal foul by M. Delaney (drawn by E. Mudiay),,100-106,,
1:43.0,,,100-107,1,E. Mudiay makes free throw 1 of 2
1:43.0,,,100-108,1,E. Mudiay makes free throw 2 of 2
1:38.0,,,100-108,,Personal foul by G. Harris (drawn by D. Schroder)
1:38.0,D. Schroder makes free throw 1 of 2,1,101-108,,
1:38.0,D. Schroder makes free throw 2 of 2,1,102-108,,
1:13.0,,,102-108,,E. Mudiay misses 3-pt shot from 23 ft
1:12.0,Defensive rebound by D. Schroder,,102-108,,
1:08.0,Shooting foul by D. Arthur (drawn by D. Schroder),,102-108,,
1:08.0,D. Schroder makes free throw 1 of 2,1,103-108,,
1:08.0,D. Schroder makes free throw 2 of 2,1,104-108,,
1:08.0,,,103-108,,N. Jokic enters the game for D. Arthur
0:44.0,,,104-108,,W. Barton misses 3-pt shot from 26 ft
0:43.0,Defensive rebound by D. Schroder,,104-108,,
0:43.0,,,104-108,,Loose ball foul by N. Jokic (drawn by T. Sefolosha)
0:43.0,,,104-108,,Technical foul by Team
0:43.0,D. Schroder makes technical free throw,1,105-108,,
0:43.0,T. Sefolosha makes free throw 1 of 2,1,106-108,,
0:43.0,T. Sefolosha makes free throw 2 of 2,1,107-108,,
0:43.0,,,107-108,,Denver full timeout
0:43.0,,,104-108,,D. Arthur enters the game for N. Jokic
0:33.0,,,107-108,,W. Chandler misses 2-pt shot from 6 ft
0:33.0,Defensive rebound by P. Millsap,,107-108,,
0:18.0,D. Schroder misses 2-pt shot from 3 ft (block by G. Harris),,107-108,,
0:16.0,,,107-108,,Defensive rebound by E. Mudiay
0:16.0,,,107-108,,Turnover by E. Mudiay (step out of bounds)
0:16.0,Atlanta full timeout,,107-108,,
0:06.0,Shooting foul by D. Arthur (drawn by P. Millsap),,107-108,,
0:06.0,P. Millsap makes free throw 1 of 2,1,108-108,,
0:06.0,P. Millsap makes free throw 2 of 2,1,109-108,,
0:06.0,,,109-108,,Denver full timeout
0:06.0,,,108-108,,K. Faried enters the game for G. Harris
0:06.0,K. Humphries enters the game for M. Delaney,,108-108,,
0:06.0,K. Bazemore enters the game for K. Humphries,,109-108,,
0:06.0,,,109-108,,G. Harris enters the game for K. Faried
0:02.0,,,109-108,,W. Chandler misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by P. Millsap,,109-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
