time,Denver,pts.away,score,pts.home,Washington
1:30.0,D. Gallinari misses 3-pt shot from 25 ft,,85-90,,
1:29.0,,,85-90,,Defensive rebound by K. Oubre
1:20.0,,,85-90,,B. Beal misses 3-pt shot from 23 ft
1:18.0,,,85-90,,Offensive rebound by K. Oubre
1:16.0,,,85-90,,K. Oubre misses 2-pt shot from 1 ft
1:15.0,Defensive rebound by J. Nelson,,85-90,,
1:03.0,W. Chandler misses 3-pt shot from 23 ft,,85-90,,
1:01.0,Offensive rebound by Team,,85-90,,
0:58.0,W. Barton misses 3-pt shot from 24 ft,,85-90,,
0:57.0,Offensive rebound by W. Chandler,,85-90,,
0:54.0,D. Gallinari misses 3-pt shot from 29 ft,,85-90,,
0:53.0,Offensive rebound by W. Barton,,85-90,,
0:49.0,J. Nelson misses 3-pt shot from 23 ft,,85-90,,
0:47.0,,,85-90,,Defensive rebound by B. Beal
0:46.0,,,85-90,,Washington full timeout
0:46.0,A. Gee enters the game for D. Gallinari,,85-90,,
0:30.0,,,85-90,,Offensive foul by J. Wall
0:30.0,,,85-90,,Turnover by J. Wall (offensive foul)
0:30.0,Denver full timeout,,85-90,,
0:30.0,D. Gallinari enters the game for A. Gee,,85-90,,
0:21.0,W. Chandler misses 3-pt shot from 26 ft,,85-90,,
0:19.0,,,85-90,,Defensive rebound by J. Wall
0:15.0,Personal take foul by N. Jokic (drawn by J. Wall),,85-90,,
0:15.0,,,85-91,1,J. Wall makes free throw 1 of 2
0:15.0,,,85-92,1,J. Wall makes free throw 2 of 2
0:15.0,Denver full timeout,,85-92,,
0:15.0,Turnover by Team (5 sec inbounds),,85-92,,
0:15.0,,,85-92,,M. Morris enters the game for M. Gortat
0:00.0,End of 4th quarter,,,,End of 4th quarter
