time,Toronto,pts.away,score,pts.home,Detroit
0:08.0,,,104-102,,Personal foul by I. Smith (drawn by J. Valanciunas)
0:07.0,,,104-102,,Personal foul by T. Harris (drawn by J. Valanciunas)
0:07.0,J. Valanciunas misses free throw 1 of 2,,104-102,,
0:07.0,Offensive rebound by Team,,104-102,,
0:07.0,J. Valanciunas makes free throw 2 of 2,1,105-102,,
0:07.0,,,105-102,,Detroit full timeout
0:07.0,C. Joseph enters the game for J. Valanciunas,,105-102,,
0:06.0,,,105-102,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:05.0,,,105-102,,Offensive rebound by A. Drummond
0:03.0,,,105-102,,T. Harris misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by K. Lowry,,105-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
