time,Charlotte,pts.away,score,pts.home,Indiana
5:09.0,,,84-91,,Defensive rebound by G. Robinson
4:49.0,,,84-93,2,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague)
4:30.0,Shooting foul by G. Robinson (drawn by M. Belinelli),,84-93,,
4:30.0,M. Belinelli makes free throw 1 of 3,1,85-93,,
4:30.0,M. Belinelli makes free throw 2 of 3,1,86-93,,
4:30.0,M. Belinelli makes free throw 3 of 3,1,87-93,,
4:18.0,,,87-95,2,P. George makes 2-pt shot from 22 ft (assist by J. Teague)
3:55.0,M. Belinelli makes 3-pt shot from 27 ft (assist by M. Williams),3,90-95,,
3:38.0,,,90-97,2,P. George makes 2-pt shot from 16 ft (assist by J. Teague)
3:18.0,M. Belinelli misses 3-pt shot from 27 ft,,90-97,,
3:14.0,,,90-97,,Defensive rebound by T. Young
3:09.0,,,90-99,2,T. Young makes 2-pt shot from 2 ft
3:08.0,Charlotte full timeout,,90-99,,
2:58.0,Turnover by K. Walker (bad pass; steal by P. George),,90-99,,
2:47.0,Personal foul by N. Batum (drawn by P. George),,90-99,,
2:42.0,,,90-99,,Offensive foul by P. George
2:42.0,,,90-99,,Turnover by P. George (offensive foul)
2:17.0,K. Walker makes 2-pt shot from 2 ft,2,92-99,,
2:05.0,Personal foul by N. Batum (drawn by P. George),,92-99,,
1:52.0,,,92-101,2,P. George makes 2-pt shot from 16 ft
1:44.0,K. Walker misses 2-pt shot from 4 ft (block by M. Turner),,92-101,,
1:44.0,Offensive rebound by Team,,92-101,,
1:37.0,C. Zeller misses 2-pt shot from 5 ft,,92-101,,
1:37.0,,,92-101,,Defensive rebound by P. George
1:25.0,Violation by N. Batum (kicked ball),,92-101,,
1:12.0,,,92-104,3,M. Turner makes 3-pt shot from 26 ft (assist by J. Teague)
1:02.0,K. Walker misses 3-pt shot from 28 ft,,92-104,,
1:01.0,,,92-104,,Defensive rebound by G. Robinson
0:40.0,,,92-107,3,J. Teague makes 3-pt shot from 27 ft
0:40.0,Charlotte full timeout,,92-107,,
0:32.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,94-107,,
0:11.0,,,94-110,3,J. Teague makes 3-pt shot from 27 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
