time,Detroit,pts.away,score,pts.home,Sacramento
1:55.0,,,92-95,3,G. Temple makes 3-pt shot from 25 ft (assist by R. Gay)
1:41.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,92-95,,
1:40.0,,,92-95,,Defensive rebound by D. Cousins
1:25.0,,,92-95,,Shooting foul by A. Drummond (drawn by D. Cousins)
1:25.0,,,92-95,,D. Cousins misses free throw 1 of 2
1:25.0,,,92-95,,Offensive rebound by Team
1:25.0,,,92-95,,D. Cousins misses free throw 2 of 2
1:24.0,Defensive rebound by A. Drummond,,92-95,,
1:15.0,R. Jackson makes 2-pt shot from 3 ft,2,94-95,,
1:15.0,Shooting foul by A. Tolliver (drawn by R. Jackson),,94-95,,
1:15.0,R. Jackson misses free throw 1 of 1,,94-95,,
1:13.0,,,94-95,,Defensive rebound by D. Cousins
0:56.0,,,94-98,3,D. Cousins makes 3-pt shot from 25 ft (assist by T. Lawson)
0:45.0,R. Jackson misses 3-pt shot from 25 ft,,94-98,,
0:44.0,,,94-98,,Defensive rebound by R. Gay
0:25.0,,,94-98,,T. Lawson misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by K. Caldwell-Pope,,94-98,,
0:22.0,Detroit full timeout,,94-98,,
0:06.0,Turnover by T. Harris (lost ball; steal by R. Gay),,94-98,,
0:06.0,Personal foul by M. Morris (drawn by A. Tolliver),,94-98,,
0:06.0,,,94-99,1,A. Tolliver makes free throw 1 of 2
0:06.0,,,94-100,1,A. Tolliver makes free throw 2 of 2
0:06.0,Detroit full timeout,,94-100,,
0:03.0,T. Harris misses 3-pt shot from 23 ft,,94-100,,
0:00.0,Offensive rebound by K. Caldwell-Pope,,94-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
