time,San Antonio,pts.away,score,pts.home,Brooklyn
5:13.0,D. Lee makes 2-pt shot from 2 ft (assist by D. Murray),2,101-74,,
5:07.0,,,101-74,,Brooklyn full timeout
5:07.0,J. Anthony enters the game for K. Anderson,,101-74,,
5:07.0,B. Forbes enters the game for D. Green,,101-74,,
5:07.0,D. Bertans enters the game for D. Lee,,101-74,,
5:07.0,,,101-74,,S. Dinwiddie enters the game for R. Foye
4:53.0,,,101-74,,S. Kilpatrick misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by J. Anthony,,101-74,,
4:37.0,B. Forbes misses 2-pt shot from 18 ft,,101-74,,
4:35.0,Offensive rebound by J. Anthony,,101-74,,
4:30.0,,,101-74,,Personal foul by I. Whitehead (drawn by D. Murray)
4:30.0,,,101-74,,C. McCullough enters the game for J. Hamilton
4:30.0,K. Anderson enters the game for D. Murray,,101-74,,
4:23.0,D. Bertans makes 3-pt shot from 25 ft (assist by B. Forbes),3,104-74,,
4:06.0,,,104-74,,S. Kilpatrick misses 2-pt shot from 14 ft
4:05.0,Defensive rebound by J. Anthony,,104-74,,
3:54.0,D. Dedmon misses 2-pt shot from 16 ft,,104-74,,
3:53.0,,,104-74,,Defensive rebound by S. Kilpatrick
3:45.0,,,104-76,2,S. Kilpatrick makes 2-pt shot from 18 ft
3:17.0,J. Anthony misses 2-pt shot from 1 ft,,104-76,,
3:16.0,,,104-76,,Defensive rebound by L. Scola
3:07.0,,,104-78,2,S. Kilpatrick makes 2-pt shot from 3 ft (assist by I. Whitehead)
2:56.0,B. Forbes makes 2-pt shot from 19 ft,2,106-78,,
2:41.0,,,106-78,,I. Whitehead misses 2-pt shot from 2 ft
2:40.0,Defensive rebound by J. Anthony,,106-78,,
2:25.0,D. Bertans makes 2-pt shot from 3 ft (assist by D. Dedmon),2,108-78,,
2:15.0,,,108-78,,C. McCullough misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by K. Anderson,,108-78,,
1:59.0,D. Dedmon makes 2-pt shot from 17 ft,2,110-78,,
1:48.0,,,110-78,,Turnover by S. Kilpatrick (lost ball; steal by D. Dedmon)
1:47.0,,,110-78,,Personal foul by C. McCullough (drawn by D. Dedmon)
1:47.0,San Antonio full timeout,,110-78,,
1:26.0,D. Dedmon makes 2-pt shot from 5 ft,2,112-78,,
1:13.0,,,112-81,3,I. Whitehead makes 3-pt shot from 25 ft
1:01.0,B. Forbes misses 3-pt shot from 26 ft,,112-81,,
1:00.0,,,112-81,,Defensive rebound by S. Kilpatrick
0:44.0,,,112-83,2,C. McCullough makes 2-pt shot from 10 ft
0:31.0,K. Anderson misses 2-pt shot from 12 ft,,112-83,,
0:29.0,,,112-83,,Defensive rebound by C. McCullough
0:25.0,,,112-86,3,I. Whitehead makes 3-pt shot from 24 ft (assist by L. Scola)
0:01.0,Turnover by Team (shot clock),,112-86,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
