time,Golden State,pts.away,score,pts.home,Detroit
3:20.0,Offensive rebound by Z. Pachulia,,104-104,,
3:14.0,S. Curry makes 3-pt shot from 26 ft,3,107-104,,
3:08.0,,,107-104,,Detroit full timeout
3:08.0,,,107-104,,S. Johnson enters the game for M. Morris
3:08.0,,,107-104,,T. Harris enters the game for J. Leuer
3:08.0,K. Durant enters the game for I. Clark,,107-104,,
2:54.0,,,107-107,3,T. Harris makes 3-pt shot from 26 ft (assist by S. Johnson)
2:34.0,S. Curry misses 2-pt shot from 17 ft,,107-107,,
2:33.0,,,107-107,,Defensive rebound by A. Drummond
2:24.0,,,107-107,,Shooting foul by A. Iguodala (drawn by R. Jackson)
2:24.0,,,107-108,1,R. Jackson makes free throw 1 of 2
2:24.0,,,107-108,,R. Jackson misses free throw 2 of 2
2:24.0,K. Thompson enters the game for Z. Pachulia,,107-108,,
2:23.0,Defensive rebound by K. Durant,,107-108,,
2:00.0,D. Green misses 3-pt shot from 25 ft,,107-108,,
2:00.0,Offensive rebound by A. Iguodala,,107-108,,
1:56.0,K. Durant makes 3-pt shot from 26 ft (assist by A. Iguodala),3,110-108,,
1:40.0,,,110-108,,Shooting foul by D. Green (drawn by R. Jackson)
1:40.0,,,110-109,1,R. Jackson makes free throw 1 of 2
1:40.0,Golden State full timeout,,110-109,,
1:40.0,,,110-110,1,R. Jackson makes free throw 2 of 2
1:31.0,D. Green makes 2-pt shot at rim (assist by K. Thompson),2,112-110,,
1:09.0,,,112-110,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:09.0,,,112-110,,Offensive rebound by S. Johnson
1:04.0,,,112-110,,Turnover by S. Johnson (bad pass; steal by K. Thompson)
0:53.0,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry),2,114-110,,
0:53.0,,,114-110,,Detroit full timeout
0:41.0,,,114-112,2,K. Caldwell-Pope makes 2-pt shot from 17 ft
0:22.0,K. Thompson makes 3-pt shot from 27 ft (assist by S. Curry),3,117-112,,
0:17.0,Personal foul by D. Green (drawn by A. Drummond),,117-112,,
0:17.0,,,117-112,,A. Drummond misses free throw 1 of 2
0:17.0,,,117-112,,Offensive rebound by Team
0:17.0,,,117-113,1,A. Drummond makes free throw 2 of 2
0:17.0,,,117-112,,J. Leuer enters the game for S. Johnson
0:15.0,,,117-113,,Personal foul by K. Caldwell-Pope (drawn by S. Curry)
0:15.0,,,117-113,,S. Johnson enters the game for T. Harris
0:14.0,Turnover by D. Green (bad pass),,117-113,,
0:14.0,,,117-113,,T. Harris enters the game for S. Johnson
0:14.0,,,117-113,,A. Baynes enters the game for A. Drummond
0:04.0,,,117-113,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by S. Curry,,117-113,,
0:02.0,,,117-113,,Personal foul by T. Harris (drawn by S. Curry)
0:02.0,S. Curry makes free throw 1 of 2,1,118-113,,
0:02.0,S. Curry makes free throw 2 of 2,1,119-113,,
0:01.0,,,119-113,,K. Caldwell-Pope misses 3-pt shot from 54 ft
0:00.0,,,119-113,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
