time,Utah,pts.away,score,pts.home,Toronto
2:09.0,,,91-94,,D. DeRozan misses 2-pt shot from 4 ft
2:08.0,Defensive rebound by J. Ingles,,91-94,,
2:03.0,Shooting foul by D. DeRozan (drawn by R. Gobert),,91-94,,
2:03.0,R. Gobert makes free throw 1 of 2,1,92-94,,
2:03.0,R. Gobert makes free throw 2 of 2,1,93-94,,
1:48.0,,,93-96,2,K. Lowry makes 2-pt shot from 5 ft
1:40.0,Turnover by J. Ingles (lost ball; steal by K. Lowry),,93-96,,
1:35.0,,,93-96,,K. Lowry misses 2-pt shot from 4 ft
1:34.0,Defensive rebound by J. Ingles,,93-96,,
1:19.0,J. Johnson misses 3-pt shot from 26 ft,,93-96,,
1:19.0,Offensive rebound by G. Hayward,,93-96,,
1:16.0,Turnover by G. Hayward (lost ball; steal by K. Lowry),,93-96,,
1:08.0,,,93-96,,Toronto full timeout
0:59.0,,,93-96,,D. DeRozan misses 2-pt shot from 6 ft
0:58.0,,,93-96,,Offensive rebound by J. Valanciunas
0:58.0,,,93-98,2,J. Valanciunas makes 2-pt shot from 2 ft
0:46.0,R. Hood misses 3-pt shot from 27 ft,,93-98,,
0:46.0,,,93-98,,Defensive rebound by Team
0:46.0,Jump ball: R. Gobert vs. J. Valanciunas,,,,Jump ball: R. Gobert vs. J. Valanciunas
0:43.0,Loose ball foul by J. Ingles (drawn by K. Lowry),,93-98,,
0:43.0,,,93-98,,K. Lowry misses free throw 1 of 2
0:43.0,,,93-98,,Offensive rebound by Team
0:43.0,,,93-99,1,K. Lowry makes free throw 2 of 2
0:38.0,Utah full timeout,,93-99,,
0:34.0,G. Hayward misses 3-pt shot from 26 ft,,93-99,,
0:34.0,,,93-99,,Defensive rebound by D. DeRozan
0:27.0,Personal take foul by G. Hayward (drawn by D. DeRozan),,93-99,,
0:27.0,,,93-100,1,D. DeRozan makes free throw 1 of 2
0:27.0,,,93-101,1,D. DeRozan makes free throw 2 of 2
0:27.0,Utah full timeout,,93-101,,
0:21.0,J. Ingles misses 3-pt shot from 26 ft (block by T. Ross),,93-101,,
0:20.0,,,93-101,,Defensive rebound by J. Valanciunas
0:00.0,End of 4th quarter,,,,End of 4th quarter
