time,Golden State,pts.away,score,pts.home,Philadelphia
8:03.0,S. Curry misses 2-pt shot from 2 ft,,73-61,,
8:01.0,,,73-61,,Defensive rebound by D. Saric
7:54.0,,,73-61,,R. Covington misses 3-pt shot from 29 ft
7:52.0,,,73-61,,Offensive rebound by T. McConnell
7:52.0,,,73-63,2,T. McConnell makes 2-pt shot from 1 ft
7:40.0,Turnover by D. Green (lost ball; steal by T. McConnell),,73-63,,
7:35.0,,,73-65,2,R. Covington makes 2-pt shot at rim (assist by T. McConnell)
7:35.0,Golden State full timeout,,73-65,,
7:20.0,K. Durant misses 2-pt shot from 16 ft,,73-65,,
7:18.0,,,73-65,,Defensive rebound by T. McConnell
7:12.0,,,73-65,,D. Saric misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by Z. Pachulia,,73-65,,
6:51.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,75-65,,
6:45.0,,,75-65,,R. Covington misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by K. Thompson,,75-65,,
6:32.0,S. Curry makes 2-pt shot from 1 ft (assist by K. Durant),2,77-65,,
6:25.0,,,77-65,,Turnover by R. Covington (bad pass; steal by K. Thompson)
6:18.0,Turnover by S. Curry (bad pass; steal by G. Henderson),,77-65,,
6:12.0,,,77-68,3,R. Holmes makes 3-pt shot from 25 ft (assist by G. Henderson)
5:55.0,S. Curry misses 2-pt shot from 2 ft,,77-68,,
5:54.0,,,77-68,,Defensive rebound by R. Covington
5:47.0,,,77-68,,R. Covington misses 3-pt shot from 25 ft
5:42.0,,,77-68,,Offensive rebound by D. Saric
5:41.0,,,77-68,,D. Saric misses 2-pt shot from 1 ft (block by Z. Pachulia)
5:39.0,Defensive rebound by Z. Pachulia,,77-68,,
5:34.0,K. Thompson misses 3-pt shot from 25 ft,,77-68,,
5:32.0,,,77-68,,Defensive rebound by D. Saric
5:09.0,,,77-68,,Turnover by D. Saric (lost ball; steal by D. Green)
5:02.0,Turnover by D. Green (bad pass; steal by R. Covington),,77-68,,
4:58.0,,,77-70,2,R. Covington makes 2-pt shot at rim
4:55.0,Golden State full timeout,,77-70,,
4:55.0,A. Iguodala enters the game for D. Green,,77-70,,
4:55.0,I. Clark enters the game for Z. Pachulia,,77-70,,
4:55.0,J. McAdoo enters the game for K. Thompson,,77-70,,
4:55.0,,,77-70,,T. Luwawu-Cabarrot enters the game for R. Covington
4:55.0,,,77-70,,N. Stauskas enters the game for G. Henderson
4:35.0,I. Clark makes 3-pt shot from 24 ft (assist by K. Durant),3,80-70,,
4:27.0,,,80-70,,Turnover by T. McConnell (lost ball)
4:11.0,J. McAdoo makes 2-pt shot from 1 ft (assist by S. Curry),2,82-70,,
3:50.0,,,82-70,,R. Holmes misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by Team,,82-70,,
3:49.0,,,82-70,,J. Anderson enters the game for R. Holmes
3:49.0,,,82-70,,Loose ball foul by D. Saric (drawn by S. Curry)
3:41.0,Shooting foul by J. Anderson (drawn by K. Durant),,82-70,,
3:41.0,K. Durant makes free throw 1 of 2,1,83-70,,
3:41.0,K. Durant makes free throw 2 of 2,1,84-70,,
3:29.0,,,84-70,,Turnover by T. McConnell (lost ball; steal by S. Curry)
3:24.0,Turnover by S. Curry (bad pass; steal by J. Anderson),,84-70,,
3:18.0,,,84-72,2,D. Saric makes 2-pt shot from 2 ft (assist by N. Stauskas)
3:18.0,,,84-72,,Shooting foul by J. McAdoo (drawn by D. Saric)
3:18.0,,,84-73,1,D. Saric makes free throw 1 of 1
3:18.0,,,84-72,,S. Rodriguez enters the game for T. McConnell
2:56.0,K. Durant misses 2-pt shot from 15 ft,,84-73,,
2:54.0,Offensive rebound by J. McAdoo,,84-73,,
2:50.0,S. Curry misses 3-pt shot from 25 ft,,84-73,,
2:48.0,,,84-73,,Defensive rebound by J. Anderson
2:37.0,,,84-73,,N. Stauskas misses 2-pt shot from 1 ft
2:36.0,,,84-73,,Offensive rebound by J. Anderson
2:36.0,,,84-75,2,J. Anderson makes 2-pt shot from 1 ft
2:16.0,K. Durant makes 2-pt shot from 11 ft,2,86-75,,
2:16.0,,,86-75,,Shooting block foul by J. Anderson (drawn by K. Durant)
2:16.0,K. Durant makes free throw 1 of 1,1,87-75,,
2:03.0,Shooting block foul by J. McAdoo (drawn by D. Saric),,87-75,,
2:03.0,,,87-76,1,D. Saric makes free throw 1 of 2
2:03.0,,,87-77,1,D. Saric makes free throw 2 of 2
2:03.0,D. Green enters the game for K. Durant,,87-76,,
1:51.0,S. Curry misses 2-pt shot from 23 ft,,87-77,,
1:48.0,Offensive rebound by A. Iguodala,,87-77,,
1:44.0,D. Green misses 2-pt shot from 1 ft,,87-77,,
1:41.0,Offensive rebound by D. Green,,87-77,,
1:41.0,D. Green makes 2-pt shot from 1 ft,2,89-77,,
1:31.0,Personal foul by D. Green (drawn by T. Luwawu-Cabarrot),,89-77,,
1:31.0,,,89-78,1,T. Luwawu-Cabarrot makes free throw 1 of 2
1:31.0,,,89-79,1,T. Luwawu-Cabarrot makes free throw 2 of 2
1:31.0,,,89-78,,R. Holmes enters the game for D. Saric
1:13.0,J. McAdoo misses 2-pt shot from 3 ft (block by R. Holmes),,89-79,,
1:11.0,Offensive rebound by J. McAdoo,,89-79,,
