time,Houston,pts.away,score,pts.home,Atlanta
5:36.0,,,89-109,3,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder)
5:20.0,R. Anderson misses 3-pt shot from 25 ft,,89-109,,
5:18.0,,,89-109,,Defensive rebound by K. Korver
5:09.0,Personal foul by J. Harden (drawn by P. Millsap),,89-109,,
5:09.0,,,89-109,,P. Millsap misses free throw 1 of 2
5:09.0,,,89-109,,Offensive rebound by Team
5:09.0,,,89-110,1,P. Millsap makes free throw 2 of 2
4:59.0,E. Gordon misses 2-pt shot from 8 ft,,89-110,,
4:57.0,,,89-110,,Defensive rebound by P. Millsap
4:49.0,,,89-110,,D. Schroder misses 3-pt shot from 24 ft (block by E. Gordon)
4:47.0,Defensive rebound by M. Harrell,,89-110,,
4:46.0,Shooting foul by D. Schroder (drawn by E. Gordon),,89-110,,
4:46.0,E. Gordon makes 2-pt shot from 2 ft (assist by M. Harrell),2,91-110,,
4:46.0,E. Gordon makes free throw 1 of 1,1,92-110,,
4:46.0,,,91-110,,T. Hardaway enters the game for K. Korver
4:35.0,,,92-110,,Turnover by D. Schroder (lost ball; steal by T. Ariza)
4:22.0,J. Harden misses 2-pt shot from 3 ft,,92-110,,
4:20.0,Offensive rebound by M. Harrell,,92-110,,
4:16.0,T. Ariza makes 3-pt shot from 25 ft (assist by M. Harrell),3,95-110,,
4:16.0,,,95-110,,Atlanta full timeout
4:05.0,,,95-110,,K. Bazemore misses 2-pt shot from 18 ft
4:03.0,Defensive rebound by T. Ariza,,95-110,,
3:54.0,T. Ariza misses 3-pt shot from 26 ft,,95-110,,
3:52.0,,,95-110,,Defensive rebound by K. Bazemore
3:31.0,,,95-110,,D. Schroder misses 2-pt shot at rim (block by M. Harrell)
3:28.0,Defensive rebound by T. Ariza,,95-110,,
3:13.0,Turnover by M. Harrell (lost ball; steal by P. Millsap),,95-110,,
3:05.0,,,95-110,,K. Bazemore misses 2-pt shot from 21 ft
3:02.0,Defensive rebound by J. Harden,,95-110,,
2:56.0,T. Ariza misses 2-pt shot from 3 ft (block by D. Howard),,95-110,,
2:51.0,,,95-110,,Defensive rebound by P. Millsap
2:38.0,,,95-112,2,P. Millsap makes 2-pt shot from 9 ft (assist by D. Schroder)
2:21.0,E. Gordon misses 2-pt shot from 9 ft,,95-112,,
2:20.0,,,95-112,,Defensive rebound by P. Millsap
2:01.0,,,95-112,,K. Bazemore misses 2-pt shot from 20 ft
2:00.0,Defensive rebound by J. Harden,,95-112,,
1:44.0,T. Ariza misses 3-pt shot from 25 ft,,95-112,,
1:40.0,Offensive rebound by R. Anderson,,95-112,,
1:40.0,R. Anderson misses 2-pt shot from 1 ft,,95-112,,
1:38.0,,,95-112,,Defensive rebound by D. Howard
1:36.0,,,95-112,,Atlanta full timeout
1:36.0,S. Dekker enters the game for T. Ariza,,95-112,,
1:36.0,K. Wiltjer enters the game for R. Anderson,,95-112,,
1:36.0,T. Ennis enters the game for E. Gordon,,95-112,,
1:36.0,K. McDaniels enters the game for J. Harden,,95-112,,
1:36.0,,,95-112,,M. Muscala enters the game for K. Bazemore
1:36.0,,,95-112,,M. Delaney enters the game for P. Millsap
1:36.0,,,95-112,,D. Bembry enters the game for D. Howard
1:36.0,,,95-112,,T. Waller-Prince enters the game for D. Schroder
1:36.0,,,95-112,,R. Kelly enters the game for T. Hardaway
1:27.0,,,95-112,,M. Muscala misses 2-pt shot from 18 ft
1:25.0,Defensive rebound by T. Ennis,,95-112,,
1:15.0,M. Harrell makes 2-pt shot at rim (assist by S. Dekker),2,97-112,,
1:02.0,,,97-112,,Turnover by M. Muscala (lost ball)
0:54.0,Turnover by M. Harrell (bad pass; steal by R. Kelly),,97-112,,
0:32.0,,,97-112,,M. Delaney misses 3-pt shot from 27 ft
0:30.0,Defensive rebound by S. Dekker,,97-112,,
0:21.0,Turnover by K. Wiltjer (bad pass),,97-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
