time,San Antonio,pts.away,score,pts.home,New York
2:10.0,K. Leonard makes free throw 2 of 3,1,83-86,,
2:10.0,K. Leonard makes free throw 3 of 3,1,84-86,,
2:10.0,D. Dedmon enters the game for D. Lee,,83-86,,
1:47.0,,,84-88,2,W. Hernangomez makes 2-pt shot from 2 ft
1:34.0,K. Leonard makes 2-pt shot from 14 ft,2,86-88,,
1:15.0,,,86-90,2,C. Anthony makes 2-pt shot from 12 ft
0:55.0,K. Leonard misses 3-pt shot from 24 ft,,86-90,,
0:53.0,,,86-90,,Defensive rebound by W. Hernangomez
0:33.0,,,86-92,2,C. Anthony makes 2-pt shot from 18 ft (assist by D. Rose)
0:33.0,San Antonio full timeout,,86-92,,
0:33.0,D. Bertans enters the game for D. Dedmon,,86-92,,
0:33.0,,,86-92,,L. Thomas enters the game for W. Hernangomez
0:29.0,K. Leonard misses 2-pt shot from 3 ft (block by K. Porzingis),,86-92,,
0:29.0,Offensive rebound by K. Leonard,,86-92,,
0:29.0,K. Leonard makes 2-pt shot from 3 ft,2,88-92,,
0:29.0,,,88-92,,New York full timeout
0:29.0,M. Ginobili enters the game for T. Parker,,88-92,,
0:29.0,D. Murray enters the game for D. Bertans,,88-92,,
0:28.0,,,88-92,,Turnover by C. Anthony (lost ball)
0:28.0,T. Parker enters the game for D. Murray,,88-92,,
0:22.0,D. Green misses 3-pt shot from 24 ft,,88-92,,
0:20.0,Offensive rebound by D. Green,,88-92,,
0:18.0,K. Leonard misses 2-pt shot from 4 ft,,88-92,,
0:16.0,,,88-92,,Defensive rebound by C. Anthony
0:16.0,Personal take foul by M. Ginobili (drawn by C. Anthony),,88-92,,
0:16.0,D. Murray enters the game for T. Parker,,88-92,,
0:14.0,Personal take foul by D. Green (drawn by D. Rose),,88-92,,
0:14.0,,,88-93,1,D. Rose makes free throw 1 of 2
0:14.0,,,88-94,1,D. Rose makes free throw 2 of 2
0:14.0,San Antonio full timeout,,88-94,,
0:14.0,D. Dedmon enters the game for D. Murray,,88-93,,
0:14.0,T. Parker enters the game for D. Dedmon,,88-94,,
0:07.0,K. Leonard misses 2-pt shot from 4 ft,,88-94,,
0:05.0,Offensive rebound by L. Aldridge,,88-94,,
0:03.0,D. Green misses 3-pt shot from 24 ft,,88-94,,
0:01.0,Offensive rebound by M. Ginobili,,88-94,,
0:01.0,M. Ginobili makes 2-pt shot from 5 ft,2,90-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
