time,Miami,pts.away,score,pts.home,Denver
8:29.0,T. Johnson makes 2-pt shot from 13 ft (assist by W. Reed),2,86-84,,
8:05.0,,,86-84,,D. Gallinari enters the game for W. Chandler
8:04.0,,,86-84,,N. Jokic misses 2-pt shot from 10 ft (block by J. Johnson)
8:03.0,Defensive rebound by Team,,86-84,,
8:03.0,,,86-84,,Loose ball foul by N. Jokic (drawn by J. Johnson)
8:03.0,,,86-84,,J. Nelson enters the game for J. Murray
7:48.0,J. Johnson misses 2-pt shot from 16 ft,,86-84,,
7:47.0,,,86-84,,Defensive rebound by N. Jokic
7:39.0,,,86-84,,Turnover by D. Gallinari (lost ball; steal by R. McGruder)
7:33.0,W. Ellington makes 3-pt shot from 23 ft,3,89-84,,
7:32.0,,,89-84,,Denver full timeout
7:18.0,,,89-84,,D. Gallinari misses 2-pt shot from 23 ft
7:17.0,,,89-84,,Offensive rebound by N. Jokic
7:07.0,,,89-84,,J. Nelson misses 2-pt shot from 19 ft
7:06.0,,,89-84,,Offensive rebound by E. Mudiay
7:05.0,,,89-84,,Turnover by E. Mudiay (lost ball; steal by J. Johnson)
6:43.0,T. Johnson misses 2-pt shot from 12 ft,,89-84,,
6:43.0,,,89-84,,Defensive rebound by K. Faried
6:35.0,,,89-84,,E. Mudiay misses 2-pt shot from 12 ft
6:34.0,,,89-84,,Offensive rebound by K. Faried
6:34.0,,,89-84,,Offensive foul by K. Faried
6:34.0,,,89-84,,Turnover by K. Faried (offensive foul)
6:34.0,H. Whiteside enters the game for W. Reed,,89-84,,
6:34.0,,,89-84,,W. Chandler enters the game for N. Jokic
6:19.0,W. Ellington makes 3-pt shot from 28 ft (assist by T. Johnson),3,92-84,,
5:59.0,,,92-84,,W. Chandler misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by R. McGruder,,92-84,,
5:51.0,H. Whiteside misses 2-pt shot from 3 ft,,92-84,,
5:50.0,Offensive rebound by R. McGruder,,92-84,,
5:50.0,R. McGruder misses 2-pt shot from 2 ft,,92-84,,
5:49.0,,,92-84,,Defensive rebound by K. Faried
5:34.0,,,92-84,,D. Gallinari misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by R. McGruder,,92-84,,
5:28.0,Miami full timeout,,92-84,,
5:28.0,G. Dragic enters the game for R. McGruder,,92-84,,
5:19.0,W. Ellington misses 3-pt shot from 26 ft,,92-84,,
5:18.0,,,92-84,,Defensive rebound by E. Mudiay
4:59.0,,,92-87,3,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Nelson)
4:25.0,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Johnson),2,94-87,,
4:03.0,,,94-89,2,J. Nelson makes 2-pt shot from 18 ft
3:44.0,H. Whiteside makes 2-pt shot from 6 ft (assist by J. Johnson),2,96-89,,
3:30.0,,,96-89,,J. Nelson misses 2-pt shot from 1 ft
3:27.0,Defensive rebound by W. Ellington,,96-89,,
3:13.0,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,98-89,,
3:13.0,Shooting foul by D. Gallinari (drawn by J. Johnson),,98-89,,
3:13.0,J. Johnson misses free throw 1 of 1,,98-89,,
3:13.0,,,98-89,,N. Jokic enters the game for K. Faried
3:12.0,,,98-89,,Defensive rebound by N. Jokic
2:56.0,,,98-91,2,W. Chandler makes 2-pt shot from 14 ft (assist by E. Mudiay)
2:41.0,G. Dragic misses 2-pt shot from 15 ft,,98-91,,
2:40.0,,,98-91,,Defensive rebound by N. Jokic
2:30.0,,,98-91,,Turnover by W. Chandler (lost ball; steal by W. Ellington)
2:25.0,W. Ellington makes 3-pt shot from 22 ft (assist by T. Johnson),3,101-91,,
2:25.0,,,101-91,,Denver full timeout
2:25.0,,,101-91,,J. Murray enters the game for E. Mudiay
2:13.0,,,101-94,3,J. Murray makes 3-pt shot from 23 ft (assist by J. Nelson)
1:57.0,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson),2,103-94,,
1:51.0,Personal foul by G. Dragic (drawn by J. Nelson),,103-94,,
1:44.0,Personal foul by G. Dragic (drawn by J. Nelson),,103-94,,
1:44.0,,,103-94,,J. Nelson misses free throw 1 of 2
1:44.0,,,103-94,,Offensive rebound by Team
1:44.0,,,103-95,1,J. Nelson makes free throw 2 of 2
1:25.0,Turnover by T. Johnson (bad pass; steal by N. Jokic),,103-95,,
1:21.0,,,103-98,3,J. Murray makes 3-pt shot from 24 ft (assist by J. Nelson)
1:00.0,Turnover by H. Whiteside (lost ball; steal by W. Chandler),,103-98,,
0:43.0,,,103-98,,J. Murray misses 2-pt shot from 1 ft (block by H. Whiteside)
0:42.0,Defensive rebound by G. Dragic,,103-98,,
0:42.0,,,103-98,,Personal block foul by J. Nelson (drawn by G. Dragic)
0:42.0,G. Dragic misses free throw 1 of 2,,103-98,,
0:42.0,Offensive rebound by Team,,103-98,,
0:42.0,G. Dragic misses free throw 2 of 2,,103-98,,
0:42.0,,,103-98,,Defensive rebound by N. Jokic
0:30.0,,,103-98,,J. Nelson misses 2-pt shot from 23 ft
0:29.0,Defensive rebound by W. Ellington,,103-98,,
0:23.0,,,103-98,,Personal foul by J. Murray (drawn by T. Johnson)
0:23.0,T. Johnson misses free throw 1 of 2,,103-98,,
0:23.0,Offensive rebound by Team,,103-98,,
0:23.0,T. Johnson makes free throw 2 of 2,1,104-98,,
0:23.0,,,104-98,,Denver full timeout
0:17.0,,,104-98,,J. Murray misses 3-pt shot from 25 ft
0:14.0,,,104-98,,Offensive rebound by N. Jokic
0:14.0,,,104-98,,N. Jokic misses 2-pt shot from 2 ft
0:12.0,Defensive rebound by J. Johnson,,104-98,,
0:11.0,,,104-98,,Personal take foul by J. Nelson (drawn by J. Johnson)
0:11.0,J. Johnson makes free throw 1 of 2,1,105-98,,
0:11.0,J. Johnson makes free throw 2 of 2,1,106-98,,
0:05.0,,,106-98,,J. Murray misses 3-pt shot from 25 ft
0:05.0,,,106-98,,Offensive rebound by Team
0:03.0,,,106-98,,D. Gallinari misses 3-pt shot from 25 ft (block by J. Johnson)
0:01.0,Defensive rebound by T. Johnson,,106-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
