time,Indiana,pts.away,score,pts.home,Orlando
1:52.0,,,93-87,1,N. Vucevic makes free throw 1 of 2
1:52.0,,,93-88,1,N. Vucevic makes free throw 2 of 2
1:37.0,C. Miles makes 3-pt shot from 26 ft (assist by J. Teague),3,96-88,,
1:26.0,,,96-88,,Offensive foul by E. Fournier
1:26.0,,,96-88,,Turnover by E. Fournier (offensive foul)
1:26.0,,,96-88,,E. Payton enters the game for E. Fournier
1:05.0,M. Turner misses 2-pt shot from 19 ft,,96-88,,
1:04.0,,,96-88,,Defensive rebound by S. Ibaka
0:57.0,,,96-88,,S. Ibaka misses 3-pt shot from 26 ft
0:55.0,Defensive rebound by C. Miles,,96-88,,
0:39.0,,,96-88,,Personal foul by C. Watson (drawn by J. Teague)
0:39.0,Indiana full timeout,,96-88,,
0:39.0,G. Robinson enters the game for T. Young,,96-88,,
0:37.0,,,96-88,,Personal foul by N. Vucevic (drawn by M. Turner)
0:37.0,M. Turner makes free throw 1 of 2,1,97-88,,
0:37.0,M. Turner makes free throw 2 of 2,1,98-88,,
0:37.0,,,98-88,,Orlando full timeout
0:37.0,,,98-88,,Turnover by Team (5 sec inbounds)
0:37.0,T. Young enters the game for C. Miles,,97-88,,
0:37.0,,,98-88,,D. Augustin enters the game for E. Payton
0:28.0,Turnover by J. Teague (bad pass; steal by N. Vucevic),,98-88,,
0:26.0,,,98-88,,Turnover by D. Augustin (bad pass)
0:02.0,Turnover by Team (shot clock),,98-88,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
