time,Milwaukee,pts.away,score,pts.home,Oklahoma City
5:51.0,T. Maker misses free throw 2 of 2,,70-104,,
5:50.0,,,70-104,,Defensive rebound by J. Grant
5:33.0,Violation by S. Hawes (kicked ball),,70-104,,
5:27.0,,,70-104,,N. Collison misses 2-pt shot from 7 ft
5:27.0,Defensive rebound by G. Payton,,70-104,,
5:18.0,T. Maker makes 2-pt shot from 6 ft,2,72-104,,
5:18.0,Shooting foul by N. Collison (drawn by T. Maker),,72-104,,
5:18.0,T. Maker makes free throw 1 of 1,1,73-104,,
5:07.0,Personal foul by M. Teletovic (drawn by D. McDermott),,73-104,,
5:01.0,,,73-106,2,S. Christon makes 2-pt shot from 18 ft
4:37.0,T. Maker misses 2-pt shot from 7 ft,,73-106,,
4:36.0,,,73-106,,Defensive rebound by N. Cole
4:27.0,,,73-106,,J. Grant misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by S. Hawes,,73-106,,
4:15.0,Shooting foul by N. Cole (drawn by R. Vaughn),,73-106,,
4:15.0,R. Vaughn makes free throw 1 of 2,1,74-106,,
4:15.0,R. Vaughn misses free throw 2 of 2,,74-106,,
4:14.0,,,74-106,,Defensive rebound by N. Collison
3:54.0,,,74-106,,Turnover by J. Grant (lost ball; steal by T. Maker)
3:46.0,R. Vaughn makes 2-pt shot from 5 ft,2,76-106,,
3:23.0,,,76-106,,J. Grant misses 3-pt shot from 25 ft
3:22.0,,,76-106,,Offensive rebound by S. Christon
3:05.0,,,76-108,2,J. Grant makes 2-pt shot at rim (assist by S. Christon)
2:45.0,M. Teletovic misses 2-pt shot from 24 ft,,76-108,,
2:45.0,,,76-108,,Defensive rebound by S. Christon
2:32.0,,,76-108,,D. McDermott misses 2-pt shot from 2 ft
2:31.0,,,76-108,,Offensive rebound by Team
2:31.0,,,76-108,,Oklahoma City full timeout
2:28.0,,,76-108,,D. McDermott misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by T. Maker,,76-108,,
2:10.0,R. Vaughn misses 2-pt shot from 18 ft,,76-108,,
2:10.0,,,76-108,,Defensive rebound by D. McDermott
2:01.0,,,76-110,2,J. Grant makes 2-pt shot at rim (assist by N. Cole)
1:41.0,M. Teletovic makes 2-pt shot from 2 ft (assist by G. Payton),2,78-110,,
1:29.0,,,78-110,,Turnover by S. Christon (bad pass; steal by G. Payton)
1:25.0,Shooting foul by J. Grant (drawn by T. Maker),,78-110,,
1:25.0,T. Maker misses free throw 1 of 2,,78-110,,
1:25.0,Offensive rebound by Team,,78-110,,
1:25.0,T. Maker makes free throw 2 of 2,1,79-110,,
1:10.0,,,79-110,,S. Christon misses 2-pt shot from 4 ft
1:09.0,,,79-110,,Offensive rebound by N. Collison
1:09.0,,,79-110,,N. Collison misses 2-pt shot from 2 ft
1:08.0,Defensive rebound by S. Hawes,,79-110,,
0:58.0,T. Maker misses 3-pt shot from 25 ft,,79-110,,
0:58.0,,,79-110,,Defensive rebound by S. Christon
0:44.0,,,79-110,,N. Cole misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by S. Hawes,,79-110,,
0:29.0,R. Vaughn misses 2-pt shot from 17 ft,,79-110,,
0:28.0,,,79-110,,Defensive rebound by N. Collison
0:04.0,,,79-110,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
