time,Minnesota,pts.away,score,pts.home,Philadelphia
6:03.0,K. Towns makes 2-pt shot from 1 ft (assist by K. Dunn),2,78-84,,
5:55.0,,,78-84,,Turnover by R. Covington (traveling)
5:55.0,Official timeout,,78-84,,
5:55.0,,,78-84,,J. Embiid enters the game for N. Noel
5:45.0,K. Towns makes 2-pt shot from 2 ft,2,80-84,,
5:38.0,,,80-84,,Shooting foul by K. Dunn (drawn by D. Saric)
5:38.0,,,80-85,1,D. Saric makes free throw 1 of 2
5:38.0,,,80-86,1,D. Saric makes free throw 2 of 2
5:24.0,K. Towns misses 2-pt shot from 1 ft (block by J. Embiid),,80-86,,
5:22.0,,,80-86,,Defensive rebound by T. McConnell
5:07.0,,,80-86,,J. Embiid misses 2-pt shot from 3 ft (block by K. Towns)
5:06.0,Defensive rebound by K. Dunn,,80-86,,
4:48.0,K. Towns misses 2-pt shot from 4 ft,,80-86,,
4:47.0,Offensive rebound by K. Towns,,80-86,,
4:45.0,Turnover by K. Towns (step out of bounds),,80-86,,
4:25.0,,,80-88,2,J. Embiid makes 2-pt shot from 2 ft (assist by R. Covington)
4:25.0,Minnesota full timeout,,80-88,,
4:25.0,R. Rubio enters the game for K. Dunn,,80-88,,
4:25.0,,,80-88,,E. Ilyasova enters the game for D. Saric
4:07.0,K. Towns misses 2-pt shot from 4 ft,,80-88,,
4:05.0,Offensive rebound by R. Rubio,,80-88,,
4:01.0,A. Wiggins misses 3-pt shot from 25 ft,,80-88,,
3:59.0,Offensive rebound by K. Towns,,80-88,,
3:51.0,K. Towns makes 2-pt shot from 1 ft (assist by Z. LaVine),2,82-88,,
3:32.0,,,82-88,,R. Covington misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by K. Towns,,82-88,,
3:20.0,Jump ball: J. Embiid vs. K. Towns (Z. LaVine gains possession),,,,Jump ball: J. Embiid vs. K. Towns (Z. LaVine gains possession)
3:10.0,,,82-88,,Personal foul by R. Covington (drawn by Z. LaVine)
3:01.0,Z. LaVine misses 3-pt shot from 25 ft,,82-88,,
2:59.0,,,82-88,,Defensive rebound by T. McConnell
2:52.0,,,82-88,,Shooting foul by Z. LaVine (drawn by J. Embiid)
2:52.0,,,82-89,1,J. Embiid makes free throw 1 of 2
2:52.0,,,82-89,,J. Embiid misses free throw 2 of 2
2:51.0,Defensive rebound by K. Towns,,82-89,,
2:45.0,,,82-89,,Personal foul by J. Embiid (drawn by K. Towns)
2:27.0,Shooting foul by R. Covington (drawn by A. Wiggins),,82-89,,
2:27.0,A. Wiggins makes free throw 1 of 2,1,83-89,,
2:27.0,A. Wiggins makes free throw 2 of 2,1,84-89,,
2:17.0,,,84-89,,N. Stauskas misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by N. Bjelica,,84-89,,
1:58.0,A. Wiggins misses 2-pt shot from 1 ft (block by E. Ilyasova),,84-89,,
1:56.0,,,84-89,,Defensive rebound by E. Ilyasova
1:41.0,,,84-89,,Turnover by J. Embiid (bad pass; steal by R. Rubio)
1:38.0,Z. LaVine makes 2-pt shot from 2 ft (assist by R. Rubio),2,86-89,,
1:38.0,Shooting foul by T. McConnell (drawn by Z. LaVine),,86-89,,
1:38.0,Z. LaVine misses free throw 1 of 1,,86-89,,
1:37.0,,,86-89,,Defensive rebound by T. McConnell
1:16.0,,,86-89,,Turnover by J. Embiid (traveling)
1:02.0,,,86-89,,Personal foul by E. Ilyasova (drawn by N. Bjelica)
1:02.0,N. Bjelica makes free throw 1 of 2,1,87-89,,
1:02.0,N. Bjelica makes free throw 2 of 2,1,88-89,,
0:42.0,,,88-91,2,T. McConnell makes 2-pt shot from 1 ft
0:42.0,Minnesota full timeout,,88-91,,
0:33.0,K. Towns misses 3-pt shot from 26 ft,,88-91,,
0:31.0,,,88-91,,Defensive rebound by T. McConnell
0:26.0,Personal foul by R. Rubio (drawn by T. McConnell),,88-91,,
0:26.0,,,88-91,,Philadelphia full timeout
0:26.0,,,88-91,,D. Saric enters the game for T. McConnell
0:08.0,,,88-91,,J. Embiid misses 2-pt shot from 1 ft (block by K. Towns)
0:07.0,Defensive rebound by K. Towns,,88-91,,
0:07.0,Minnesota full timeout,,88-91,,
0:07.0,,,88-91,,T. McConnell enters the game for N. Stauskas
0:02.0,R. Rubio makes 3-pt shot from 25 ft (assist by K. Towns),3,91-91,,
0:02.0,,,91-91,,Philadelphia full timeout
0:02.0,,,91-91,,N. Stauskas enters the game for T. McConnell
0:00.0,,,91-93,2,R. Covington makes 2-pt shot from 1 ft (assist by D. Saric)
0:00.0,Minnesota full timeout,,91-93,,
0:00.0,,,91-93,,N. Noel enters the game for N. Stauskas
0:00.0,End of 4th quarter,,,,End of 4th quarter
