time,Utah,pts.away,score,pts.home,Houston
3:38.0,,,75-71,,Offensive rebound by Team
3:38.0,,,75-72,1,J. Harden makes free throw 3 of 3
3:38.0,,,75-71,,S. Dekker enters the game for E. Gordon
3:18.0,A. Burks misses 3-pt shot from 23 ft,,75-72,,
3:17.0,,,75-72,,Defensive rebound by L. Williams
3:10.0,,,75-72,,Shooting foul by R. Gobert (drawn by C. Capela)
3:10.0,,,75-72,,C. Capela misses free throw 1 of 2
3:10.0,,,75-72,,Offensive rebound by Team
3:10.0,,,75-72,,C. Capela misses free throw 2 of 2
3:10.0,Defensive rebound by J. Ingles,,75-72,,
3:10.0,B. Diaw enters the game for R. Gobert,,75-72,,
3:10.0,J. Withey enters the game for J. Johnson,,75-72,,
2:50.0,G. Hayward makes 3-pt shot from 24 ft (assist by B. Diaw),3,78-72,,
2:29.0,,,78-72,,L. Williams misses 3-pt shot from 24 ft
2:28.0,,,78-72,,Offensive rebound by C. Capela
2:28.0,,,78-72,,Shooting foul by J. Ingles (drawn by C. Capela)
2:28.0,,,78-72,,Houston full timeout
2:28.0,,,78-72,,C. Capela misses free throw 1 of 2
2:28.0,,,78-72,,Offensive rebound by Team
2:28.0,,,78-73,1,C. Capela makes free throw 2 of 2
2:14.0,Shooting foul by C. Capela (drawn by G. Hayward),,78-73,,
2:14.0,G. Hayward makes free throw 1 of 2,1,79-73,,
2:14.0,G. Hayward makes free throw 2 of 2,1,80-73,,
2:14.0,,,79-73,,M. Harrell enters the game for C. Capela
2:01.0,,,80-73,,Shooting foul by J. Withey (drawn by T. Ariza)
2:01.0,,,80-73,,T. Ariza misses free throw 1 of 2
2:01.0,,,80-73,,Offensive rebound by Team
2:01.0,,,80-73,,T. Ariza misses free throw 2 of 2
2:01.0,Defensive rebound by J. Withey,,80-73,,
1:45.0,A. Burks misses 3-pt shot from 24 ft,,80-73,,
1:44.0,Offensive rebound by J. Withey,,80-73,,
1:42.0,J. Withey makes 2-pt shot from 2 ft,2,82-73,,
1:26.0,,,82-73,,Shooting foul by J. Withey (drawn by J. Harden)
1:26.0,,,82-74,1,J. Harden makes free throw 1 of 2
1:26.0,,,82-75,1,J. Harden makes free throw 2 of 2
1:14.0,Turnover by B. Diaw (bad pass; steal by S. Dekker),,82-75,,
1:01.0,,,82-77,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
0:40.0,A. Burks makes 2-pt shot from 8 ft,2,84-77,,
0:30.0,,,84-77,,L. Williams misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by A. Burks,,84-77,,
0:09.0,Turnover by A. Burks (lost ball),,84-77,,
0:01.0,,,84-77,,J. Harden misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by A. Burks,,84-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,R. Hood makes 2-pt shot from 19 ft (assist by J. Ingles),2,86-77,,
11:26.0,,,86-77,,L. Williams misses 2-pt shot at rim
11:25.0,Defensive rebound by B. Diaw,,86-77,,
11:14.0,Turnover by A. Burks (back court),,86-77,,
11:08.0,,,86-80,3,E. Gordon makes 3-pt shot from 25 ft (assist by P. Beverley)
10:46.0,R. Hood makes 2-pt shot from 15 ft,2,88-80,,
10:23.0,,,88-82,2,M. Harrell makes 2-pt shot at rim (assist by L. Williams)
10:07.0,Turnover by J. Withey (bad pass),,88-82,,
10:07.0,R. Neto enters the game for A. Burks,,88-82,,
9:49.0,,,88-84,2,M. Harrell makes 2-pt shot from 4 ft (assist by L. Williams)
9:27.0,J. Ingles misses 3-pt shot from 25 ft,,88-84,,
9:25.0,Offensive rebound by B. Diaw,,88-84,,
9:19.0,B. Diaw makes 2-pt shot from 14 ft,2,90-84,,
9:09.0,,,90-84,,Turnover by E. Gordon (traveling)
9:09.0,R. Gobert enters the game for J. Withey,,90-84,,
8:52.0,B. Diaw misses 2-pt shot from 7 ft,,90-84,,
8:51.0,,,90-84,,Defensive rebound by L. Williams
8:40.0,,,90-86,2,M. Harrell makes 2-pt shot from 3 ft (assist by L. Williams)
8:34.0,Utah full timeout,,90-86,,
8:34.0,J. Johnson enters the game for J. Ingles,,90-86,,
8:34.0,G. Hayward enters the game for B. Diaw,,90-86,,
8:25.0,R. Hood makes 2-pt shot from 11 ft,2,92-86,,
8:00.0,,,92-86,,L. Williams misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by R. Gobert,,92-86,,
7:51.0,R. Neto makes 2-pt shot from 2 ft,2,94-86,,
7:38.0,,,94-86,,S. Dekker misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by R. Gobert,,94-86,,
7:19.0,Shooting foul by M. Harrell (drawn by R. Gobert),,94-86,,
7:19.0,R. Gobert makes free throw 1 of 2,1,95-86,,
7:19.0,R. Gobert makes free throw 2 of 2,1,96-86,,
7:19.0,,,95-86,,J. Harden enters the game for L. Williams
7:19.0,,,95-86,,C. Capela enters the game for M. Harrell
7:19.0,,,95-86,,T. Ariza enters the game for S. Dekker
7:19.0,A. Burks enters the game for G. Hayward,,95-86,,
6:59.0,,,96-89,3,P. Beverley makes 3-pt shot from 24 ft
6:41.0,J. Johnson makes 2-pt shot from 18 ft (assist by R. Neto),2,98-89,,
6:22.0,,,98-89,,J. Harden misses 2-pt shot from 2 ft
6:21.0,,,98-89,,Offensive rebound by C. Capela
6:21.0,,,98-89,,C. Capela misses 2-pt shot at rim
6:19.0,Defensive rebound by J. Johnson,,98-89,,
6:03.0,Shooting foul by T. Ariza (drawn by R. Gobert),,98-89,,
6:03.0,R. Gobert misses free throw 1 of 2,,98-89,,
6:03.0,Offensive rebound by Team,,98-89,,
6:03.0,R. Gobert misses free throw 2 of 2,,98-89,,
6:03.0,,,98-89,,Defensive rebound by C. Capela
6:03.0,G. Hayward enters the game for A. Burks,,98-89,,
5:47.0,,,98-89,,E. Gordon misses 2-pt shot from 2 ft
5:46.0,Defensive rebound by R. Gobert,,98-89,,
5:22.0,J. Johnson misses 2-pt shot from 18 ft,,98-89,,
5:22.0,Offensive rebound by Team,,98-89,,
5:22.0,Turnover by Team (shot clock),,98-89,,
5:22.0,Official timeout,,98-89,,
5:09.0,,,98-89,,Shooting foul by G. Hayward (drawn by E. Gordon)
5:09.0,,,98-89,,E. Gordon misses free throw 1 of 2
5:09.0,,,98-89,,Offensive rebound by Team
5:09.0,,,98-90,1,E. Gordon makes free throw 2 of 2
4:53.0,J. Johnson misses 3-pt shot from 24 ft,,98-90,,
4:52.0,,,98-90,,Defensive rebound by C. Capela
4:40.0,,,98-92,2,J. Harden makes 2-pt shot from 2 ft
4:13.0,Shooting foul by T. Ariza (drawn by J. Johnson),,98-92,,
4:13.0,J. Johnson makes free throw 1 of 2,1,99-92,,
4:13.0,J. Johnson makes free throw 2 of 2,1,100-92,,
4:13.0,J. Ingles enters the game for R. Neto,,99-92,,
4:02.0,,,100-94,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
3:42.0,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles),3,103-94,,
3:31.0,,,103-96,2,E. Gordon makes 2-pt shot from 2 ft
3:31.0,,,103-96,,Shooting foul by R. Gobert (drawn by E. Gordon)
3:31.0,,,103-97,1,E. Gordon makes free throw 1 of 1
3:13.0,Turnover by R. Gobert (lost ball; steal by J. Harden),,103-97,,
3:08.0,,,103-97,,J. Harden misses 2-pt shot from 1 ft (block by G. Hayward)
3:07.0,,,103-97,,Offensive rebound by T. Ariza
2:56.0,,,103-99,2,J. Harden makes 2-pt shot from 1 ft
2:40.0,,,103-99,,Shooting block foul by P. Beverley (drawn by R. Gobert)
2:40.0,,,103-99,,Houston full timeout
2:40.0,R. Gobert makes free throw 1 of 2,1,104-99,,
2:40.0,R. Gobert makes free throw 2 of 2,1,105-99,,
2:27.0,,,105-101,2,J. Harden makes 2-pt shot from 2 ft
1:59.0,J. Ingles misses 3-pt shot from 23 ft,,105-101,,
1:58.0,Offensive rebound by R. Gobert,,105-101,,
1:58.0,R. Gobert makes 2-pt shot from 1 ft,2,107-101,,
1:47.0,,,107-101,,Shooting foul by J. Ingles (drawn by J. Harden)
1:47.0,,,107-102,1,J. Harden makes free throw 1 of 2
1:47.0,,,107-103,1,J. Harden makes free throw 2 of 2
1:25.0,J. Johnson makes 3-pt shot from 25 ft (assist by R. Hood),3,110-103,,
