time,Phoenix,pts.away,score,pts.home,Memphis
7:35.0,Jump ball: M. Gasol vs. A. Len,,,,Jump ball: M. Gasol vs. A. Len
7:26.0,L. Barbosa misses 3-pt shot from 25 ft,,73-85,,
7:24.0,,,73-85,,Defensive rebound by J. Green
7:20.0,,,73-85,,Turnover by J. Green (bad pass; steal by P. Tucker)
7:07.0,D. Booker makes 2-pt shot from 18 ft,2,75-85,,
6:50.0,,,75-88,3,T. Daniels makes 3-pt shot from 25 ft
6:33.0,D. Booker misses 2-pt shot from 21 ft,,75-88,,
6:33.0,Offensive rebound by Team,,75-88,,
6:33.0,E. Bledsoe enters the game for L. Barbosa,,75-88,,
6:22.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by D. Booker),3,78-88,,
6:01.0,,,78-88,,Shooting foul by E. Bledsoe (drawn by M. Conley)
6:01.0,,,78-89,1,M. Conley makes free throw 1 of 2
6:01.0,,,78-90,1,M. Conley makes free throw 2 of 2
5:37.0,E. Bledsoe misses 2-pt shot from 21 ft,,78-90,,
5:37.0,Offensive rebound by P. Tucker,,78-90,,
5:37.0,Turnover by Team (shot clock),,78-90,,
5:37.0,,,78-90,,Memphis full timeout
5:37.0,,,78-90,,T. Douglas enters the game for M. Conley
5:17.0,,,78-92,2,M. Gasol makes 2-pt shot from 5 ft
5:07.0,Offensive foul by A. Len,,78-92,,
5:07.0,Turnover by A. Len (offensive foul),,78-92,,
5:07.0,T. Chandler enters the game for A. Len,,78-92,,
4:54.0,,,78-92,,T. Daniels misses 2-pt shot from 19 ft
4:53.0,,,78-92,,Offensive rebound by J. Green
4:48.0,,,78-95,3,T. Douglas makes 3-pt shot from 25 ft (assist by J. Green)
4:28.0,E. Bledsoe misses 2-pt shot from 14 ft,,78-95,,
4:26.0,,,78-95,,Defensive rebound by T. Douglas
4:20.0,,,78-95,,T. Allen misses 2-pt shot from 3 ft
4:20.0,Defensive rebound by Team,,78-95,,
4:10.0,D. Booker makes 2-pt shot from 15 ft (assist by E. Bledsoe),2,80-95,,
3:50.0,,,80-95,,Turnover by T. Daniels (lost ball)
3:43.0,D. Booker misses 2-pt shot from 4 ft,,80-95,,
3:41.0,,,80-95,,Defensive rebound by T. Allen
3:22.0,,,80-95,,T. Douglas misses 3-pt shot from 24 ft
3:21.0,,,80-95,,Offensive rebound by J. Green
3:18.0,,,80-97,2,J. Green makes 2-pt shot at rim
3:12.0,Shooting foul by T. Allen (drawn by D. Booker),,80-97,,
3:12.0,D. Booker makes free throw 1 of 2,1,81-97,,
3:12.0,D. Booker makes free throw 2 of 2,1,82-97,,
2:59.0,,,82-97,,Shooting foul by E. Bledsoe (drawn by T. Douglas)
2:59.0,,,82-97,,Memphis full timeout
2:59.0,,,82-98,1,T. Douglas makes free throw 1 of 2
2:59.0,,,82-99,1,T. Douglas makes free throw 2 of 2
2:35.0,Turnover by D. Booker (bad pass; steal by T. Allen),,82-99,,
2:22.0,,,82-99,,T. Daniels misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by T. Chandler,,82-99,,
2:15.0,,,82-99,,Personal foul by T. Douglas (drawn by E. Bledsoe)
2:15.0,,,82-99,,A. Harrison enters the game for T. Allen
2:07.0,B. Knight makes 2-pt shot from 16 ft,2,84-99,,
1:50.0,,,84-101,2,M. Gasol makes 2-pt shot at rim (assist by J. Green)
1:42.0,D. Booker makes 2-pt shot from 9 ft,2,86-101,,
1:29.0,,,86-101,,Shooting foul by D. Booker (drawn by A. Harrison)
1:29.0,,,86-102,1,A. Harrison makes free throw 1 of 2
1:29.0,,,86-103,1,A. Harrison makes free throw 2 of 2
1:29.0,,,86-102,,B. Wright enters the game for M. Gasol
1:23.0,Shooting foul by T. Daniels (drawn by D. Booker),,86-103,,
1:23.0,D. Booker makes free throw 1 of 2,1,87-103,,
1:23.0,D. Booker makes free throw 2 of 2,1,88-103,,
1:23.0,D. Jones enters the game for T. Chandler,,87-103,,
1:23.0,M. Chriss enters the game for E. Bledsoe,,87-103,,
1:23.0,T. Ulis enters the game for P. Tucker,,87-103,,
1:23.0,A. Williams enters the game for B. Knight,,87-103,,
1:10.0,,,88-106,3,T. Daniels makes 3-pt shot from 24 ft (assist by J. Green)
1:10.0,,,88-106,,Shooting foul by D. Booker (drawn by T. Daniels)
1:10.0,,,88-106,,Technical foul by T. Daniels
1:10.0,Technical foul by T. Ulis,,88-106,,
1:10.0,,,88-106,,Technical foul by J. Green
1:10.0,Technical foul by M. Chriss,,88-106,,
1:10.0,Technical foul by A. Williams,,88-106,,
1:10.0,Technical foul by D. Booker (drawn by T. Daniels),,88-106,,
1:10.0,,,88-107,1,T. Douglas makes technical free throw
1:10.0,,,88-108,1,T. Douglas makes technical free throw
1:10.0,,,88-108,,J. Ennis misses free throw 1 of 1
1:10.0,,,88-106,,J. Ennis enters the game for T. Daniels
1:10.0,A. Len enters the game for T. Ulis,,88-106,,
1:10.0,T. Warren enters the game for M. Chriss,,88-106,,
1:09.0,Defensive rebound by A. Williams,,88-108,,
1:04.0,Turnover by D. Booker (bad pass; steal by A. Harrison),,88-108,,
0:39.0,,,88-108,,B. Wright misses 2-pt shot from 13 ft
0:37.0,,,88-108,,Offensive rebound by J. Green
0:19.0,Personal foul by A. Len (drawn by T. Douglas),,88-108,,
0:19.0,,,88-109,1,T. Douglas makes free throw 1 of 2
0:19.0,,,88-110,1,T. Douglas makes free throw 2 of 2
0:10.0,A. Len makes 3-pt shot from 24 ft (assist by D. Booker),3,91-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
