time,Minnesota,pts.away,score,pts.home,Detroit
3:08.0,Defensive rebound by G. Dieng,,93-104,,
2:54.0,R. Rubio makes 3-pt shot from 25 ft (assist by G. Dieng),3,96-104,,
2:41.0,Personal foul by A. Wiggins (drawn by M. Morris),,96-104,,
2:41.0,,,96-104,,M. Morris misses free throw 1 of 2
2:41.0,,,96-104,,Offensive rebound by Team
2:41.0,,,96-104,,M. Morris misses free throw 2 of 2
2:41.0,,,96-104,,Offensive rebound by A. Baynes
2:40.0,,,96-104,,A. Baynes misses 2-pt shot at rim
2:40.0,Defensive rebound by G. Dieng,,96-104,,
2:35.0,G. Dieng misses 2-pt shot from 20 ft,,96-104,,
2:32.0,,,96-104,,Defensive rebound by M. Morris
2:20.0,,,96-104,,I. Smith misses 2-pt shot from 1 ft
2:19.0,Defensive rebound by G. Dieng,,96-104,,
2:15.0,A. Wiggins misses 2-pt shot at rim,,96-104,,
2:14.0,Offensive rebound by K. Towns,,96-104,,
2:13.0,K. Towns misses 2-pt shot at rim,,96-104,,
2:12.0,Offensive rebound by K. Towns,,96-104,,
2:11.0,K. Towns makes 2-pt shot from 1 ft,2,98-104,,
1:53.0,,,98-106,2,K. Caldwell-Pope makes 2-pt shot from 22 ft (assist by J. Leuer)
1:42.0,,,98-106,,Personal foul by J. Leuer (drawn by K. Towns)
1:33.0,A. Wiggins makes 2-pt shot from 6 ft,2,100-106,,
1:33.0,Shooting foul by K. Caldwell-Pope (drawn by A. Wiggins),,100-106,,
1:33.0,A. Wiggins makes free throw 1 of 1,1,101-106,,
1:12.0,,,101-108,2,M. Morris makes 2-pt shot from 20 ft
1:04.0,G. Dieng misses 2-pt shot from 8 ft,,101-108,,
1:04.0,Offensive rebound by Team,,101-108,,
0:59.0,A. Wiggins makes 2-pt shot from 21 ft,2,103-108,,
0:42.0,,,103-110,2,J. Leuer makes 2-pt shot from 19 ft (assist by I. Smith)
0:36.0,Shooting foul by I. Smith (drawn by R. Rubio),,103-110,,
0:36.0,R. Rubio makes free throw 1 of 3,1,104-110,,
0:36.0,R. Rubio makes free throw 2 of 3,1,105-110,,
0:36.0,R. Rubio makes free throw 3 of 3,1,106-110,,
0:24.0,Personal foul by S. Muhammad (drawn by M. Morris),,106-110,,
0:24.0,,,106-111,1,M. Morris makes free throw 1 of 2
0:24.0,,,106-112,1,M. Morris makes free throw 2 of 2
0:24.0,,,106-111,,S. Johnson enters the game for I. Smith
0:14.0,R. Rubio misses 3-pt shot from 27 ft,,106-112,,
0:14.0,,,106-112,,Defensive rebound by J. Leuer
0:14.0,Personal foul by G. Dieng (drawn by J. Leuer),,106-112,,
0:14.0,,,106-113,1,J. Leuer makes free throw 1 of 2
0:14.0,,,106-114,1,J. Leuer makes free throw 2 of 2
0:14.0,Minnesota full timeout,,106-114,,
0:14.0,N. Bjelica enters the game for G. Dieng,,106-114,,
0:11.0,K. Towns makes 2-pt shot at rim (assist by N. Bjelica),2,108-114,,
0:11.0,,,108-114,,Detroit full timeout
0:11.0,,,108-114,,B. Udrih enters the game for A. Baynes
0:11.0,,,108-114,,T. Harris enters the game for S. Johnson
0:03.0,Personal foul by K. Towns (drawn by T. Harris),,108-114,,
0:03.0,,,108-115,1,T. Harris makes free throw 1 of 2
0:03.0,,,108-116,1,T. Harris makes free throw 2 of 2
0:03.0,,,108-115,,S. Johnson enters the game for B. Udrih
0:01.0,A. Wiggins misses 3-pt shot from 31 ft,,108-116,,
0:00.0,Offensive rebound by Team,,108-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
