time,Brooklyn,pts.away,score,pts.home,San Antonio
5:28.0,L. Scola makes free throw 1 of 2,1,88-117,,
5:28.0,L. Scola misses free throw 2 of 2,,88-117,,
5:27.0,,,88-117,,Defensive rebound by K. Anderson
5:12.0,,,88-119,2,D. Lee makes 2-pt shot from 1 ft (assist by D. Green)
4:54.0,J. Harris makes 2-pt shot from 1 ft (assist by L. Scola),2,90-119,,
4:45.0,Personal foul by R. Foye (drawn by N. Laprovittola),,90-119,,
4:45.0,C. LeVert enters the game for J. Harris,,90-119,,
4:36.0,,,90-119,,Shooting foul by R. Foye (drawn by D. Green)
4:36.0,,,90-120,1,D. Green makes free throw 1 of 2
4:36.0,,,90-120,,D. Green misses free throw 2 of 2
4:35.0,Defensive rebound by R. Hollis-Jefferson,,90-120,,
4:25.0,C. LeVert misses 3-pt shot from 25 ft,,90-120,,
4:25.0,Offensive rebound by L. Scola,,90-120,,
4:21.0,L. Scola makes 2-pt shot from 1 ft,2,92-120,,
4:09.0,,,92-120,,K. Anderson misses 2-pt shot from 14 ft
4:07.0,Defensive rebound by L. Scola,,92-120,,
3:58.0,S. Dinwiddie misses 2-pt shot at rim,,92-120,,
3:57.0,,,92-120,,Defensive rebound by D. Lee
3:46.0,,,92-120,,N. Laprovittola misses 2-pt shot from 1 ft
3:46.0,Defensive rebound by R. Hollis-Jefferson,,92-120,,
3:35.0,R. Hollis-Jefferson makes 2-pt shot from 8 ft,2,94-120,,
3:16.0,,,94-122,2,D. Bertans makes 2-pt shot at rim (assist by D. Lee)
3:10.0,Brooklyn full timeout,,94-122,,
3:10.0,,,94-122,,J. Simmons enters the game for D. Green
2:59.0,L. Scola misses 2-pt shot from 4 ft,,94-122,,
2:58.0,,,94-122,,Defensive rebound by D. Bertans
2:47.0,,,94-122,,D. Lee misses 2-pt shot from 19 ft
2:46.0,Defensive rebound by R. Foye,,94-122,,
2:38.0,Turnover by L. Scola (lost ball; steal by K. Anderson),,94-122,,
2:25.0,,,94-122,,Shooting foul by R. Hollis-Jefferson (drawn by D. Bertans)
2:25.0,,,94-123,1,D. Bertans makes free throw 1 of 3
2:25.0,,,94-124,1,D. Bertans makes free throw 2 of 3
2:25.0,,,94-125,1,D. Bertans makes free throw 3 of 3
2:06.0,Shooting foul by D. Bertans (drawn by R. Hollis-Jefferson),,94-125,,
2:06.0,R. Hollis-Jefferson makes free throw 1 of 2,1,95-125,,
2:06.0,R. Hollis-Jefferson makes free throw 2 of 2,1,96-125,,
1:48.0,,,96-125,,K. Anderson misses 2-pt shot from 11 ft
1:46.0,Defensive rebound by L. Scola,,96-125,,
1:33.0,,,96-125,,Violation by N. Laprovittola (kicked ball)
1:26.0,L. Scola makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,99-125,,
1:08.0,,,99-128,3,J. Simmons makes 3-pt shot from 23 ft (assist by N. Laprovittola)
0:58.0,L. Scola misses 2-pt shot from 7 ft,,99-128,,
0:57.0,,,99-128,,Defensive rebound by D. Lee
0:39.0,,,99-128,,Turnover by J. Simmons (lost ball; steal by S. Dinwiddie)
0:34.0,R. Foye misses 3-pt shot from 26 ft,,99-128,,
0:31.0,,,99-128,,Defensive rebound by D. Bertans
0:09.0,,,99-128,,D. Lee misses 2-pt shot from 8 ft
0:06.0,,,99-128,,Offensive rebound by K. Anderson
0:06.0,,,99-130,2,K. Anderson makes 2-pt shot from 1 ft
0:02.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by S. Dinwiddie),2,101-130,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
