time,Cleveland,pts.away,score,pts.home,Philadelphia
5:12.0,,,91-96,,G. Henderson misses 3-pt shot from 23 ft
5:11.0,Defensive rebound by T. Thompson,,91-96,,
5:07.0,,,91-96,,Personal foul by R. Covington (drawn by K. Irving)
4:56.0,L. James makes 2-pt shot at rim,2,93-96,,
4:39.0,,,93-96,,S. Rodriguez misses 3-pt shot from 27 ft
4:37.0,Defensive rebound by T. Thompson,,93-96,,
4:29.0,K. Irving misses 3-pt shot from 27 ft,,93-96,,
4:27.0,,,93-96,,Defensive rebound by R. Covington
4:21.0,,,93-96,,R. Covington misses 3-pt shot from 27 ft
4:19.0,Defensive rebound by L. James,,93-96,,
4:11.0,Turnover by L. James (bad pass; steal by S. Rodriguez),,93-96,,
3:54.0,,,93-98,2,J. Embiid makes 2-pt shot from 7 ft
3:30.0,,,93-98,,Personal foul by G. Henderson (drawn by K. Irving)
3:24.0,L. James makes 3-pt shot from 25 ft,3,96-98,,
3:09.0,,,96-98,,Turnover by J. Embiid (bad pass; steal by J. Smith)
2:59.0,,,96-98,,Personal foul by G. Henderson (drawn by J. Smith)
2:59.0,Personal foul by J. Smith,,96-98,,
2:59.0,Cleveland full timeout,,96-98,,
2:50.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,99-98,,
2:37.0,,,99-101,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by S. Rodriguez)
2:20.0,L. James misses 2-pt shot from 3 ft (block by J. Embiid),,99-101,,
2:18.0,Offensive rebound by L. James,,99-101,,
2:09.0,L. James misses 3-pt shot from 24 ft,,99-101,,
2:08.0,,,99-101,,Defensive rebound by S. Rodriguez
1:50.0,Personal foul by T. Thompson (drawn by J. Embiid),,99-101,,
1:46.0,,,99-101,,Turnover by J. Embiid (bad pass; steal by L. James)
1:26.0,L. James misses 2-pt shot from 7 ft,,99-101,,
1:24.0,,,99-101,,Defensive rebound by S. Rodriguez
1:20.0,,,99-101,,Offensive charge foul by R. Covington
1:20.0,,,99-101,,Turnover by R. Covington (offensive foul)
1:20.0,Cleveland full timeout,,99-101,,
1:20.0,C. Frye enters the game for T. Thompson,,99-101,,
1:05.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,102-101,,
1:05.0,,,102-101,,Philadelphia full timeout
1:05.0,T. Thompson enters the game for C. Frye,,102-101,,
0:51.0,,,102-101,,Turnover by J. Embiid (bad pass; steal by K. Irving)
0:44.0,Turnover by K. Irving (bad pass; steal by J. Embiid),,102-101,,
0:36.0,,,102-101,,Turnover by S. Rodriguez (lost ball)
0:36.0,C. Frye enters the game for T. Thompson,,102-101,,
0:16.0,J. Smith misses 3-pt shot from 25 ft,,102-101,,
0:14.0,,,102-101,,Defensive rebound by G. Henderson
0:07.0,,,102-101,,Philadelphia full timeout
0:07.0,I. Shumpert enters the game for K. Love,,102-101,,
0:07.0,,,102-101,,Philadelphia full timeout
0:01.0,,,102-101,,Turnover by G. Henderson (lost ball; steal by I. Shumpert)
0:00.0,End of 4th quarter,,,,End of 4th quarter
