time,Miami,pts.away,score,pts.home,Boston
3:45.0,Turnover by G. Dragic (bad pass; steal by M. Smart),,73-77,,
3:39.0,,,73-79,2,I. Thomas makes 2-pt shot from 2 ft
3:28.0,L. Babbitt misses 3-pt shot from 27 ft,,73-79,,
3:27.0,Offensive rebound by H. Whiteside,,73-79,,
3:26.0,Shooting foul by J. Jerebko (drawn by H. Whiteside),,73-79,,
3:26.0,H. Whiteside misses free throw 1 of 2,,73-79,,
3:26.0,Offensive rebound by Team,,73-79,,
3:26.0,H. Whiteside misses free throw 2 of 2,,73-79,,
3:26.0,,,73-79,,Defensive rebound by J. Crowder
3:26.0,J. Johnson enters the game for L. Babbitt,,73-79,,
3:26.0,T. Johnson enters the game for G. Dragic,,73-79,,
3:13.0,,,73-79,,M. Smart misses 2-pt shot from 5 ft
3:13.0,,,73-79,,Offensive rebound by Team
3:13.0,W. Reed enters the game for H. Whiteside,,73-79,,
3:13.0,,,73-79,,Boston full timeout
3:05.0,,,73-79,,J. Jerebko misses 3-pt shot from 24 ft
3:05.0,,,73-79,,Offensive rebound by J. Crowder
3:03.0,,,73-79,,Shooting foul by R. McGruder (drawn by J. Crowder)
3:03.0,,,73-80,1,J. Crowder makes free throw 1 of 2
3:03.0,,,73-81,1,J. Crowder makes free throw 2 of 2
2:45.0,J. Johnson misses 2-pt shot from 3 ft,,73-81,,
2:43.0,,,73-81,,Defensive rebound by A. Johnson
2:33.0,,,73-81,,J. Crowder misses 3-pt shot from 28 ft
2:32.0,Defensive rebound by W. Reed,,73-81,,
2:13.0,Turnover by T. Johnson (bad pass; steal by A. Johnson),,73-81,,
2:02.0,,,73-81,,I. Thomas misses 2-pt shot from 22 ft
2:01.0,Defensive rebound by J. Johnson,,73-81,,
1:41.0,R. McGruder misses 3-pt shot from 26 ft,,73-81,,
1:40.0,,,73-81,,Defensive rebound by A. Johnson
1:27.0,,,73-81,,I. Thomas misses 2-pt shot from 15 ft
1:26.0,Defensive rebound by R. McGruder,,73-81,,
1:05.0,J. Richardson misses 2-pt shot from 19 ft,,73-81,,
1:04.0,,,73-81,,Defensive rebound by Team
1:04.0,Loose ball foul by R. McGruder (drawn by A. Johnson),,73-81,,
1:04.0,,,73-81,,K. Olynyk enters the game for A. Johnson
1:04.0,,,73-81,,J. Brown enters the game for I. Thomas
1:04.0,W. Ellington enters the game for R. McGruder,,73-81,,
0:41.0,,,73-83,2,J. Jerebko makes 2-pt shot from 19 ft (assist by J. Brown)
0:30.0,J. Johnson makes 2-pt shot at rim (assist by T. Johnson),2,75-83,,
0:06.0,,,75-85,2,J. Brown makes 2-pt shot from 17 ft (assist by M. Smart)
0:01.0,J. Johnson misses 3-pt shot from 27 ft,,75-85,,
0:00.0,Offensive rebound by Team,,75-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Johnson makes 2-pt shot from 3 ft,2,77-85,,
11:17.0,,,77-85,,M. Smart misses 3-pt shot from 22 ft
11:16.0,Defensive rebound by T. Johnson,,77-85,,
11:10.0,T. Johnson makes 2-pt shot from 1 ft,2,79-85,,
11:10.0,Shooting foul by K. Olynyk (drawn by T. Johnson),,79-85,,
11:10.0,T. Johnson makes free throw 1 of 1,1,80-85,,
10:51.0,,,80-87,2,K. Olynyk makes 2-pt shot from 3 ft (assist by M. Smart)
10:33.0,T. Johnson makes 2-pt shot from 2 ft,2,82-87,,
10:20.0,,,82-89,2,J. Jerebko makes 2-pt shot from 4 ft (assist by M. Smart)
10:05.0,T. Johnson misses 3-pt shot from 28 ft,,82-89,,
10:04.0,,,82-89,,Defensive rebound by J. Brown
9:50.0,,,82-91,2,J. Brown makes 2-pt shot at rim (assist by J. Jerebko)
9:40.0,Shooting foul by J. Jerebko (drawn by J. Johnson),,82-91,,
9:40.0,J. Johnson makes 2-pt shot from 3 ft,2,84-91,,
9:40.0,J. Johnson makes free throw 1 of 1,1,85-91,,
9:22.0,,,85-91,,K. Olynyk misses 2-pt shot from 22 ft
9:21.0,Defensive rebound by Team,,85-91,,
9:21.0,,,85-91,,Loose ball foul by J. Brown (drawn by W. Ellington)
9:21.0,,,85-91,,A. Horford enters the game for J. Jerebko
9:08.0,Shooting foul by K. Olynyk (drawn by J. Johnson),,85-91,,
9:08.0,J. Johnson makes free throw 1 of 2,1,86-91,,
9:08.0,J. Johnson makes free throw 2 of 2,1,87-91,,
8:51.0,Personal foul by W. Reed (drawn by M. Smart),,87-91,,
8:51.0,Official timeout,,87-91,,
8:44.0,,,87-94,3,K. Olynyk makes 3-pt shot from 23 ft (assist by M. Smart)
8:18.0,J. Johnson misses 2-pt shot from 9 ft,,87-94,,
8:17.0,,,87-94,,Defensive rebound by T. Rozier
8:07.0,,,87-94,,T. Rozier misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by W. Reed,,87-94,,
7:56.0,Turnover by J. Johnson (bad pass; steal by J. Brown),,87-94,,
7:55.0,Personal foul by T. Johnson (drawn by J. Brown),,87-94,,
7:55.0,,,87-94,,A. Bradley enters the game for T. Rozier
7:47.0,,,87-94,,K. Olynyk misses 2-pt shot from 16 ft
7:46.0,Defensive rebound by T. Johnson,,87-94,,
7:31.0,T. Johnson makes 2-pt shot at rim,2,89-94,,
7:31.0,Shooting foul by J. Brown (drawn by T. Johnson),,89-94,,
7:31.0,T. Johnson makes free throw 1 of 1,1,90-94,,
7:20.0,,,90-94,,Turnover by M. Smart (bad pass; steal by T. Johnson)
7:13.0,W. Reed makes 2-pt shot at rim (assist by J. Johnson),2,92-94,,
6:58.0,Personal foul by W. Reed (drawn by K. Olynyk),,92-94,,
6:58.0,,,92-94,,I. Thomas enters the game for J. Brown
6:58.0,J. Richardson enters the game for T. Johnson,,92-94,,
6:45.0,,,92-94,,A. Bradley misses 2-pt shot from 21 ft
6:44.0,,,92-94,,Offensive rebound by Team
6:44.0,,,92-94,,Turnover by Team (shot clock)
6:21.0,G. Dragic makes 3-pt shot from 26 ft,3,95-94,,
6:11.0,Personal foul by W. Reed (drawn by I. Thomas),,95-94,,
6:11.0,H. Whiteside enters the game for W. Reed,,95-94,,
6:08.0,Personal foul by G. Dragic (drawn by M. Smart),,95-94,,
6:08.0,,,95-95,1,M. Smart makes free throw 1 of 2
6:08.0,,,95-96,1,M. Smart makes free throw 2 of 2
6:08.0,,,95-95,,J. Crowder enters the game for K. Olynyk
5:57.0,Turnover by G. Dragic (lost ball),,95-96,,
5:57.0,,,95-96,,Boston full timeout
5:43.0,,,95-96,,Loose ball foul by I. Thomas (drawn by J. Richardson)
5:43.0,,,95-96,,Turnover by I. Thomas (offensive foul)
5:43.0,J. Richardson makes free throw 1 of 2,1,96-96,,
5:43.0,J. Richardson makes free throw 2 of 2,1,97-96,,
5:43.0,T. Johnson enters the game for W. Ellington,,96-96,,
5:30.0,Personal foul by J. Richardson (drawn by A. Horford),,97-96,,
5:30.0,,,97-96,,A. Horford misses free throw 1 of 2
5:30.0,,,97-96,,Offensive rebound by Team
5:30.0,,,97-97,1,A. Horford makes free throw 2 of 2
5:15.0,T. Johnson makes 2-pt shot at rim (assist by H. Whiteside),2,99-97,,
4:57.0,,,99-99,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Horford)
4:50.0,Miami full timeout,,99-99,,
4:32.0,J. Johnson misses 2-pt shot from 16 ft,,99-99,,
4:31.0,,,99-99,,Defensive rebound by I. Thomas
4:18.0,,,99-99,,Turnover by A. Horford (bad pass; steal by G. Dragic)
4:13.0,T. Johnson makes 2-pt shot from 1 ft,2,101-99,,
3:59.0,,,101-99,,I. Thomas misses 3-pt shot from 25 ft
3:59.0,,,101-99,,Offensive rebound by A. Horford
3:53.0,,,101-102,3,J. Crowder makes 3-pt shot from 26 ft (assist by M. Smart)
3:31.0,T. Johnson misses 2-pt shot from 19 ft,,101-102,,
3:30.0,,,101-102,,Defensive rebound by J. Crowder
3:21.0,,,101-102,,Turnover by I. Thomas (bad pass)
3:04.0,T. Johnson misses 2-pt shot from 22 ft,,101-102,,
