time,Charlotte,pts.away,score,pts.home,Dallas
2:25.0,,,103-95,,J. Gibson enters the game for D. Finney-Smith
2:11.0,,,103-95,,H. Barnes misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by M. Belinelli,,103-95,,
2:01.0,,,103-95,,Personal foul by W. Matthews (drawn by K. Walker)
2:01.0,K. Walker misses free throw 1 of 2,,103-95,,
2:01.0,Offensive rebound by Team,,103-95,,
2:01.0,K. Walker makes free throw 2 of 2,1,104-95,,
1:50.0,,,104-95,,Shooting foul by N. Batum (drawn by H. Barnes)
1:50.0,,,104-96,1,H. Barnes makes free throw 1 of 2
1:50.0,,,104-97,1,H. Barnes makes free throw 2 of 2
1:50.0,,,104-96,,D. Finney-Smith enters the game for J. Gibson
1:34.0,Offensive foul by C. Zeller,,104-97,,
1:34.0,Turnover by C. Zeller (offensive foul),,104-97,,
1:34.0,,,104-97,,J. Gibson enters the game for D. Finney-Smith
1:28.0,,,104-97,,D. Williams misses 2-pt shot from 13 ft
1:26.0,,,104-97,,Offensive rebound by D. Powell
1:26.0,,,104-99,2,D. Powell makes 2-pt shot from 1 ft
1:02.0,K. Walker misses 2-pt shot from 17 ft,,104-99,,
1:01.0,,,104-99,,Defensive rebound by J. Gibson
0:56.0,,,104-101,2,J. Gibson makes 2-pt shot from 6 ft
0:56.0,Charlotte full timeout,,104-101,,
0:56.0,,,104-101,,D. Finney-Smith enters the game for J. Gibson
0:49.0,J. Lamb misses 3-pt shot from 24 ft,,104-101,,
0:48.0,,,104-101,,Defensive rebound by D. Finney-Smith
0:34.0,,,104-101,,D. Williams misses 2-pt shot from 7 ft (block by C. Zeller)
0:33.0,Defensive rebound by N. Batum,,104-101,,
0:14.0,J. Lamb makes 3-pt shot from 26 ft (assist by K. Walker),3,107-101,,
0:14.0,,,107-101,,Dallas full timeout
0:14.0,,,107-101,,J. Gibson enters the game for D. Finney-Smith
0:14.0,M. Kidd-Gilchrist enters the game for J. Lamb,,107-101,,
0:10.0,,,107-101,,H. Barnes misses 2-pt shot from 24 ft
0:09.0,Defensive rebound by M. Belinelli,,107-101,,
0:08.0,,,107-101,,Personal take foul by D. Williams (drawn by M. Belinelli)
0:08.0,M. Belinelli makes free throw 1 of 2,1,108-101,,
0:08.0,M. Belinelli makes free throw 2 of 2,1,109-101,,
0:08.0,,,109-101,,Dallas full timeout
0:03.0,,,109-101,,D. Williams misses 2-pt shot from 20 ft
0:02.0,Defensive rebound by Team,,109-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
