time,Sacramento,pts.away,score,pts.home,New York
6:53.0,W. Cauley-Stein misses 2-pt shot from 4 ft (block by K. Porzingis),,85-90,,
6:52.0,,,85-90,,Defensive rebound by D. Rose
6:48.0,,,85-92,2,B. Jennings makes 2-pt shot at rim (assist by D. Rose)
6:32.0,D. Cousins makes 3-pt shot from 26 ft (assist by R. Gay),3,88-92,,
6:19.0,,,88-94,2,D. Rose makes 2-pt shot from 2 ft
6:19.0,,,88-94,,Shooting foul by W. Cauley-Stein (drawn by D. Rose)
6:19.0,,,88-94,,D. Rose misses free throw 1 of 1
6:19.0,G. Temple enters the game for O. Casspi,,88-94,,
6:18.0,Defensive rebound by D. Cousins,,88-94,,
6:03.0,Shooting foul by C. Anthony (drawn by R. Gay),,88-94,,
6:03.0,R. Gay makes 2-pt shot from 16 ft,2,90-94,,
6:03.0,R. Gay makes free throw 1 of 1,1,91-94,,
5:47.0,,,91-94,,C. Anthony misses 2-pt shot from 13 ft
5:46.0,Defensive rebound by D. Collison,,91-94,,
5:38.0,D. Cousins misses 3-pt shot from 26 ft,,91-94,,
5:37.0,Offensive rebound by W. Cauley-Stein,,91-94,,
5:25.0,D. Collison misses 3-pt shot from 26 ft,,91-94,,
5:24.0,,,91-94,,Defensive rebound by K. Porzingis
5:14.0,,,91-96,2,B. Jennings makes 2-pt shot from 1 ft
5:07.0,Sacramento full timeout,,91-96,,
4:51.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by R. Gay),2,93-96,,
4:51.0,Shooting foul by K. Porzingis (drawn by W. Cauley-Stein),,93-96,,
4:51.0,W. Cauley-Stein makes free throw 1 of 1,1,94-96,,
4:34.0,,,94-96,,K. Porzingis misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by D. Cousins,,94-96,,
4:14.0,D. Cousins misses 2-pt shot from 3 ft,,94-96,,
4:13.0,,,94-96,,Defensive rebound by Team
3:54.0,,,94-96,,D. Rose misses 2-pt shot from 18 ft
3:53.0,Defensive rebound by R. Gay,,94-96,,
3:33.0,D. Cousins misses 3-pt shot from 26 ft,,94-96,,
3:32.0,,,94-96,,Defensive rebound by K. Porzingis
3:24.0,,,94-99,3,C. Anthony makes 3-pt shot from 25 ft (assist by K. Porzingis)
3:05.0,W. Cauley-Stein misses 2-pt shot from 6 ft,,94-99,,
3:04.0,,,94-99,,Defensive rebound by J. Noah
2:54.0,Personal foul by G. Temple (drawn by B. Jennings),,94-99,,
2:54.0,,,94-99,,New York full timeout
2:54.0,,,94-100,1,B. Jennings makes free throw 1 of 2
2:54.0,,,94-101,1,B. Jennings makes free throw 2 of 2
2:37.0,R. Gay misses 2-pt shot from 19 ft,,94-101,,
2:36.0,Offensive rebound by R. Gay,,94-101,,
2:34.0,R. Gay makes 2-pt shot from 5 ft,2,96-101,,
2:30.0,Personal take foul by G. Temple (drawn by J. Noah),,96-101,,
2:30.0,,,96-101,,J. Noah misses free throw 1 of 2
2:30.0,,,96-101,,Offensive rebound by Team
2:30.0,,,96-101,,J. Noah misses free throw 2 of 2
2:29.0,Defensive rebound by R. Gay,,96-101,,
2:13.0,D. Cousins misses 2-pt shot from 5 ft,,96-101,,
2:12.0,Offensive rebound by W. Cauley-Stein,,96-101,,
2:06.0,R. Gay misses 3-pt shot from 25 ft,,96-101,,
2:06.0,,,96-101,,Defensive rebound by Team
2:05.0,Violation by W. Cauley-Stein (kicked ball),,96-101,,
2:04.0,Personal take foul by G. Temple (drawn by J. Noah),,96-101,,
2:04.0,,,96-101,,J. Noah misses free throw 1 of 2
2:04.0,,,96-101,,Offensive rebound by Team
2:04.0,,,96-101,,J. Noah misses free throw 2 of 2
2:03.0,Defensive rebound by R. Gay,,96-101,,
1:53.0,R. Gay misses 2-pt shot from 3 ft (block by K. Porzingis),,96-101,,
1:52.0,,,96-101,,Defensive rebound by K. Porzingis
1:50.0,,,96-101,,New York full timeout
1:50.0,,,96-101,,K. O'Quinn enters the game for J. Noah
1:31.0,,,96-101,,C. Anthony misses 3-pt shot from 25 ft
1:30.0,,,96-101,,Offensive rebound by K. O'Quinn
1:26.0,Jump ball: K. O'Quinn vs. G. Temple (D. Rose gains possession),,,,Jump ball: K. O'Quinn vs. G. Temple (D. Rose gains possession)
1:13.0,,,96-101,,D. Rose misses 2-pt shot from 7 ft
1:12.0,,,96-101,,Offensive rebound by K. O'Quinn
1:08.0,,,96-101,,Turnover by K. O'Quinn (lost ball)
0:59.0,D. Cousins misses 3-pt shot from 25 ft (block by K. O'Quinn),,96-101,,
0:58.0,,,96-101,,Defensive rebound by C. Anthony
0:35.0,,,96-103,2,C. Anthony makes 2-pt shot from 6 ft
0:25.0,D. Collison makes 2-pt shot from 2 ft (assist by D. Cousins),2,98-103,,
0:23.0,Personal take foul by R. Gay (drawn by C. Anthony),,98-103,,
0:23.0,,,98-103,,C. Anthony misses free throw 1 of 2
0:23.0,,,98-103,,Offensive rebound by Team
0:23.0,,,98-104,1,C. Anthony makes free throw 2 of 2
0:23.0,Sacramento full timeout,,98-104,,
0:23.0,M. Barnes enters the game for W. Cauley-Stein,,98-104,,
0:17.0,M. Barnes misses 3-pt shot from 25 ft,,98-104,,
0:16.0,Offensive rebound by Team,,98-104,,
0:16.0,Sacramento full timeout,,98-104,,
0:12.0,R. Gay misses 3-pt shot from 26 ft,,98-104,,
0:11.0,,,98-104,,Defensive rebound by D. Rose
0:06.0,Personal foul by R. Gay (drawn by B. Jennings),,98-104,,
0:06.0,,,98-105,1,B. Jennings makes free throw 1 of 2
0:06.0,,,98-106,1,B. Jennings makes free throw 2 of 2
0:02.0,G. Temple misses 3-pt shot from 24 ft,,98-106,,
0:00.0,,,98-106,,Defensive rebound by C. Anthony
0:00.0,End of 4th quarter,,,,End of 4th quarter
