time,LA Clippers,pts.away,score,pts.home,Chicago
3:11.0,Defensive rebound by B. Griffin,,101-87,,
2:47.0,C. Paul misses 3-pt shot from 26 ft,,101-87,,
2:45.0,,,101-87,,Defensive rebound by D. Valentine
2:41.0,,,101-87,,D. Wade misses 2-pt shot from 9 ft
2:40.0,Defensive rebound by D. Jordan,,101-87,,
2:17.0,L. Mbah a Moute misses 2-pt shot from 21 ft,,101-87,,
2:16.0,,,101-87,,Defensive rebound by D. Valentine
1:58.0,,,101-90,3,D. Valentine makes 3-pt shot from 25 ft (assist by J. Butler)
1:45.0,Turnover by B. Griffin (bad pass; steal by N. Mirotic),,101-90,,
1:41.0,,,101-90,,Turnover by R. Rondo (bad pass)
1:41.0,,,101-90,,C. Payne enters the game for D. Wade
1:15.0,C. Paul misses 2-pt shot from 11 ft,,101-90,,
1:14.0,Offensive rebound by D. Jordan,,101-90,,
1:14.0,Turnover by D. Jordan (offensive goaltending),,101-90,,
1:02.0,,,101-90,,Shooting foul by D. Jordan (drawn by J. Butler)
1:02.0,,,101-90,,J. Butler misses free throw 1 of 2
1:02.0,,,101-90,,Offensive rebound by Team
1:02.0,,,101-91,1,J. Butler makes free throw 2 of 2
0:47.0,,,101-91,,Personal foul by C. Payne (drawn by C. Paul)
0:47.0,,,101-91,,C. Felicio enters the game for J. Butler
0:32.0,B. Griffin misses 3-pt shot from 25 ft,,101-91,,
0:31.0,,,101-91,,Defensive rebound by R. Rondo
0:20.0,,,101-91,,C. Payne misses 2-pt shot from 3 ft
0:19.0,Defensive rebound by D. Jordan,,101-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
