time,Milwaukee,pts.away,score,pts.home,San Antonio
0:15.0,,,108-107,,San Antonio full timeout
0:11.0,,,108-107,,D. Bertans misses 3-pt shot from 26 ft
0:10.0,Defensive rebound by J. Parker,,108-107,,
0:08.0,,,108-107,,Personal foul by D. Green (drawn by G. Monroe)
0:08.0,,,108-107,,M. Ginobili enters the game for P. Gasol
0:08.0,,,108-107,,J. Simmons enters the game for D. Bertans
0:08.0,Milwaukee full timeout,,108-107,,
0:08.0,J. Terry enters the game for M. Beasley,,108-107,,
0:08.0,M. Dellavedova enters the game for T. Snell,,108-107,,
0:07.0,,,108-107,,Personal take foul by T. Parker (drawn by M. Brogdon)
0:07.0,M. Brogdon makes free throw 1 of 2,1,109-107,,
0:07.0,M. Brogdon misses free throw 2 of 2,,109-107,,
0:07.0,,,109-107,,Defensive rebound by D. Dedmon
0:07.0,,,109-107,,San Antonio full timeout
0:07.0,,,109-107,,P. Gasol enters the game for J. Simmons
0:07.0,,,109-107,,D. Dedmon enters the game for M. Ginobili
0:07.0,T. Snell enters the game for J. Terry,,109-107,,
0:07.0,,,109-107,,M. Ginobili enters the game for D. Dedmon
0:07.0,,,109-107,,D. Lee enters the game for P. Gasol
0:01.0,,,109-107,,M. Ginobili misses 2-pt shot from 24 ft
0:00.0,,,109-107,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
