time,LA Clippers,pts.away,score,pts.home,Boston
2:48.0,,,89-101,1,I. Thomas makes free throw 3 of 3
2:48.0,M. Speights enters the game for D. Jordan,,89-100,,
2:37.0,Shooting foul by A. Horford (drawn by B. Griffin),,89-101,,
2:37.0,B. Griffin misses free throw 1 of 2,,89-101,,
2:37.0,Offensive rebound by Team,,89-101,,
2:37.0,B. Griffin makes free throw 2 of 2,1,90-101,,
2:37.0,,,89-101,,K. Olynyk enters the game for A. Johnson
2:22.0,,,90-101,,A. Horford misses 3-pt shot from 24 ft
2:21.0,Defensive rebound by M. Speights,,90-101,,
2:11.0,M. Speights makes 3-pt shot from 25 ft (assist by J. Redick),3,93-101,,
1:52.0,,,93-103,2,I. Thomas makes 2-pt shot from 1 ft
1:44.0,J. Crawford makes 2-pt shot from 2 ft,2,95-103,,
1:23.0,,,95-103,,I. Thomas misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by J. Redick,,95-103,,
1:15.0,Shooting foul by A. Horford (drawn by B. Griffin),,95-103,,
1:15.0,B. Griffin makes free throw 1 of 2,1,96-103,,
1:15.0,B. Griffin makes free throw 2 of 2,1,97-103,,
0:57.0,,,97-103,,J. Crowder misses 3-pt shot from 23 ft
0:54.0,Defensive rebound by Team,,97-103,,
0:45.0,J. Crawford misses 3-pt shot from 25 ft,,97-103,,
0:44.0,Offensive rebound by M. Speights,,97-103,,
0:43.0,Shooting foul by A. Horford (drawn by M. Speights),,97-103,,
0:43.0,M. Speights makes free throw 1 of 2,1,98-103,,
0:43.0,M. Speights makes free throw 2 of 2,1,99-103,,
0:30.0,,,99-103,,Shooting foul by J. Redick (drawn by I. Thomas)
0:30.0,,,99-104,1,I. Thomas makes free throw 1 of 2
0:30.0,,,99-105,1,I. Thomas makes free throw 2 of 2
0:30.0,LA Clippers full timeout,,99-105,,
0:30.0,,,99-104,,J. Brown enters the game for K. Olynyk
0:22.0,B. Griffin misses 3-pt shot from 24 ft,,99-105,,
0:21.0,,,99-105,,Defensive rebound by A. Horford
0:20.0,Personal take foul by B. Griffin (drawn by A. Horford),,99-105,,
0:20.0,,,99-106,1,A. Horford makes free throw 1 of 2
0:20.0,,,99-107,1,A. Horford makes free throw 2 of 2
0:20.0,P. Pierce enters the game for B. Griffin,,99-106,,
0:11.0,P. Pierce makes 3-pt shot from 28 ft (assist by A. Rivers),3,102-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
