time,Detroit,pts.away,score,pts.home,Toronto
1:19.0,A. Drummond misses free throw 1 of 2,,96-101,,
1:19.0,Offensive rebound by Team,,96-101,,
1:19.0,A. Drummond makes free throw 2 of 2,1,97-101,,
0:58.0,,,97-101,,D. DeRozan misses 2-pt shot from 13 ft
0:57.0,Defensive rebound by A. Drummond,,97-101,,
0:48.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,99-101,,
0:24.0,,,99-101,,K. Lowry misses 2-pt shot from 9 ft
0:23.0,Defensive rebound by I. Smith,,99-101,,
0:13.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Smith),3,102-101,,
0:13.0,,,102-101,,Toronto full timeout
0:13.0,,,102-101,,T. Ross enters the game for L. Nogueira
0:09.0,Personal foul by K. Caldwell-Pope (drawn by K. Lowry),,102-101,,
0:09.0,,,102-101,,Toronto full timeout
0:01.0,,,102-101,,D. DeRozan misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by A. Drummond,,102-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
