time,Indiana,pts.away,score,pts.home,LA Lakers
4:38.0,Defensive rebound by T. Young,,88-106,,
4:21.0,T. Young misses 3-pt shot from 26 ft,,88-106,,
4:20.0,,,88-106,,Defensive rebound by Team
4:02.0,,,88-106,,J. Randle misses 2-pt shot from 17 ft
3:58.0,Defensive rebound by P. George,,88-106,,
3:49.0,M. Turner misses 2-pt shot from 17 ft,,88-106,,
3:46.0,,,88-106,,Defensive rebound by B. Ingram
3:30.0,,,88-108,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
3:18.0,P. George makes 3-pt shot from 26 ft (assist by T. Young),3,91-108,,
2:54.0,,,91-108,,L. Williams misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by M. Turner,,91-108,,
2:45.0,Turnover by M. Turner (lost ball; steal by L. Williams),,91-108,,
2:25.0,,,91-108,,Turnover by J. Clarkson (lost ball; steal by P. George)
2:25.0,,,91-108,,Personal foul by T. Black (drawn by P. George)
2:25.0,Official timeout,,91-108,,
2:25.0,G. Niang enters the game for P. George,,91-108,,
2:25.0,K. Seraphin enters the game for T. Young,,91-108,,
2:25.0,G. Robinson enters the game for M. Turner,,91-108,,
2:25.0,L. Allen enters the game for J. Teague,,91-108,,
2:25.0,A. Brooks enters the game for M. Ellis,,91-108,,
2:14.0,G. Niang misses 2-pt shot from 6 ft,,91-108,,
2:10.0,,,91-108,,Defensive rebound by L. Williams
1:55.0,,,91-108,,Turnover by J. Clarkson (bad pass; steal by G. Niang)
1:49.0,G. Robinson makes 3-pt shot from 26 ft (assist by A. Brooks),3,94-108,,
1:32.0,,,94-108,,B. Ingram misses 3-pt shot from 24 ft
1:30.0,Defensive rebound by A. Brooks,,94-108,,
1:20.0,Turnover by G. Robinson (bad pass; steal by J. Clarkson),,94-108,,
1:15.0,,,94-108,,Turnover by J. Clarkson (bad pass; steal by G. Niang)
1:03.0,G. Niang misses 3-pt shot from 24 ft,,94-108,,
1:01.0,,,94-108,,Defensive rebound by L. Williams
0:49.0,,,94-108,,L. Williams misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by L. Allen,,94-108,,
0:38.0,,,94-108,,Personal foul by L. Williams
0:38.0,G. Robinson misses free throw 1 of 2,,94-108,,
0:38.0,Offensive rebound by Team,,94-108,,
0:38.0,G. Robinson misses free throw 2 of 2,,94-108,,
0:38.0,,,94-108,,I. Zubac enters the game for B. Ingram
0:38.0,,,94-108,,M. Huertas enters the game for J. Randle
0:38.0,,,94-108,,M. World Peace enters the game for J. Clarkson
0:38.0,,,94-108,,T. Robinson enters the game for L. Williams
0:36.0,,,94-108,,Defensive rebound by T. Robinson
0:20.0,,,94-108,,Turnover by M. World Peace (lost ball)
0:08.0,G. Niang makes 2-pt shot from 2 ft (assist by L. Allen),2,96-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
