time,Minnesota,pts.away,score,pts.home,Miami
1:12.0,T. Jones enters the game for R. Rubio,,102-121,,
1:12.0,J. Hill enters the game for B. Rush,,102-121,,
0:55.0,K. Dunn enters the game for A. Wiggins,,103-121,,
0:48.0,,,103-121,,W. Reed misses 3-pt shot from 24 ft
0:47.0,,,103-121,,Offensive rebound by R. McGruder
0:31.0,,,103-123,2,W. Reed makes 2-pt shot at rim (assist by R. McGruder)
0:23.0,T. Jones misses 3-pt shot from 26 ft,,103-123,,
0:22.0,Offensive rebound by K. Dunn,,103-123,,
0:19.0,S. Muhammad makes 2-pt shot from 6 ft (assist by K. Dunn),2,105-123,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
