time,Toronto,pts.away,score,pts.home,Sacramento
3:27.0,P. Patterson misses 3-pt shot from 24 ft,,97-97,,
3:27.0,,,97-97,,Defensive rebound by R. Gay
3:14.0,,,97-99,2,D. Collison makes 2-pt shot from 2 ft
3:14.0,,,97-99,,Shooting foul by J. Valanciunas (drawn by D. Collison)
3:14.0,,,97-100,1,D. Collison makes free throw 1 of 1
3:14.0,Toronto full timeout,,97-100,,
3:01.0,K. Lowry misses 3-pt shot from 25 ft,,97-100,,
3:01.0,,,97-100,,Defensive rebound by R. Gay
2:43.0,Violation by P. Patterson (kicked ball),,97-100,,
2:30.0,,,97-100,,D. Cousins misses 2-pt shot from 20 ft
2:28.0,Defensive rebound by P. Patterson,,97-100,,
2:12.0,K. Lowry misses 2-pt shot from 3 ft,,97-100,,
2:11.0,,,97-100,,Defensive rebound by D. Cousins
2:00.0,,,97-100,,D. Cousins misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by D. Carroll,,97-100,,
1:41.0,Turnover by P. Patterson (bad pass; steal by D. Collison),,97-100,,
1:37.0,,,97-102,2,R. Gay makes 2-pt shot at rim (assist by D. Collison)
1:37.0,Toronto full timeout,,97-102,,
1:35.0,Turnover by K. Lowry (bad pass),,97-102,,
1:20.0,,,97-102,,R. Gay misses 2-pt shot from 9 ft
1:19.0,Defensive rebound by Team,,97-102,,
1:19.0,,,97-102,,Loose ball foul by R. Gay (drawn by D. Carroll)
1:04.0,D. Carroll misses 2-pt shot from 9 ft,,97-102,,
1:04.0,Offensive rebound by D. Carroll,,97-102,,
1:01.0,K. Lowry misses 3-pt shot from 25 ft,,97-102,,
1:00.0,Offensive rebound by J. Valanciunas,,97-102,,
1:00.0,J. Valanciunas misses 2-pt shot from 2 ft,,97-102,,
1:00.0,,,97-102,,Defensive rebound by R. Gay
0:36.0,,,97-102,,D. Cousins misses 2-pt shot from 20 ft
0:35.0,Defensive rebound by D. Carroll,,97-102,,
0:34.0,Toronto full timeout,,97-102,,
0:30.0,D. DeRozan misses 2-pt shot from 4 ft,,97-102,,
0:29.0,Offensive rebound by D. DeRozan,,97-102,,
0:27.0,Shooting foul by D. Collison (drawn by K. Lowry),,97-102,,
0:27.0,K. Lowry makes free throw 1 of 3,1,98-102,,
0:27.0,K. Lowry makes free throw 2 of 3,1,99-102,,
0:27.0,K. Lowry misses free throw 3 of 3,,99-102,,
0:27.0,,,99-102,,Defensive rebound by D. Cousins
0:27.0,,,99-102,,K. Koufos enters the game for D. Collison
0:26.0,,,99-102,,Sacramento full timeout
0:26.0,,,99-102,,D. Collison enters the game for K. Koufos
0:23.0,,,99-102,,Sacramento full timeout
0:02.0,,,99-102,,D. Collison misses 3-pt shot from 34 ft
0:02.0,,,99-102,,Offensive rebound by Team
0:02.0,,,99-102,,Turnover by Team (shot clock)
0:02.0,Toronto full timeout,,99-102,,
0:02.0,T. Ross enters the game for J. Valanciunas,,99-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
