time,Detroit,pts.away,score,pts.home,Boston
7:41.0,Detroit full timeout,,70-65,,
7:41.0,,,70-65,,K. Olynyk enters the game for A. Johnson
7:26.0,M. Morris makes 2-pt shot from 13 ft,2,72-65,,
7:07.0,,,72-68,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder)
6:51.0,K. Caldwell-Pope makes 2-pt shot from 18 ft,2,74-68,,
6:34.0,,,74-68,,A. Horford misses 2-pt shot from 5 ft
6:33.0,Defensive rebound by I. Smith,,74-68,,
6:15.0,I. Smith makes 2-pt shot from 16 ft (assist by T. Harris),2,76-68,,
6:04.0,,,76-70,2,I. Thomas makes 2-pt shot from 2 ft
5:42.0,T. Harris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,79-70,,
5:23.0,,,79-70,,A. Horford misses 3-pt shot from 25 ft
5:21.0,,,79-70,,Offensive rebound by K. Olynyk
5:18.0,,,79-73,3,A. Bradley makes 3-pt shot from 25 ft (assist by K. Olynyk)
5:00.0,Shooting foul by A. Bradley (drawn by K. Caldwell-Pope),,79-73,,
5:00.0,K. Caldwell-Pope makes free throw 1 of 2,1,80-73,,
5:00.0,K. Caldwell-Pope misses free throw 2 of 2,,80-73,,
5:00.0,,,80-73,,Defensive rebound by A. Horford
5:00.0,J. Leuer enters the game for M. Morris,,80-73,,
5:00.0,,,80-73,,M. Smart enters the game for J. Crowder
4:40.0,,,80-76,3,K. Olynyk makes 3-pt shot from 23 ft (assist by M. Smart)
4:22.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,80-76,,
4:21.0,,,80-76,,Defensive rebound by A. Bradley
4:14.0,,,80-76,,M. Smart misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by J. Leuer,,80-76,,
4:02.0,I. Smith makes 2-pt shot from 8 ft,2,82-76,,
3:44.0,,,82-76,,M. Smart misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by I. Smith,,82-76,,
3:37.0,I. Smith makes 2-pt shot from 1 ft,2,84-76,,
3:19.0,,,84-76,,Shooting foul by J. Leuer (drawn by K. Olynyk)
3:19.0,,,84-77,1,K. Olynyk makes free throw 1 of 2
3:19.0,,,84-78,1,K. Olynyk makes free throw 2 of 2
3:19.0,,,84-77,,J. Jerebko enters the game for A. Horford
2:59.0,T. Harris misses 2-pt shot from 13 ft,,84-78,,
2:58.0,,,84-78,,Defensive rebound by K. Olynyk
2:46.0,,,84-78,,A. Bradley misses 3-pt shot from 26 ft (block by K. Caldwell-Pope)
2:45.0,Defensive rebound by I. Smith,,84-78,,
2:37.0,I. Smith makes 2-pt shot from 3 ft,2,86-78,,
2:24.0,,,86-80,2,I. Thomas makes 2-pt shot from 3 ft
2:00.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,86-80,,
1:59.0,Offensive rebound by A. Drummond,,86-80,,
1:59.0,A. Drummond makes 2-pt shot at rim,2,88-80,,
1:48.0,,,88-80,,I. Thomas misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by K. Caldwell-Pope,,88-80,,
