time,Detroit,pts.away,score,pts.home,Charlotte
2:33.0,,,75-83,,K. Walker misses 2-pt shot at rim (block by I. Smith)
2:31.0,Defensive rebound by K. Caldwell-Pope,,75-83,,
2:28.0,K. Caldwell-Pope misses 2-pt shot at rim,,75-83,,
2:28.0,,,75-83,,Defensive rebound by N. Batum
2:28.0,Personal foul by T. Harris (drawn by N. Batum),,75-83,,
2:28.0,,,75-84,1,N. Batum makes free throw 1 of 2
2:28.0,,,75-85,1,N. Batum makes free throw 2 of 2
2:16.0,I. Smith misses 2-pt shot from 8 ft,,75-85,,
2:14.0,Offensive rebound by A. Drummond,,75-85,,
2:14.0,A. Drummond makes 2-pt shot from 1 ft,2,77-85,,
1:50.0,,,77-85,,M. Belinelli misses 2-pt shot from 1 ft
1:46.0,Defensive rebound by I. Smith,,77-85,,
1:44.0,Offensive charge foul by T. Harris,,77-85,,
1:44.0,Turnover by T. Harris (offensive foul),,77-85,,
1:32.0,,,77-85,,C. Zeller misses 2-pt shot from 2 ft (block by T. Harris)
1:32.0,,,77-85,,Offensive rebound by Team
1:17.0,,,77-85,,K. Walker misses 2-pt shot from 17 ft (block by I. Smith)
1:15.0,Defensive rebound by A. Drummond,,77-85,,
1:00.0,T. Harris misses 3-pt shot from 25 ft,,77-85,,
1:00.0,,,77-85,,Defensive rebound by N. Batum
0:41.0,Personal foul by A. Drummond (drawn by K. Walker),,77-85,,
0:41.0,,,77-86,1,K. Walker makes free throw 1 of 2
0:41.0,,,77-87,1,K. Walker makes free throw 2 of 2
0:30.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,77-87,,
0:30.0,,,77-87,,Defensive rebound by N. Batum
0:06.0,,,77-87,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
