time,Washington,pts.away,score,pts.home,Detroit
6:54.0,J. Wall misses 2-pt shot from 6 ft (block by J. Leuer),,97-104,,
6:52.0,,,97-104,,Defensive rebound by T. Harris
6:48.0,,,97-104,,Shooting foul by J. Smith (drawn by M. Morris)
6:48.0,,,97-104,,M. Morris misses free throw 1 of 2
6:48.0,,,97-104,,Offensive rebound by Team
6:48.0,,,97-105,1,M. Morris makes free throw 2 of 2
6:32.0,B. Beal misses 3-pt shot from 26 ft,,97-105,,
6:32.0,,,97-105,,Defensive rebound by R. Bullock
6:22.0,,,97-105,,M. Morris misses 3-pt shot from 27 ft
6:21.0,,,97-105,,Offensive rebound by J. Leuer
6:19.0,,,97-105,,Turnover by J. Leuer (bad pass)
6:19.0,O. Porter enters the game for J. Smith,,97-105,,
6:02.0,M. Morris makes 2-pt shot at rim (assist by O. Porter),2,99-105,,
5:45.0,,,99-107,2,J. Leuer makes 2-pt shot from 7 ft (assist by R. Bullock)
5:28.0,M. Morris misses 3-pt shot from 24 ft,,99-107,,
5:28.0,,,99-107,,Defensive rebound by J. Leuer
5:20.0,,,99-107,,Offensive charge foul by R. Jackson
5:20.0,,,99-107,,Turnover by R. Jackson (offensive foul)
5:20.0,Official timeout,,99-107,,
5:12.0,Shooting foul by R. Jackson (drawn by J. Wall),,99-107,,
5:12.0,J. Wall makes free throw 1 of 2,1,100-107,,
5:12.0,J. Wall makes free throw 2 of 2,1,101-107,,
4:51.0,,,101-107,,R. Jackson misses 2-pt shot from 6 ft
4:49.0,Defensive rebound by O. Porter,,101-107,,
4:39.0,K. Oubre makes 3-pt shot from 23 ft (assist by O. Porter),3,104-107,,
4:26.0,,,104-107,,Turnover by R. Jackson (traveling)
4:16.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,106-107,,
4:16.0,,,106-107,,Detroit full timeout
4:16.0,,,106-107,,A. Drummond enters the game for J. Leuer
3:50.0,,,106-109,2,R. Jackson makes 2-pt shot from 16 ft
3:29.0,J. Wall misses 3-pt shot from 26 ft,,106-109,,
3:28.0,Offensive rebound by K. Oubre,,106-109,,
3:25.0,K. Oubre misses 2-pt shot from 2 ft,,106-109,,
3:24.0,,,106-109,,Defensive rebound by R. Jackson
3:19.0,,,106-109,,R. Jackson misses 2-pt shot at rim
3:18.0,Defensive rebound by J. Wall,,106-109,,
3:01.0,M. Morris misses 2-pt shot at rim,,106-109,,
3:01.0,Offensive rebound by M. Morris,,106-109,,
3:00.0,M. Morris misses 2-pt shot from 1 ft (block by A. Drummond),,106-109,,
2:56.0,Offensive rebound by O. Porter,,106-109,,
2:53.0,O. Porter makes 2-pt shot from 1 ft,2,108-109,,
2:39.0,Personal foul by K. Oubre (drawn by A. Drummond),,108-109,,
2:24.0,,,108-109,,R. Jackson misses 2-pt shot at rim
2:24.0,Defensive rebound by O. Porter,,108-109,,
2:14.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,110-109,,
1:57.0,,,110-111,2,M. Morris makes 2-pt shot from 13 ft
1:36.0,J. Wall misses 2-pt shot from 13 ft,,110-111,,
1:35.0,,,110-111,,Defensive rebound by A. Drummond
1:19.0,,,110-111,,R. Jackson misses 2-pt shot from 1 ft
1:19.0,,,110-111,,Offensive rebound by A. Drummond
1:15.0,,,110-111,,Turnover by A. Drummond (lost ball; steal by B. Beal)
1:13.0,Shooting foul by T. Harris (drawn by B. Beal),,110-111,,
1:13.0,B. Beal makes free throw 1 of 2,1,111-111,,
1:13.0,B. Beal makes free throw 2 of 2,1,112-111,,
0:52.0,,,112-111,,T. Harris misses 3-pt shot from 23 ft
0:52.0,,,112-111,,Offensive rebound by M. Morris
0:51.0,,,112-111,,M. Morris misses 2-pt shot from 3 ft (block by M. Morris)
0:51.0,Defensive rebound by J. Wall,,112-111,,
0:28.0,J. Wall misses 2-pt shot from 19 ft,,112-111,,
0:27.0,,,112-111,,Defensive rebound by R. Bullock
0:12.0,,,112-111,,R. Jackson misses 2-pt shot from 13 ft
0:09.0,,,112-111,,Offensive rebound by A. Drummond
0:04.0,,,112-111,,T. Harris misses 3-pt shot from 23 ft (block by B. Beal)
0:03.0,,,112-111,,Offensive rebound by T. Harris
0:02.0,,,112-111,,T. Harris misses 2-pt shot from 3 ft
0:01.0,,,112-111,,Offensive rebound by M. Morris
0:00.0,,,112-113,2,M. Morris makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
