time,Cleveland,pts.away,score,pts.home,New Orleans
2:39.0,,,109-117,,Turnover by J. Holiday (lost ball; steal by K. Irving)
2:35.0,K. Irving misses 2-pt shot from 2 ft (block by D. Cunningham),,109-117,,
2:34.0,Offensive rebound by Team,,109-117,,
2:34.0,,,109-117,,E. Moore enters the game for L. Galloway
2:33.0,L. James makes 2-pt shot from 1 ft (assist by K. Irving),2,111-117,,
2:09.0,,,111-117,,J. Holiday misses 2-pt shot from 6 ft
2:08.0,Defensive rebound by R. Jefferson,,111-117,,
1:58.0,Shooting foul by J. Holiday (drawn by K. Irving),,111-117,,
1:58.0,K. Irving makes free throw 1 of 3,1,112-117,,
1:58.0,K. Irving makes free throw 2 of 3,1,113-117,,
1:58.0,K. Irving makes free throw 3 of 3,1,114-117,,
1:58.0,,,113-117,,L. Galloway enters the game for S. Hill
1:39.0,,,114-119,2,T. Jones makes 2-pt shot from 2 ft
1:39.0,Cleveland full timeout,,114-119,,
1:32.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,116-119,,
1:11.0,,,116-119,,Shooting foul by L. James (drawn by T. Jones)
1:11.0,,,116-119,,T. Jones misses free throw 1 of 2
1:11.0,,,116-119,,Offensive rebound by Team
1:11.0,,,116-120,1,T. Jones makes free throw 2 of 2
1:11.0,,,116-119,,S. Hill enters the game for D. Cunningham
0:58.0,K. Irving misses 3-pt shot from 26 ft,,116-120,,
0:58.0,,,116-120,,Defensive rebound by S. Hill
0:58.0,,,116-120,,Personal foul by L. Galloway (drawn by R. Jefferson)
0:58.0,Personal foul by R. Jefferson,,116-120,,
0:58.0,Jump ball: L. James vs. T. Jones (L. Galloway gains possession),,,,Jump ball: L. James vs. T. Jones (L. Galloway gains possession)
0:58.0,Turnover by L. James (double personal),,116-120,,
0:48.0,,,116-120,,New Orleans full timeout
0:48.0,I. Shumpert enters the game for K. Korver,,116-120,,
0:38.0,,,116-120,,J. Holiday misses 2-pt shot from 18 ft
0:36.0,Defensive rebound by K. Love,,116-120,,
0:29.0,Turnover by L. James (lost ball; steal by L. Galloway),,116-120,,
0:28.0,Personal take foul by R. Jefferson (drawn by L. Galloway),,116-120,,
0:28.0,,,116-121,1,L. Galloway makes free throw 1 of 2
0:28.0,,,116-122,1,L. Galloway makes free throw 2 of 2
0:28.0,Cleveland full timeout,,116-122,,
0:28.0,K. Korver enters the game for I. Shumpert,,116-122,,
0:28.0,,,116-122,,D. Cunningham enters the game for L. Galloway
0:21.0,K. Irving makes 3-pt shot from 26 ft,3,119-122,,
0:12.0,Personal take foul by R. Jefferson (drawn by S. Hill),,119-122,,
0:12.0,,,119-122,,S. Hill misses free throw 1 of 2
0:12.0,,,119-122,,Offensive rebound by Team
0:12.0,,,119-123,1,S. Hill makes free throw 2 of 2
0:12.0,I. Shumpert enters the game for R. Jefferson,,119-122,,
0:07.0,K. Irving misses 3-pt shot from 28 ft,,119-123,,
0:06.0,,,119-123,,Defensive rebound by T. Jones
0:04.0,Personal take foul by I. Shumpert (drawn by T. Jones),,119-123,,
0:04.0,,,119-123,,T. Jones misses free throw 1 of 2
0:04.0,,,119-123,,Offensive rebound by Team
0:04.0,,,119-124,1,T. Jones makes free throw 2 of 2
0:02.0,K. Love makes 3-pt shot from 27 ft (assist by K. Irving),3,122-124,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
