time,Memphis,pts.away,score,pts.home,New York
5:14.0,M. Conley makes free throw 1 of 2,1,86-99,,
5:14.0,M. Conley misses free throw 2 of 2,,86-99,,
5:13.0,Offensive rebound by M. Gasol,,86-99,,
5:04.0,J. Green misses 2-pt shot from 21 ft,,86-99,,
5:02.0,,,86-99,,Defensive rebound by J. Noah
4:48.0,,,86-99,,K. Porzingis misses 3-pt shot from 24 ft
4:46.0,Defensive rebound by Z. Randolph,,86-99,,
4:35.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol),2,88-99,,
4:15.0,,,88-99,,K. Porzingis misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by J. Green,,88-99,,
4:01.0,,,88-99,,Personal foul by J. Noah (drawn by M. Gasol)
3:53.0,M. Gasol misses 3-pt shot from 24 ft,,88-99,,
3:51.0,,,88-99,,Defensive rebound by D. Rose
3:43.0,,,88-99,,D. Rose misses 2-pt shot from 16 ft
3:42.0,Defensive rebound by J. Ennis,,88-99,,
3:41.0,,,88-99,,Personal foul by K. Porzingis (drawn by J. Ennis)
3:41.0,J. Ennis misses free throw 1 of 2,,88-99,,
3:41.0,Offensive rebound by Team,,88-99,,
3:41.0,J. Ennis makes free throw 2 of 2,1,89-99,,
3:30.0,Personal foul by M. Conley (drawn by K. Porzingis),,89-99,,
3:21.0,,,89-99,,Turnover by J. Noah (bad pass)
3:13.0,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley),2,91-99,,
3:12.0,,,91-99,,New York full timeout
3:12.0,,,91-99,,C. Lee enters the game for J. Holiday
3:10.0,Personal foul by Z. Randolph (drawn by J. Noah),,91-99,,
3:08.0,Personal foul by Z. Randolph (drawn by J. Noah),,91-99,,
3:08.0,,,91-99,,J. Noah misses free throw 1 of 2
3:08.0,,,91-99,,Offensive rebound by Team
3:08.0,,,91-100,1,J. Noah makes free throw 2 of 2
2:51.0,M. Conley misses 2-pt shot from 18 ft,,91-100,,
2:50.0,Offensive rebound by Team,,91-100,,
2:41.0,M. Conley misses 2-pt shot from 1 ft,,91-100,,
2:40.0,,,91-100,,Defensive rebound by D. Rose
2:36.0,Personal foul by J. Green (drawn by J. Noah),,91-100,,
2:36.0,,,91-101,1,J. Noah makes free throw 1 of 2
2:36.0,,,91-101,,J. Noah misses free throw 2 of 2
2:35.0,Defensive rebound by Z. Randolph,,91-101,,
2:28.0,,,91-101,,Personal foul by J. Noah (drawn by M. Conley)
2:28.0,M. Conley makes free throw 1 of 2,1,92-101,,
2:28.0,M. Conley makes free throw 2 of 2,1,93-101,,
2:28.0,,,91-101,,L. Thomas enters the game for J. Noah
2:28.0,V. Carter enters the game for Z. Randolph,,92-101,,
2:26.0,Personal foul by M. Conley (drawn by D. Rose),,93-101,,
2:26.0,,,93-102,1,D. Rose makes free throw 1 of 2
2:26.0,,,93-102,,D. Rose misses free throw 2 of 2
2:26.0,,,93-102,,Offensive rebound by Team
2:26.0,Loose ball foul by J. Green (drawn by C. Anthony),,93-102,,
2:26.0,,,93-103,1,C. Anthony makes free throw 1 of 2
2:26.0,,,93-104,1,C. Anthony makes free throw 2 of 2
2:26.0,T. Daniels enters the game for J. Green,,93-102,,
2:10.0,T. Daniels makes 2-pt shot from 15 ft,2,95-104,,
2:04.0,Personal foul by T. Daniels (drawn by C. Lee),,95-104,,
2:04.0,,,95-105,1,C. Lee makes free throw 1 of 2
2:04.0,,,95-106,1,C. Lee makes free throw 2 of 2
1:50.0,J. Ennis makes 3-pt shot from 23 ft (assist by M. Conley),3,98-106,,
1:46.0,,,98-106,,New York full timeout
1:44.0,,,98-106,,Turnover by C. Anthony (bad pass)
1:34.0,T. Daniels misses 3-pt shot from 25 ft,,98-106,,
1:32.0,Offensive rebound by M. Gasol,,98-106,,
1:25.0,M. Gasol makes 3-pt shot from 25 ft (assist by T. Daniels),3,101-106,,
1:04.0,,,101-106,,Shooting foul by M. Gasol (drawn by C. Anthony)
1:04.0,,,101-107,1,C. Anthony makes free throw 1 of 2
1:04.0,,,101-108,1,C. Anthony makes free throw 2 of 2
1:04.0,Memphis full timeout,,101-108,,
1:01.0,M. Gasol misses 3-pt shot from 25 ft,,101-108,,
1:00.0,,,101-108,,Defensive rebound by C. Anthony
0:58.0,Personal foul by V. Carter (drawn by C. Anthony),,101-108,,
0:58.0,,,101-109,1,C. Anthony makes free throw 1 of 2
0:58.0,,,101-109,,C. Anthony misses free throw 2 of 2
0:57.0,,,101-109,,Offensive rebound by L. Thomas
0:56.0,,,101-111,2,L. Thomas makes 2-pt shot from 1 ft
0:56.0,Memphis full timeout,,101-111,,
0:56.0,T. Williams enters the game for M. Gasol,,101-111,,
0:56.0,W. Baldwin enters the game for M. Conley,,101-111,,
0:56.0,D. Davis enters the game for V. Carter,,101-111,,
0:47.0,W. Baldwin makes 3-pt shot from 26 ft,3,104-111,,
0:24.0,,,104-111,,C. Anthony misses 2-pt shot from 15 ft
0:23.0,Defensive rebound by J. Ennis,,104-111,,
0:16.0,Turnover by J. Ennis (bad pass),,104-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
