time,Memphis,pts.away,score,pts.home,Oklahoma City
9:34.0,Defensive rebound by J. Green,,71-75,,
9:25.0,Offensive foul by J. Green,,71-75,,
9:25.0,Turnover by J. Green (offensive foul),,71-75,,
9:11.0,,,71-75,,A. Abrines misses 3-pt shot from 23 ft
9:11.0,Defensive rebound by Team,,71-75,,
9:11.0,,,71-75,,Loose ball foul by J. Lauvergne (drawn by J. Green)
9:11.0,,,71-75,,R. Westbrook enters the game for C. Payne
8:52.0,J. Green misses 3-pt shot from 23 ft,,71-75,,
8:52.0,,,71-75,,Defensive rebound by E. Kanter
8:47.0,,,71-75,,Shooting foul by V. Carter (drawn by R. Westbrook)
8:47.0,Official timeout,,71-75,,
8:47.0,,,71-75,,R. Westbrook misses free throw 1 of 2
8:47.0,,,71-75,,Offensive rebound by Team
8:47.0,,,71-76,1,R. Westbrook makes free throw 2 of 2
8:35.0,Turnover by T. Daniels (bad pass; steal by R. Westbrook),,71-76,,
8:32.0,,,71-78,2,R. Westbrook makes 2-pt shot at rim
8:29.0,Memphis full timeout,,71-78,,
8:29.0,,,71-78,,V. Oladipo enters the game for A. Abrines
8:29.0,M. Gasol enters the game for Z. Randolph,,71-78,,
8:29.0,,,71-78,,S. Adams enters the game for E. Kanter
8:18.0,T. Daniels makes 3-pt shot from 25 ft (assist by M. Conley),3,74-78,,
8:01.0,,,74-81,3,J. Grant makes 3-pt shot from 23 ft (assist by J. Lauvergne)
7:40.0,Shooting foul by R. Westbrook (drawn by M. Conley),,74-81,,
7:40.0,M. Conley misses free throw 1 of 3,,74-81,,
7:40.0,Offensive rebound by Team,,74-81,,
7:40.0,M. Conley makes free throw 2 of 3,1,75-81,,
7:40.0,M. Conley misses free throw 3 of 3,,75-81,,
7:40.0,,,75-81,,Defensive rebound by R. Westbrook
7:40.0,T. Allen enters the game for V. Carter,,75-81,,
7:28.0,,,75-81,,V. Oladipo misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by M. Gasol,,75-81,,
7:09.0,M. Conley misses 2-pt shot from 2 ft,,75-81,,
7:07.0,,,75-81,,Defensive rebound by J. Lauvergne
6:58.0,,,75-81,,V. Oladipo misses 3-pt shot from 23 ft
6:57.0,,,75-81,,Offensive rebound by J. Lauvergne
6:42.0,,,75-81,,R. Westbrook misses 2-pt shot from 17 ft
6:41.0,Defensive rebound by M. Gasol,,75-81,,
6:29.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol),3,78-81,,
6:13.0,,,78-83,2,S. Adams makes 2-pt shot from 2 ft (assist by V. Oladipo)
5:59.0,Turnover by M. Conley (bad pass; steal by S. Adams),,78-83,,
5:54.0,,,78-83,,Shooting foul by T. Daniels (drawn by J. Lauvergne)
5:54.0,,,78-84,1,J. Lauvergne makes free throw 1 of 2
5:54.0,,,78-85,1,J. Lauvergne makes free throw 2 of 2
5:54.0,Z. Randolph enters the game for J. Green,,78-84,,
5:54.0,,,78-84,,A. Roberson enters the game for J. Grant
5:43.0,Turnover by M. Conley (lost ball; steal by R. Westbrook),,78-85,,
5:42.0,,,78-85,,Turnover by R. Westbrook (bad pass; steal by T. Allen)
5:28.0,T. Daniels misses 3-pt shot from 23 ft,,78-85,,
5:27.0,,,78-85,,Defensive rebound by R. Westbrook
5:18.0,,,78-85,,J. Lauvergne misses 3-pt shot from 23 ft
5:18.0,Defensive rebound by T. Allen,,78-85,,
5:12.0,Z. Randolph makes 2-pt shot from 1 ft (assist by T. Allen),2,80-85,,
5:12.0,Shooting foul by J. Lauvergne (drawn by Z. Randolph),,80-85,,
5:12.0,Z. Randolph misses free throw 1 of 1,,80-85,,
5:12.0,,,80-85,,E. Kanter enters the game for J. Lauvergne
5:11.0,Offensive rebound by Z. Randolph,,80-85,,
5:02.0,M. Gasol misses 3-pt shot from 25 ft,,80-85,,
