time,Sacramento,pts.away,score,pts.home,Detroit
1:57.0,,,105-99,,Defensive rebound by Team
1:39.0,,,105-99,,M. Morris misses 2-pt shot from 14 ft
1:36.0,Defensive rebound by D. Cousins,,105-99,,
1:12.0,D. Collison misses 2-pt shot from 15 ft,,105-99,,
1:12.0,,,105-99,,Defensive rebound by K. Caldwell-Pope
1:00.0,,,105-101,2,A. Drummond makes 2-pt shot at rim (assist by J. Leuer)
0:39.0,D. Cousins makes 2-pt shot from 17 ft (assist by M. Barnes),2,107-101,,
0:26.0,,,107-101,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by M. Barnes,,107-101,,
0:24.0,Sacramento full timeout,,107-101,,
0:16.0,,,107-101,,Personal foul by R. Jackson (drawn by D. Collison)
0:14.0,,,107-101,,Personal foul by J. Leuer (drawn by G. Temple)
0:14.0,,,107-101,,Technical foul by K. Caldwell-Pope
0:14.0,G. Temple makes technical free throw,1,108-101,,
0:14.0,G. Temple makes free throw 1 of 2,1,109-101,,
0:14.0,G. Temple misses free throw 2 of 2,,109-101,,
0:13.0,,,109-101,,Defensive rebound by A. Drummond
0:12.0,,,109-101,,Detroit full timeout
0:12.0,T. Lawson enters the game for M. Barnes,,109-101,,
0:08.0,,,109-104,3,K. Caldwell-Pope makes 3-pt shot from 27 ft
0:07.0,Turnover by G. Temple (bad pass; steal by A. Drummond),,109-104,,
0:06.0,,,109-104,,J. Leuer misses 2-pt shot from 5 ft (block by D. Cousins)
0:03.0,Defensive rebound by D. Collison,,109-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
