time,Charlotte,pts.away,score,pts.home,Chicago
0:04.0,,,55-58,2,T. Gibson makes 2-pt shot from 6 ft (assist by D. Valentine)
0:00.0,Shooting foul by R. Lopez (drawn by K. Walker),,55-58,,
0:00.0,K. Walker makes free throw 1 of 2,1,56-58,,
0:00.0,K. Walker makes free throw 2 of 2,1,57-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,K. Walker misses 2-pt shot from 22 ft,,57-58,,
11:41.0,,,57-58,,Defensive rebound by J. Butler
11:29.0,Def 3 sec tech foul by R. Hibbert,,57-58,,
11:29.0,,,57-59,1,J. Butler makes technical free throw
11:15.0,,,57-59,,Turnover by Team (shot clock)
11:02.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,60-59,,
10:48.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Butler),,60-59,,
10:36.0,,,60-59,,Turnover by M. Carter-Williams (lost ball; steal by K. Walker)
10:30.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,62-59,,
10:17.0,,,62-59,,D. McDermott misses 3-pt shot from 27 ft
10:16.0,Defensive rebound by M. Williams,,62-59,,
10:07.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,65-59,,
10:07.0,,,65-59,,Chicago full timeout
9:44.0,,,65-61,2,J. Butler makes 2-pt shot from 22 ft (assist by D. McDermott)
9:27.0,Turnover by K. Walker (lost ball; steal by J. Butler),,65-61,,
9:21.0,,,65-61,,M. Carter-Williams misses 2-pt shot from 3 ft
9:20.0,,,65-61,,Offensive rebound by T. Gibson
9:20.0,,,65-61,,T. Gibson misses 2-pt shot from 2 ft
9:16.0,,,65-61,,Offensive rebound by T. Gibson
9:15.0,,,65-61,,T. Gibson misses 2-pt shot from 2 ft
9:13.0,,,65-61,,Offensive rebound by J. Butler
9:13.0,,,65-61,,J. Butler misses 2-pt shot from 3 ft
9:12.0,Defensive rebound by K. Walker,,65-61,,
9:05.0,M. Williams misses 3-pt shot from 25 ft,,65-61,,
9:02.0,,,65-61,,Defensive rebound by R. Lopez
8:52.0,,,65-61,,J. Butler misses 2-pt shot from 14 ft
8:51.0,Defensive rebound by K. Walker,,65-61,,
8:37.0,K. Walker misses 3-pt shot from 24 ft,,65-61,,
8:35.0,,,65-61,,Defensive rebound by M. Carter-Williams
8:24.0,,,65-63,2,R. Lopez makes 2-pt shot from 20 ft (assist by J. Butler)
8:10.0,M. Williams misses 2-pt shot from 3 ft (block by T. Gibson),,65-63,,
8:09.0,,,65-63,,Defensive rebound by R. Lopez
8:03.0,,,65-63,,D. McDermott misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by K. Walker,,65-63,,
7:43.0,R. Hibbert misses 2-pt shot from 8 ft,,65-63,,
7:42.0,,,65-63,,Defensive rebound by T. Gibson
7:37.0,,,65-63,,Turnover by J. Butler (traveling)
7:25.0,Turnover by R. Hibbert (bad pass; steal by J. Butler),,65-63,,
7:22.0,,,65-63,,Shooting foul by R. Hibbert (drawn by J. Butler)
7:22.0,,,65-64,1,J. Butler makes free throw 1 of 2
7:22.0,,,65-65,1,J. Butler makes free throw 2 of 2
7:07.0,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker),3,68-65,,
6:53.0,,,68-68,3,J. Butler makes 3-pt shot from 25 ft
6:53.0,,,68-68,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Butler)
6:53.0,,,68-69,1,J. Butler makes free throw 1 of 1
6:53.0,J. Lamb enters the game for M. Kidd-Gilchrist,,68-68,,
6:43.0,K. Walker makes 2-pt shot from 2 ft,2,70-69,,
6:23.0,,,70-69,,M. Carter-Williams misses 3-pt shot from 23 ft
6:22.0,,,70-69,,Offensive rebound by T. Gibson
6:19.0,,,70-69,,D. McDermott misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by Team,,70-69,,
6:19.0,,,70-69,,Loose ball foul by M. Carter-Williams (drawn by J. Lamb)
6:19.0,,,70-69,,D. Valentine enters the game for D. McDermott
6:04.0,N. Batum misses 2-pt shot from 15 ft (block by R. Lopez),,70-69,,
6:03.0,Offensive rebound by N. Batum,,70-69,,
6:03.0,N. Batum misses 2-pt shot from 7 ft (block by J. Butler),,70-69,,
6:03.0,Offensive rebound by N. Batum,,70-69,,
6:02.0,Shooting foul by T. Gibson (drawn by N. Batum),,70-69,,
6:02.0,N. Batum makes free throw 1 of 2,1,71-69,,
6:02.0,N. Batum makes free throw 2 of 2,1,72-69,,
5:43.0,,,72-69,,R. Lopez misses 2-pt shot from 20 ft
5:42.0,Defensive rebound by N. Batum,,72-69,,
5:35.0,Shooting foul by T. Gibson (drawn by R. Hibbert),,72-69,,
5:35.0,R. Hibbert makes free throw 1 of 2,1,73-69,,
5:35.0,R. Hibbert makes free throw 2 of 2,1,74-69,,
5:35.0,F. Kaminsky enters the game for M. Williams,,73-69,,
5:35.0,,,73-69,,N. Mirotic enters the game for T. Gibson
5:20.0,,,74-69,,M. Carter-Williams misses 2-pt shot from 3 ft
5:18.0,Defensive rebound by N. Batum,,74-69,,
5:07.0,,,74-69,,Personal foul by M. Carter-Williams (drawn by K. Walker)
5:07.0,,,74-69,,J. Grant enters the game for M. Carter-Williams
4:54.0,J. Lamb makes 3-pt shot from 23 ft,3,77-69,,
4:38.0,,,77-71,2,N. Mirotic makes 2-pt shot from 16 ft (assist by J. Grant)
4:24.0,K. Walker makes 2-pt shot from 8 ft,2,79-71,,
4:07.0,,,79-71,,Turnover by D. Valentine (bad pass)
3:50.0,F. Kaminsky misses 2-pt shot from 8 ft (block by N. Mirotic),,79-71,,
3:50.0,,,79-71,,Defensive rebound by Team
3:30.0,,,79-71,,Shooting foul by K. Walker (drawn by J. Butler)
3:30.0,,,79-72,1,J. Butler makes free throw 1 of 2
3:30.0,,,79-73,1,J. Butler makes free throw 2 of 2
3:30.0,S. Hawes enters the game for R. Hibbert,,79-72,,
3:30.0,R. Sessions enters the game for K. Walker,,79-72,,
3:30.0,,,79-72,,C. Felicio enters the game for R. Lopez
3:14.0,N. Batum makes 2-pt shot from 16 ft,2,81-73,,
3:01.0,,,81-73,,J. Grant misses 2-pt shot from 3 ft
3:00.0,Defensive rebound by S. Hawes,,81-73,,
2:43.0,Turnover by F. Kaminsky (lost ball; steal by N. Mirotic),,81-73,,
2:37.0,,,81-73,,J. Grant misses 2-pt shot from 1 ft
2:36.0,,,81-73,,Offensive rebound by C. Felicio
2:25.0,,,81-73,,D. Valentine misses 3-pt shot from 24 ft
2:24.0,,,81-73,,Offensive rebound by C. Felicio
2:20.0,,,81-76,3,N. Mirotic makes 3-pt shot from 26 ft (assist by C. Felicio)
1:59.0,Turnover by R. Sessions (bad pass; steal by D. Valentine),,81-76,,
1:53.0,,,81-76,,D. Valentine misses 2-pt shot from 1 ft
1:52.0,Defensive rebound by F. Kaminsky,,81-76,,
1:45.0,R. Sessions makes 2-pt shot from 9 ft (assist by J. Lamb),2,83-76,,
1:45.0,,,83-76,,Chicago full timeout
1:45.0,Charlotte full timeout,,83-76,,
1:45.0,,,83-76,,D. McDermott enters the game for D. Valentine
1:36.0,,,83-78,2,J. Butler makes 2-pt shot from 2 ft (assist by J. Grant)
1:22.0,J. Lamb makes 2-pt shot from 3 ft (assist by N. Batum),2,85-78,,
1:02.0,,,85-80,2,J. Butler makes 2-pt shot from 2 ft
0:36.0,N. Batum misses 3-pt shot from 24 ft,,85-80,,
0:36.0,Offensive rebound by Team,,85-80,,
0:36.0,Turnover by Team (shot clock),,85-80,,
0:29.0,,,85-82,2,C. Felicio makes 2-pt shot from 1 ft
0:29.0,,,85-82,,J. Grant misses 2-pt shot from 2 ft
0:29.0,,,85-82,,Offensive rebound by C. Felicio
0:03.0,J. Lamb misses 2-pt shot from 20 ft,,85-82,,
0:02.0,,,85-82,,Defensive rebound by J. Grant
0:00.0,,,85-82,,J. Grant misses 3-pt shot from 57 ft
0:00.0,,,85-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,85-82,,N. Mirotic misses 3-pt shot from 26 ft
11:49.0,Defensive rebound by Team,,85-82,,
11:36.0,Turnover by S. Hawes (bad pass; steal by J. Grant),,85-82,,
11:25.0,,,85-82,,N. Mirotic misses 3-pt shot from 27 ft
11:24.0,Defensive rebound by J. Lamb,,85-82,,
11:14.0,J. Lamb makes 2-pt shot from 14 ft,2,87-82,,
10:55.0,,,87-84,2,J. Grant makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
10:38.0,R. Sessions misses 2-pt shot from 5 ft,,87-84,,
10:37.0,,,87-84,,Defensive rebound by M. Carter-Williams
10:31.0,,,87-86,2,M. Carter-Williams makes 2-pt shot from 2 ft
10:14.0,Turnover by F. Kaminsky (offensive foul),,87-86,,
10:14.0,Offensive foul by F. Kaminsky,,87-86,,
9:56.0,,,87-88,2,D. McDermott makes 2-pt shot from 3 ft
9:37.0,Shooting foul by D. McDermott (drawn by J. Lamb),,87-88,,
9:37.0,J. Lamb makes free throw 1 of 2,1,88-88,,
9:37.0,J. Lamb makes free throw 2 of 2,1,89-88,,
9:19.0,,,89-88,,D. McDermott misses 2-pt shot from 5 ft
9:18.0,,,89-88,,Offensive rebound by N. Mirotic
9:18.0,,,89-88,,N. Mirotic misses 2-pt shot from 1 ft
9:17.0,Defensive rebound by K. Walker,,89-88,,
9:03.0,,,89-88,,Violation by C. Felicio (def goaltending)
9:03.0,F. Kaminsky makes 2-pt shot from 3 ft (assist by J. Lamb),2,91-88,,
8:49.0,,,91-88,,M. Carter-Williams misses 2-pt shot from 16 ft
8:48.0,Defensive rebound by J. Lamb,,91-88,,
8:35.0,S. Hawes makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,93-88,,
8:35.0,,,93-88,,Chicago full timeout
8:27.0,,,93-90,2,D. McDermott makes 2-pt shot from 1 ft (assist by J. Grant)
8:27.0,,,93-90,,Shooting foul by J. Lamb (drawn by D. McDermott)
8:27.0,,,93-91,1,D. McDermott makes free throw 1 of 1
8:16.0,Shooting foul by J. Grant (drawn by J. Lamb),,93-91,,
8:16.0,J. Lamb misses free throw 1 of 2,,93-91,,
8:16.0,Offensive rebound by Team,,93-91,,
8:16.0,J. Lamb makes free throw 2 of 2,1,94-91,,
8:00.0,,,94-93,2,D. McDermott makes 2-pt shot from 14 ft
7:44.0,S. Hawes makes 2-pt shot from 2 ft (assist by R. Sessions),2,96-93,,
7:23.0,,,96-93,,D. McDermott misses 2-pt shot from 14 ft
7:22.0,Defensive rebound by K. Walker,,96-93,,
7:14.0,K. Walker makes 2-pt shot from 3 ft,2,98-93,,
6:59.0,,,98-95,2,N. Mirotic makes 2-pt shot from 2 ft (assist by C. Felicio)
6:40.0,S. Hawes makes 2-pt shot from 12 ft (assist by F. Kaminsky),2,100-95,,
6:21.0,Shooting block foul by J. Lamb (drawn by N. Mirotic),,100-95,,
6:21.0,,,100-96,1,N. Mirotic makes free throw 1 of 2
6:21.0,,,100-97,1,N. Mirotic makes free throw 2 of 2
6:21.0,M. Kidd-Gilchrist enters the game for J. Lamb,,100-96,,
6:21.0,N. Batum enters the game for F. Kaminsky,,100-96,,
6:21.0,M. Williams enters the game for R. Sessions,,100-96,,
6:21.0,,,100-96,,J. Butler enters the game for M. Carter-Williams
6:21.0,,,100-96,,T. Gibson enters the game for C. Felicio
6:07.0,Turnover by S. Hawes (3 sec),,100-97,,
5:56.0,,,100-97,,J. Butler misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by Team,,100-97,,
5:55.0,Charlotte full timeout,,100-97,,
5:31.0,S. Hawes misses 2-pt shot from 17 ft,,100-97,,
5:31.0,Offensive rebound by M. Williams,,100-97,,
5:31.0,M. Williams misses 2-pt shot from 4 ft (block by N. Mirotic),,100-97,,
5:31.0,Offensive rebound by Team,,100-97,,
5:31.0,Turnover by Team (shot clock),,100-97,,
5:18.0,,,100-97,,J. Grant misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by K. Walker,,100-97,,
5:03.0,,,100-97,,Personal foul by T. Gibson (drawn by N. Batum)
5:03.0,,,100-97,,M. Carter-Williams enters the game for J. Grant
4:54.0,M. Kidd-Gilchrist misses 2-pt shot from 22 ft,,100-97,,
4:53.0,,,100-97,,Defensive rebound by J. Butler
4:31.0,,,100-97,,N. Mirotic misses 3-pt shot from 24 ft
4:28.0,Defensive rebound by K. Walker,,100-97,,
4:08.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,100-97,,
4:07.0,Offensive rebound by M. Kidd-Gilchrist,,100-97,,
4:05.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by M. Carter-Williams),,100-97,,
4:03.0,,,100-97,,Defensive rebound by M. Carter-Williams
4:00.0,,,100-99,2,J. Butler makes 2-pt shot from 2 ft
4:00.0,,,100-99,,Shooting foul by S. Hawes (drawn by J. Butler)
4:00.0,,,100-100,1,J. Butler makes free throw 1 of 1
