time,Sacramento,pts.away,score,pts.home,Houston
1:23.0,,,96-128,,Turnover by K. McDaniels (traveling)
1:08.0,Turnover by A. Tolliver (lost ball),,96-128,,
0:59.0,,,96-130,2,M. Harrell makes 2-pt shot at rim (assist by T. Ennis)
0:50.0,A. Tolliver misses 3-pt shot from 24 ft,,96-130,,
0:49.0,,,96-130,,Defensive rebound by M. Harrell
0:41.0,,,96-130,,T. Ennis misses 2-pt shot from 5 ft (block by W. Cauley-Stein)
0:39.0,Defensive rebound by M. Richardson,,96-130,,
0:37.0,T. Lawson makes 2-pt shot from 2 ft (assist by M. Richardson),2,98-130,,
0:25.0,Violation by S. Labissiere (def goaltending),,98-130,,
0:25.0,,,98-132,2,K. McDaniels makes 2-pt shot from 4 ft
0:05.0,M. Richardson misses 3-pt shot from 25 ft,,98-132,,
0:03.0,,,98-132,,Defensive rebound by M. Harrell
0:00.0,End of 4th quarter,,,,End of 4th quarter
