time,New York,pts.away,score,pts.home,Detroit
3:09.0,Turnover by C. Lee (lost ball; steal by K. Caldwell-Pope),,89-96,,
3:00.0,,,89-96,,I. Smith misses 2-pt shot from 4 ft
3:00.0,,,89-96,,Offensive rebound by T. Harris
2:47.0,,,89-99,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by I. Smith)
2:32.0,,,89-99,,Personal foul by I. Smith (drawn by D. Rose)
2:23.0,D. Rose misses 2-pt shot from 18 ft,,89-99,,
2:23.0,,,89-99,,Defensive rebound by T. Harris
2:09.0,,,89-99,,I. Smith misses 2-pt shot from 17 ft
2:08.0,,,89-99,,Offensive rebound by A. Drummond
2:00.0,,,89-99,,A. Drummond misses 2-pt shot from 5 ft
1:58.0,Defensive rebound by J. Noah,,89-99,,
1:54.0,C. Anthony misses 2-pt shot from 13 ft,,89-99,,
1:54.0,,,89-99,,Defensive rebound by A. Drummond
1:35.0,,,89-99,,M. Morris misses 2-pt shot from 19 ft
1:34.0,Defensive rebound by J. Noah,,89-99,,
1:19.0,K. Porzingis misses 3-pt shot from 26 ft,,89-99,,
1:19.0,Offensive rebound by Team,,89-99,,
1:14.0,J. Noah misses 2-pt shot from 4 ft (block by A. Drummond),,89-99,,
1:13.0,,,89-99,,Defensive rebound by T. Harris
1:11.0,,,89-101,2,T. Harris makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
1:11.0,,,89-101,,Shooting foul by J. Noah (drawn by T. Harris)
1:11.0,,,89-102,1,T. Harris makes free throw 1 of 1
1:11.0,New York full timeout,,89-102,,
1:02.0,C. Anthony misses 3-pt shot from 26 ft,,89-102,,
1:02.0,,,89-102,,Defensive rebound by I. Smith
0:38.0,,,89-102,,I. Smith misses 2-pt shot from 18 ft
0:37.0,Defensive rebound by D. Rose,,89-102,,
0:31.0,C. Lee misses 3-pt shot from 26 ft,,89-102,,
0:29.0,,,89-102,,Defensive rebound by A. Drummond
0:07.0,,,89-102,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
