time,Memphis,pts.away,score,pts.home,Milwaukee
2:36.0,C. Parsons misses 2-pt shot at rim (block by G. Antetokounmpo),,96-100,,
2:31.0,,,96-100,,Defensive rebound by G. Monroe
2:20.0,,,96-102,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:17.0,Memphis full timeout,,96-102,,
2:01.0,M. Conley misses 3-pt shot from 27 ft,,96-102,,
2:00.0,,,96-102,,Defensive rebound by T. Snell
1:42.0,Personal foul by V. Carter (drawn by G. Antetokounmpo),,96-102,,
1:42.0,,,96-102,,G. Antetokounmpo misses free throw 1 of 2
1:42.0,,,96-102,,Offensive rebound by Team
1:42.0,,,96-103,1,G. Antetokounmpo makes free throw 2 of 2
1:25.0,Turnover by M. Conley (lost ball; steal by G. Antetokounmpo),,96-103,,
1:06.0,,,96-105,2,G. Antetokounmpo makes 2-pt shot at rim
1:06.0,Memphis full timeout,,96-105,,
1:06.0,J. Ennis enters the game for Z. Randolph,,96-105,,
1:01.0,Turnover by M. Gasol (lost ball; steal by G. Monroe),,96-105,,
0:47.0,,,96-105,,Offensive foul by G. Antetokounmpo
0:47.0,,,96-105,,Turnover by G. Antetokounmpo (offensive foul)
0:35.0,M. Conley misses 3-pt shot from 28 ft,,96-105,,
0:33.0,,,96-105,,Defensive rebound by G. Monroe
0:12.0,,,96-105,,Shooting foul by M. Gasol (drawn by J. Parker)
0:12.0,,,96-106,1,J. Parker makes free throw 1 of 2
0:12.0,,,96-106,,J. Parker misses free throw 2 of 2
0:12.0,J. Green enters the game for M. Gasol,,96-105,,
0:11.0,Defensive rebound by V. Carter,,96-106,,
0:02.0,V. Carter misses 3-pt shot from 28 ft,,96-106,,
0:01.0,,,96-106,,Defensive rebound by M. Dellavedova
0:00.0,End of 4th quarter,,,,End of 4th quarter
