time,Washington,pts.away,score,pts.home,LA Lakers
3:22.0,J. Wall makes free throw 2 of 2,1,105-104,,
3:04.0,,,105-104,,J. Clarkson misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by B. Beal,,105-104,,
2:51.0,B. Beal makes 2-pt shot from 17 ft,2,107-104,,
2:51.0,Shooting foul by J. Randle (drawn by B. Beal),,107-104,,
2:51.0,Official timeout,,107-104,,
2:51.0,B. Beal makes free throw 1 of 1,1,108-104,,
2:37.0,,,108-106,2,D. Russell makes 2-pt shot from 1 ft
2:19.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,110-106,,
2:05.0,Personal foul by M. Morris (drawn by D. Russell),,110-106,,
2:05.0,,,110-107,1,D. Russell makes free throw 1 of 2
2:05.0,,,110-108,1,D. Russell makes free throw 2 of 2
1:45.0,K. Oubre makes 3-pt shot from 24 ft (assist by J. Wall),3,113-108,,
1:27.0,,,113-108,,Turnover by J. Randle (bad pass; steal by M. Morris)
1:25.0,,,113-108,,Personal foul by J. Randle (drawn by K. Oubre)
1:25.0,K. Oubre makes free throw 1 of 2,1,114-108,,
1:25.0,K. Oubre makes free throw 2 of 2,1,115-108,,
1:25.0,,,115-108,,LA Lakers full timeout
1:17.0,,,115-108,,J. Clarkson misses 2-pt shot from 12 ft
1:16.0,,,115-108,,Offensive rebound by L. Nance
1:16.0,,,115-108,,L. Nance misses 2-pt shot from 1 ft
1:13.0,Defensive rebound by K. Oubre,,115-108,,
0:57.0,J. Wall makes 2-pt shot from 17 ft,2,117-108,,
0:57.0,,,117-108,,LA Lakers full timeout
0:54.0,,,117-108,,D. Russell misses 3-pt shot from 30 ft
0:53.0,Defensive rebound by M. Morris,,117-108,,
0:31.0,K. Oubre makes 2-pt shot from 10 ft,2,119-108,,
0:19.0,,,119-108,,T. Ennis misses 3-pt shot from 24 ft
0:18.0,,,119-108,,Offensive rebound by L. Nance
0:18.0,,,119-108,,L. Nance misses 2-pt shot from 6 ft
0:16.0,Defensive rebound by M. Morris,,119-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
