time,Chicago,pts.away,score,pts.home,Denver
4:19.0,,,99-100,1,D. Gallinari makes free throw 1 of 2
4:19.0,,,99-100,,D. Gallinari misses free throw 2 of 2
4:16.0,Defensive rebound by R. Rondo,,99-100,,
3:55.0,D. Wade misses 3-pt shot from 29 ft,,99-100,,
3:53.0,Offensive rebound by Team,,99-100,,
3:53.0,Turnover by Team (shot clock),,99-100,,
3:31.0,,,99-102,2,D. Gallinari makes 2-pt shot from 2 ft (assist by J. Nurkic)
3:18.0,,,99-102,,Personal foul by D. Gallinari (drawn by J. Butler)
3:08.0,R. Rondo makes 2-pt shot from 12 ft (assist by T. Gibson),2,101-102,,
2:52.0,,,101-102,,W. Chandler misses 2-pt shot from 4 ft (block by R. Lopez)
2:50.0,Defensive rebound by J. Butler,,101-102,,
2:36.0,Turnover by R. Rondo (lost ball; steal by D. Gallinari),,101-102,,
2:20.0,,,101-102,,W. Chandler misses 2-pt shot from 5 ft
2:19.0,Defensive rebound by R. Lopez,,101-102,,
2:04.0,R. Rondo misses 2-pt shot from 19 ft,,101-102,,
2:04.0,Offensive rebound by R. Lopez,,101-102,,
1:59.0,R. Lopez misses 2-pt shot from 3 ft,,101-102,,
1:59.0,,,101-102,,Defensive rebound by J. Nurkic
1:43.0,,,101-102,,W. Barton misses 2-pt shot from 4 ft (block by R. Lopez)
1:41.0,,,101-102,,Offensive rebound by W. Barton
1:40.0,,,101-105,3,D. Gallinari makes 3-pt shot from 26 ft (assist by W. Chandler)
1:40.0,Chicago full timeout,,101-105,,
1:25.0,Shooting foul by E. Mudiay (drawn by J. Butler),,101-105,,
1:25.0,J. Butler makes free throw 1 of 3,1,102-105,,
1:25.0,J. Butler makes free throw 2 of 3,1,103-105,,
1:25.0,J. Butler makes free throw 3 of 3,1,104-105,,
1:08.0,Personal foul by R. Rondo (drawn by E. Mudiay),,104-105,,
1:03.0,,,104-105,,Shooting foul by R. Lopez (drawn by E. Mudiay)
1:03.0,,,104-106,1,E. Mudiay makes free throw 1 of 2
1:03.0,,,104-107,1,E. Mudiay makes free throw 2 of 2
0:56.0,J. Butler makes 3-pt shot from 25 ft (assist by R. Rondo),3,107-107,,
0:38.0,,,107-107,,Turnover by J. Nurkic (offensive goaltending)
0:38.0,N. Mirotic enters the game for T. Gibson,,107-107,,
0:29.0,J. Butler misses 2-pt shot from 1 ft,,107-107,,
0:28.0,,,107-107,,Defensive rebound by J. Nurkic
0:20.0,,,107-107,,Denver full timeout
0:20.0,T. Gibson enters the game for N. Mirotic,,107-107,,
0:20.0,,,107-107,,J. Murray enters the game for E. Mudiay
0:15.0,,,107-107,,Denver full timeout
0:10.0,,,107-107,,Shooting foul by D. Wade (drawn by W. Barton)
0:10.0,,,107-108,1,W. Barton makes free throw 1 of 2
0:10.0,,,107-109,1,W. Barton makes free throw 2 of 2
0:10.0,Chicago full timeout,,107-109,,
0:10.0,I. Canaan enters the game for R. Lopez,,107-109,,
0:10.0,N. Mirotic enters the game for R. Rondo,,107-109,,
0:10.0,,,107-109,,E. Mudiay enters the game for D. Gallinari
0:10.0,,,107-109,,D. Gallinari enters the game for J. Nurkic
0:10.0,,,107-109,,K. Faried enters the game for J. Murray
0:05.0,I. Canaan misses 3-pt shot from 25 ft,,107-109,,
0:04.0,,,107-109,,Defensive rebound by K. Faried
0:03.0,,,107-109,,Denver full timeout
0:03.0,R. Rondo enters the game for I. Canaan,,107-109,,
0:03.0,,,107-109,,N. Jokic enters the game for K. Faried
0:01.0,Personal take foul by J. Butler (drawn by D. Gallinari),,107-109,,
0:01.0,,,107-110,1,D. Gallinari makes free throw 1 of 2
0:01.0,,,107-110,,D. Gallinari misses free throw 2 of 2
0:01.0,R. Lopez enters the game for N. Mirotic,,107-110,,
0:00.0,Defensive rebound by R. Lopez,,107-110,,
0:00.0,Chicago full timeout,,107-110,,
0:00.0,I. Canaan enters the game for R. Lopez,,107-110,,
0:00.0,,,107-110,,K. Faried enters the game for E. Mudiay
0:00.0,End of 4th quarter,,,,End of 4th quarter
