time,Golden State,pts.away,score,pts.home,Boston
1:49.0,,,99-87,2,J. Brown makes 2-pt shot from 11 ft
1:29.0,D. Green misses 2-pt shot from 2 ft,,99-87,,
1:28.0,,,99-87,,Defensive rebound by J. Young
1:26.0,,,99-87,,Shooting foul by P. McCaw (drawn by T. Zeller)
1:26.0,,,99-87,,T. Zeller misses free throw 1 of 2
1:26.0,,,99-87,,Offensive rebound by Team
1:26.0,,,99-88,1,T. Zeller makes free throw 2 of 2
1:13.0,S. Curry makes 3-pt shot from 24 ft,3,102-88,,
1:03.0,,,102-88,,J. Brown misses 3-pt shot from 27 ft
1:02.0,Defensive rebound by D. Green,,102-88,,
0:49.0,S. Curry makes 2-pt shot from 2 ft,2,104-88,,
0:36.0,,,104-88,,I. Thomas misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by S. Curry,,104-88,,
0:13.0,S. Curry misses 3-pt shot from 30 ft,,104-88,,
0:13.0,,,104-88,,Defensive rebound by Team
0:13.0,,,104-88,,D. Jackson enters the game for I. Thomas
0:00.0,End of 4th quarter,,,,End of 4th quarter
