time,Brooklyn,pts.away,score,pts.home,Minnesota
6:17.0,,,94-108,,Turnover by R. Rubio (bad pass)
6:05.0,S. Dinwiddie makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,96-108,,
5:51.0,,,96-111,3,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio)
5:38.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by K. Towns),,96-111,,
5:36.0,,,96-111,,Defensive rebound by Z. LaVine
5:16.0,,,96-111,,K. Towns misses 2-pt shot from 4 ft
5:15.0,,,96-111,,Offensive rebound by K. Towns
5:14.0,,,96-111,,Shooting foul by J. Hamilton (drawn by K. Towns)
5:14.0,,,96-113,2,K. Towns makes 2-pt shot from 1 ft
5:14.0,,,96-113,,Minnesota full timeout
5:14.0,,,96-113,,K. Towns misses free throw 1 of 1
5:14.0,Defensive rebound by L. Scola,,96-113,,
5:14.0,L. Scola enters the game for B. Lopez,,96-113,,
5:04.0,,,96-113,,Personal foul by A. Wiggins (drawn by B. Bogdanovic)
4:56.0,S. Dinwiddie makes 2-pt shot from 1 ft (assist by L. Scola),2,98-113,,
4:41.0,,,98-115,2,R. Rubio makes 2-pt shot from 19 ft
4:24.0,C. LeVert makes 2-pt shot from 1 ft,2,100-115,,
4:24.0,Shooting foul by A. Wiggins (drawn by C. LeVert),,100-115,,
4:24.0,C. LeVert makes free throw 1 of 1,1,101-115,,
4:07.0,,,101-115,,R. Rubio misses 2-pt shot from 1 ft (block by J. Hamilton)
4:05.0,,,101-115,,Offensive rebound by S. Muhammad
3:58.0,,,101-115,,R. Rubio misses 3-pt shot from 23 ft
3:56.0,Defensive rebound by J. Hamilton,,101-115,,
3:51.0,,,101-115,,Violation by K. Towns (def goaltending)
3:51.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,103-115,,
3:38.0,,,103-115,,Shooting foul by L. Scola (drawn by A. Wiggins)
3:38.0,,,103-116,1,A. Wiggins makes free throw 1 of 2
3:38.0,,,103-117,1,A. Wiggins makes free throw 2 of 2
3:38.0,I. Whitehead enters the game for S. Dinwiddie,,103-116,,
3:29.0,Turnover by J. Hamilton (bad pass; steal by A. Wiggins),,103-117,,
3:24.0,,,103-117,,Z. LaVine misses 3-pt shot from 24 ft
3:22.0,,,103-117,,Offensive rebound by K. Towns
3:21.0,,,103-117,,K. Towns misses 2-pt shot from 2 ft
3:19.0,Defensive rebound by L. Scola,,103-117,,
3:06.0,I. Whitehead misses 2-pt shot from 18 ft,,103-117,,
3:04.0,,,103-117,,Defensive rebound by K. Towns
2:42.0,,,103-119,2,S. Muhammad makes 2-pt shot from 12 ft (assist by R. Rubio)
2:28.0,Turnover by C. LeVert (bad pass),,103-119,,
2:28.0,Brooklyn full timeout,,103-119,,
2:28.0,S. Dinwiddie enters the game for B. Bogdanovic,,103-119,,
2:09.0,,,103-121,2,K. Towns makes 2-pt shot from 2 ft
2:01.0,Turnover by S. Dinwiddie (bad pass),,103-121,,
1:46.0,,,103-121,,K. Towns misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by J. Hamilton,,103-121,,
1:37.0,,,103-121,,Personal foul by S. Muhammad (drawn by L. Scola)
1:37.0,L. Scola misses free throw 1 of 2,,103-121,,
1:37.0,Offensive rebound by Team,,103-121,,
1:37.0,L. Scola makes free throw 2 of 2,1,104-121,,
1:37.0,,,103-121,,K. Dunn enters the game for R. Rubio
1:37.0,,,103-121,,T. Jones enters the game for Z. LaVine
1:37.0,,,103-121,,A. Payne enters the game for K. Towns
1:21.0,,,104-123,2,A. Wiggins makes 2-pt shot from 20 ft
1:12.0,S. Dinwiddie misses 3-pt shot from 23 ft,,104-123,,
1:11.0,,,104-123,,Defensive rebound by S. Muhammad
1:02.0,,,104-126,3,A. Wiggins makes 3-pt shot from 25 ft (assist by T. Jones)
0:53.0,Shooting foul by A. Payne (drawn by S. Dinwiddie),,104-126,,
0:53.0,S. Dinwiddie makes free throw 1 of 2,1,105-126,,
0:53.0,S. Dinwiddie makes free throw 2 of 2,1,106-126,,
0:53.0,,,105-126,,N. Bjelica enters the game for A. Wiggins
0:36.0,,,106-126,,T. Jones misses 2-pt shot from 18 ft
0:34.0,Defensive rebound by C. LeVert,,106-126,,
0:27.0,Shooting foul by S. Muhammad (drawn by C. LeVert),,106-126,,
0:27.0,C. LeVert makes free throw 1 of 2,1,107-126,,
0:27.0,C. LeVert misses free throw 2 of 2,,107-126,,
0:26.0,,,107-126,,Defensive rebound by A. Payne
0:10.0,,,107-129,3,N. Bjelica makes 3-pt shot from 24 ft (assist by S. Muhammad)
0:03.0,Shooting foul by A. Payne (drawn by S. Dinwiddie),,107-129,,
0:03.0,S. Dinwiddie makes free throw 1 of 2,1,108-129,,
0:03.0,S. Dinwiddie makes free throw 2 of 2,1,109-129,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
