time,Miami,pts.away,score,pts.home,Portland
2:01.0,,,92-90,,Defensive rebound by A. Crabbe
1:44.0,,,92-92,2,C. McCollum makes 2-pt shot from 2 ft
1:30.0,H. Whiteside misses 2-pt shot from 2 ft,,92-92,,
1:29.0,Offensive rebound by H. Whiteside,,92-92,,
1:29.0,H. Whiteside misses 2-pt shot at rim,,92-92,,
1:28.0,,,92-92,,Defensive rebound by M. Harkless
1:22.0,,,92-94,2,M. Harkless makes 2-pt shot from 3 ft (assist by D. Lillard)
1:22.0,Miami full timeout,,92-94,,
1:07.0,G. Dragic misses 2-pt shot from 8 ft,,92-94,,
1:06.0,,,92-94,,Defensive rebound by D. Lillard
0:55.0,,,92-96,2,C. McCollum makes 2-pt shot from 16 ft
0:46.0,G. Dragic misses 2-pt shot from 6 ft,,92-96,,
0:44.0,,,92-96,,Defensive rebound by M. Harkless
0:22.0,,,92-96,,A. Crabbe misses 3-pt shot from 25 ft
0:21.0,,,92-96,,Offensive rebound by M. Harkless
0:18.0,Personal take foul by W. Ellington (drawn by D. Lillard),,92-96,,
0:17.0,Personal take foul by H. Whiteside (drawn by M. Plumlee),,92-96,,
0:17.0,,,92-97,1,M. Plumlee makes free throw 1 of 2
0:17.0,,,92-97,,M. Plumlee misses free throw 2 of 2
0:17.0,Defensive rebound by H. Whiteside,,92-97,,
0:17.0,Miami full timeout,,92-97,,
0:17.0,J. McRoberts enters the game for W. Ellington,,92-97,,
0:17.0,W. Ellington enters the game for H. Whiteside,,92-97,,
0:15.0,W. Ellington misses 3-pt shot from 26 ft,,92-97,,
0:12.0,Offensive rebound by Team,,92-97,,
0:08.0,J. McRoberts misses 3-pt shot from 22 ft,,92-97,,
0:06.0,,,92-97,,Defensive rebound by A. Crabbe
0:06.0,Personal take foul by T. Johnson (drawn by A. Crabbe),,92-97,,
0:06.0,,,92-98,1,A. Crabbe makes free throw 1 of 2
0:06.0,,,92-99,1,A. Crabbe makes free throw 2 of 2
0:06.0,Miami full timeout,,92-99,,
0:06.0,H. Whiteside enters the game for W. Ellington,,92-98,,
0:06.0,W. Ellington enters the game for H. Whiteside,,92-99,,
0:00.0,R. McGruder misses 3-pt shot from 23 ft,,92-99,,
0:00.0,,,92-99,,Defensive rebound by D. Lillard
0:00.0,End of 4th quarter,,,,End of 4th quarter
