time,Utah,pts.away,score,pts.home,Indiana
2:12.0,G. Hayward makes 2-pt shot from 2 ft (assist by J. Ingles),2,97-100,,
2:11.0,,,97-100,,Indiana full timeout
2:11.0,,,97-100,,M. Ellis enters the game for C. Miles
1:58.0,,,97-103,3,P. George makes 3-pt shot from 27 ft (assist by M. Ellis)
1:45.0,G. Hill makes 2-pt shot from 4 ft,2,99-103,,
1:45.0,Shooting foul by J. Teague (drawn by G. Hill),,99-103,,
1:45.0,G. Hill makes free throw 1 of 1,1,100-103,,
1:30.0,,,100-103,,P. George misses 2-pt shot from 3 ft (block by R. Gobert)
1:30.0,Defensive rebound by J. Johnson,,100-103,,
1:25.0,G. Hayward misses 3-pt shot from 26 ft,,100-103,,
1:23.0,Offensive rebound by R. Gobert,,100-103,,
1:23.0,R. Gobert misses 2-pt shot from 1 ft,,100-103,,
1:22.0,,,100-103,,Defensive rebound by P. George
1:01.0,,,100-103,,M. Ellis misses 2-pt shot from 2 ft (block by R. Gobert)
0:59.0,Defensive rebound by J. Ingles,,100-103,,
0:41.0,R. Gobert misses 2-pt shot from 1 ft (block by P. George),,100-103,,
0:40.0,,,100-103,,Defensive rebound by M. Ellis
0:19.0,,,100-105,2,P. George makes 2-pt shot from 20 ft
0:19.0,Utah full timeout,,100-105,,
0:13.0,J. Johnson misses 3-pt shot from 27 ft,,100-105,,
0:12.0,Offensive rebound by J. Ingles,,100-105,,
0:08.0,G. Hill misses 3-pt shot from 24 ft (block by M. Turner),,100-105,,
0:06.0,,,100-105,,Defensive rebound by J. Teague
0:06.0,Personal foul by J. Johnson (drawn by J. Teague),,100-105,,
0:06.0,,,100-105,,Indiana full timeout
0:06.0,R. Neto enters the game for R. Gobert,,100-105,,
0:06.0,,,100-105,,C. Miles enters the game for T. Young
0:05.0,Personal take foul by R. Neto (drawn by P. George),,100-105,,
0:05.0,,,100-106,1,P. George makes free throw 1 of 2
0:05.0,,,100-107,1,P. George makes free throw 2 of 2
0:05.0,R. Gobert enters the game for R. Neto,,100-106,,
0:01.0,G. Hill misses 3-pt shot from 30 ft,,100-107,,
0:00.0,,,100-107,,Defensive rebound by M. Ellis
0:00.0,End of 4th quarter,,,,End of 4th quarter
