time,Denver,pts.away,score,pts.home,Chicago
1:39.0,,,123-104,2,J. Lauvergne makes 2-pt shot from 7 ft (assist by C. Payne)
1:20.0,W. Barton misses 3-pt shot from 26 ft,,123-104,,
1:19.0,,,123-104,,Defensive rebound by J. Lauvergne
1:08.0,,,123-107,3,C. Payne makes 3-pt shot from 26 ft (assist by B. Portis)
0:52.0,W. Barton makes 2-pt shot from 1 ft,2,125-107,,
0:41.0,,,125-107,,C. Payne misses 2-pt shot from 22 ft
0:40.0,Defensive rebound by J. Hernangomez,,125-107,,
0:28.0,Turnover by W. Barton (bad pass; steal by J. Lauvergne),,125-107,,
0:11.0,,,125-107,,J. Lauvergne misses 2-pt shot from 9 ft
0:10.0,Defensive rebound by W. Barton,,125-107,,
0:01.0,Turnover by W. Barton (lost ball; steal by B. Portis),,125-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
