time,Milwaukee,pts.away,score,pts.home,Portland
4:41.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,85-84,,
4:41.0,,,85-84,,Defensive rebound by C. McCollum
4:31.0,,,85-86,2,C. McCollum makes 2-pt shot from 1 ft
4:09.0,K. Middleton misses 2-pt shot from 15 ft,,85-86,,
4:08.0,,,85-86,,Defensive rebound by A. Crabbe
3:58.0,,,85-86,,A. Crabbe misses 3-pt shot from 23 ft
3:57.0,,,85-86,,Offensive rebound by M. Harkless
3:46.0,,,85-88,2,C. McCollum makes 2-pt shot from 1 ft
3:46.0,Milwaukee full timeout,,85-88,,
3:46.0,J. Henson enters the game for M. Dellavedova,,85-88,,
3:46.0,M. Brogdon enters the game for J. Terry,,85-88,,
3:33.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,85-88,,
3:31.0,Offensive rebound by G. Antetokounmpo,,85-88,,
3:31.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,87-88,,
3:18.0,,,87-88,,D. Lillard misses 3-pt shot from 28 ft (block by K. Middleton)
3:16.0,,,87-88,,Offensive rebound by N. Vonleh
3:12.0,,,87-90,2,D. Lillard makes 2-pt shot from 13 ft (assist by C. McCollum)
2:54.0,M. Brogdon makes 2-pt shot from 1 ft,2,89-90,,
2:28.0,,,89-90,,N. Vonleh misses 2-pt shot from 2 ft
2:27.0,Defensive rebound by T. Snell,,89-90,,
2:15.0,K. Middleton makes 2-pt shot from 8 ft,2,91-90,,
1:56.0,,,91-90,,A. Crabbe misses 2-pt shot from 2 ft (block by J. Henson)
1:55.0,Defensive rebound by G. Antetokounmpo,,91-90,,
1:39.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,91-90,,
1:39.0,Offensive rebound by J. Henson,,91-90,,
1:39.0,J. Henson makes 2-pt shot from 1 ft,2,93-90,,
1:39.0,,,93-90,,Portland full timeout
1:39.0,,,93-90,,J. Nurkic enters the game for N. Vonleh
1:28.0,,,93-90,,Turnover by J. Nurkic (lost ball)
1:04.0,K. Middleton misses 2-pt shot from 21 ft (block by A. Crabbe),,93-90,,
1:03.0,,,93-90,,Defensive rebound by J. Nurkic
0:57.0,,,93-90,,D. Lillard misses 3-pt shot from 30 ft
0:56.0,Defensive rebound by M. Brogdon,,93-90,,
0:48.0,Turnover by K. Middleton (lost ball; steal by A. Crabbe),,93-90,,
0:42.0,,,93-90,,C. McCollum misses 2-pt shot from 1 ft
0:39.0,Defensive rebound by T. Snell,,93-90,,
0:19.0,K. Middleton misses 2-pt shot from 19 ft,,93-90,,
0:17.0,,,93-90,,Defensive rebound by D. Lillard
0:07.0,,,93-90,,D. Lillard misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
0:06.0,,,93-90,,Offensive rebound by Team
0:06.0,,,93-90,,E. Turner enters the game for A. Crabbe
0:00.0,,,93-90,,D. Lillard misses 3-pt shot from 28 ft
0:00.0,Defensive rebound by J. Henson,,93-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
