time,Orlando,pts.away,score,pts.home,Houston
5:14.0,,,97-106,,E. Gordon misses 3-pt shot from 23 ft
5:13.0,Defensive rebound by E. Fournier,,97-106,,
5:11.0,Turnover by E. Fournier (bad pass; steal by J. Harden),,97-106,,
5:05.0,,,97-109,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
4:41.0,N. Vucevic misses 2-pt shot from 13 ft,,97-109,,
4:40.0,,,97-109,,Defensive rebound by J. Harden
4:28.0,,,97-109,,J. Harden misses 2-pt shot from 5 ft
4:27.0,Defensive rebound by N. Vucevic,,97-109,,
4:23.0,Shooting foul by R. Anderson (drawn by D. Augustin),,97-109,,
4:23.0,D. Augustin misses free throw 1 of 2,,97-109,,
4:23.0,Offensive rebound by Team,,97-109,,
4:23.0,D. Augustin misses free throw 2 of 2,,97-109,,
4:20.0,,,97-109,,Defensive rebound by Team
4:20.0,E. Payton enters the game for D. Augustin,,97-109,,
4:20.0,M. Hezonja enters the game for S. Ibaka,,97-109,,
4:20.0,,,97-109,,P. Beverley enters the game for R. Anderson
4:09.0,,,97-112,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
4:08.0,Orlando full timeout,,97-112,,
4:08.0,S. Ibaka enters the game for M. Hezonja,,97-112,,
3:56.0,E. Fournier misses 3-pt shot from 25 ft,,97-112,,
3:56.0,Offensive rebound by S. Ibaka,,97-112,,
3:48.0,S. Ibaka misses 2-pt shot from 9 ft,,97-112,,
3:47.0,,,97-112,,Defensive rebound by C. Capela
3:46.0,,,97-112,,Turnover by J. Harden (traveling)
3:40.0,N. Vucevic misses 2-pt shot from 8 ft,,97-112,,
3:39.0,,,97-112,,Defensive rebound by E. Gordon
3:22.0,,,97-114,2,P. Beverley makes 2-pt shot from 6 ft (assist by J. Harden)
3:10.0,S. Ibaka makes 2-pt shot from 7 ft (assist by N. Vucevic),2,99-114,,
2:48.0,,,99-116,2,P. Beverley makes 2-pt shot from 2 ft (assist by T. Ariza)
2:48.0,,,99-116,,Shooting foul by C. Watson (drawn by P. Beverley)
2:48.0,Orlando full timeout,,99-116,,
2:48.0,,,99-117,1,P. Beverley makes free throw 1 of 1
2:38.0,Offensive foul by N. Vucevic,,99-117,,
2:38.0,Turnover by N. Vucevic (offensive foul),,99-117,,
2:27.0,,,99-117,,Shooting foul by N. Vucevic (drawn by C. Capela)
2:27.0,,,99-118,1,C. Capela makes free throw 1 of 2
2:27.0,,,99-118,,C. Capela misses free throw 2 of 2
2:27.0,Defensive rebound by M. Hezonja,,99-118,,
2:27.0,D. Augustin enters the game for S. Ibaka,,99-118,,
2:27.0,D. Rudez enters the game for N. Vucevic,,99-118,,
2:27.0,M. Hezonja enters the game for E. Fournier,,99-118,,
2:27.0,B. Biyombo enters the game for C. Watson,,99-118,,
2:03.0,Turnover by M. Hezonja (lost ball; steal by P. Beverley),,99-118,,
1:56.0,,,99-118,,J. Harden misses 3-pt shot from 26 ft
1:56.0,,,99-118,,Offensive rebound by P. Beverley
1:56.0,,,99-120,2,P. Beverley makes 2-pt shot from 5 ft
1:43.0,E. Payton misses 2-pt shot from 16 ft,,99-120,,
1:42.0,Offensive rebound by Team,,99-120,,
1:42.0,,,99-120,,S. Dekker enters the game for T. Ariza
1:42.0,,,99-120,,T. Ennis enters the game for C. Capela
1:42.0,,,99-120,,B. Brown enters the game for P. Beverley
1:42.0,,,99-120,,K. McDaniels enters the game for J. Harden
1:42.0,,,99-120,,C. Brewer enters the game for E. Gordon
1:35.0,D. Rudez misses 3-pt shot from 25 ft,,99-120,,
1:34.0,,,99-120,,Defensive rebound by Team
1:23.0,,,99-122,2,K. McDaniels makes 2-pt shot from 2 ft (assist by S. Dekker)
1:06.0,Shooting foul by K. McDaniels (drawn by B. Biyombo),,99-122,,
1:06.0,B. Biyombo misses free throw 1 of 2,,99-122,,
1:06.0,Offensive rebound by Team,,99-122,,
1:06.0,B. Biyombo misses free throw 2 of 2,,99-122,,
1:06.0,,,99-122,,Defensive rebound by C. Brewer
0:55.0,,,99-125,3,S. Dekker makes 3-pt shot from 26 ft
0:42.0,B. Biyombo makes 2-pt shot from 2 ft (assist by D. Rudez),2,101-125,,
0:30.0,,,101-128,3,S. Dekker makes 3-pt shot from 25 ft (assist by T. Ennis)
0:18.0,M. Hezonja makes 3-pt shot from 24 ft (assist by E. Payton),3,104-128,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
