time,Minnesota,pts.away,score,pts.home,LA Lakers
2:30.0,,,101-101,,Shooting foul by K. Towns (drawn by J. Randle)
2:30.0,Minnesota full timeout,,101-101,,
2:30.0,,,101-102,1,J. Randle makes free throw 1 of 2
2:30.0,,,101-103,1,J. Randle makes free throw 2 of 2
2:30.0,,,101-101,,M. World Peace enters the game for C. Brewer
2:18.0,Shooting foul by L. Nance (drawn by A. Wiggins),,101-103,,
2:18.0,A. Wiggins makes free throw 1 of 2,1,102-103,,
2:18.0,A. Wiggins makes free throw 2 of 2,1,103-103,,
2:05.0,,,103-103,,Turnover by D. Russell (bad pass)
1:46.0,K. Towns makes 2-pt shot from 4 ft,2,105-103,,
1:36.0,,,105-103,,M. World Peace misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by K. Towns,,105-103,,
1:19.0,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio),2,107-103,,
1:04.0,,,107-103,,J. Randle misses 3-pt shot from 24 ft
1:03.0,,,107-103,,Offensive rebound by L. Nance
0:59.0,,,107-103,,D. Russell misses 3-pt shot from 25 ft
0:57.0,,,107-103,,Offensive rebound by L. Nance
0:53.0,,,107-105,2,J. Clarkson makes 2-pt shot from 12 ft (assist by L. Nance)
0:34.0,A. Wiggins makes 2-pt shot from 1 ft,2,109-105,,
0:34.0,,,109-105,,LA Lakers full timeout
0:32.0,,,109-107,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
0:32.0,,,109-107,,Shooting foul by K. Towns (drawn by J. Randle)
0:32.0,,,109-107,,J. Randle misses free throw 1 of 1
0:28.0,Defensive rebound by K. Towns,,109-107,,
0:11.0,R. Rubio misses 2-pt shot from 2 ft (block by L. Nance),,109-107,,
0:09.0,,,109-107,,Defensive rebound by D. Russell
0:05.0,,,109-107,,M. World Peace misses 3-pt shot from 23 ft
0:03.0,,,109-107,,Offensive rebound by J. Randle
0:02.0,,,109-110,3,D. Russell makes 3-pt shot from 25 ft (assist by J. Randle)
0:00.0,End of 4th quarter,,,,End of 4th quarter
