time,LA Lakers,pts.away,score,pts.home,Washington
4:42.0,D. Russell misses 2-pt shot from 1 ft (block by B. Beal),,96-101,,
4:40.0,Offensive rebound by L. Deng,,96-101,,
4:38.0,Offensive charge foul by L. Deng,,96-101,,
4:38.0,Turnover by L. Deng (offensive foul),,96-101,,
4:23.0,,,96-103,2,M. Morris makes 2-pt shot at rim (assist by B. Beal)
4:06.0,,,96-103,,Personal foul by M. Gortat (drawn by T. Black)
3:55.0,L. Deng makes 3-pt shot from 25 ft (assist by D. Russell),3,99-103,,
3:40.0,,,99-103,,B. Beal misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by T. Black,,99-103,,
3:30.0,D. Russell misses 2-pt shot from 11 ft,,99-103,,
3:29.0,,,99-103,,Defensive rebound by M. Morris
3:28.0,Personal foul by T. Black (drawn by M. Morris),,99-103,,
3:28.0,,,99-104,1,M. Morris makes free throw 1 of 2
3:28.0,,,99-105,1,M. Morris makes free throw 2 of 2
3:23.0,L. Williams misses 3-pt shot from 26 ft,,99-105,,
3:22.0,Offensive rebound by Team,,99-105,,
3:22.0,LA Lakers full timeout,,99-105,,
3:15.0,L. Williams makes 2-pt shot from 7 ft (assist by T. Black),2,101-105,,
2:50.0,,,101-108,3,O. Porter makes 3-pt shot from 27 ft (assist by B. Beal)
2:29.0,T. Black makes 2-pt shot at rim (assist by L. Williams),2,103-108,,
2:09.0,,,103-108,,B. Beal misses 2-pt shot from 2 ft
2:08.0,Defensive rebound by T. Black,,103-108,,
1:49.0,,,103-108,,Violation by M. Morris (def goaltending)
1:49.0,J. Clarkson makes 2-pt shot from 2 ft,2,105-108,,
1:34.0,,,105-108,,Turnover by J. Wall (bad pass; steal by D. Russell)
1:18.0,Turnover by T. Black (lost ball; steal by J. Wall),,105-108,,
1:06.0,,,105-110,2,J. Wall makes 2-pt shot from 19 ft
1:02.0,Shooting foul by M. Morris (drawn by T. Black),,105-110,,
1:02.0,Official timeout,,105-110,,
1:02.0,Violation by Team (jump ball),,105-110,,
1:02.0,T. Black makes free throw 1 of 2,1,106-110,,
1:02.0,T. Black misses free throw 2 of 2,,106-110,,
1:02.0,B. Ingram enters the game for L. Williams,,105-110,,
1:01.0,,,106-110,,Defensive rebound by O. Porter
0:38.0,,,106-112,2,J. Wall makes 2-pt shot from 16 ft
0:38.0,LA Lakers full timeout,,106-112,,
0:38.0,L. Williams enters the game for B. Ingram,,106-112,,
0:38.0,,,106-112,,K. Oubre enters the game for M. Gortat
0:34.0,D. Russell misses 3-pt shot from 31 ft,,106-112,,
0:33.0,Offensive rebound by L. Deng,,106-112,,
0:29.0,L. Williams misses 3-pt shot from 24 ft,,106-112,,
0:28.0,,,106-112,,Defensive rebound by M. Morris
0:22.0,Personal take foul by D. Russell (drawn by J. Wall),,106-112,,
0:22.0,,,106-113,1,J. Wall makes free throw 1 of 2
0:22.0,,,106-114,1,J. Wall makes free throw 2 of 2
0:22.0,LA Lakers full timeout,,106-114,,
0:17.0,J. Clarkson makes 2-pt shot from 2 ft (assist by D. Russell),2,108-114,,
0:17.0,Personal foul by L. Williams,,108-114,,
0:17.0,,,108-115,1,J. Wall makes free throw 1 of 2
0:17.0,,,108-116,1,J. Wall makes free throw 2 of 2
0:11.0,D. Russell misses 3-pt shot from 27 ft,,108-116,,
0:10.0,,,108-116,,Defensive rebound by M. Morris
0:00.0,End of 4th quarter,,,,End of 4th quarter
