time,Minnesota,pts.away,score,pts.home,Toronto
3:30.0,Shooting foul by J. Valanciunas (drawn by Z. LaVine),,101-113,,
3:30.0,Z. LaVine makes free throw 1 of 2,1,102-113,,
3:30.0,Z. LaVine makes free throw 2 of 2,1,103-113,,
3:22.0,,,103-113,,Turnover by D. DeRozan (bad pass)
3:08.0,Z. LaVine makes 3-pt shot from 26 ft,3,106-113,,
3:06.0,,,106-113,,Toronto full timeout
2:43.0,,,106-113,,K. Lowry misses 2-pt shot from 14 ft
2:43.0,,,106-113,,Offensive rebound by Team
2:42.0,Loose ball foul by K. Towns (drawn by J. Valanciunas),,106-113,,
2:33.0,,,106-113,,Shooting foul by R. Rubio (drawn by D. DeRozan)
2:33.0,,,106-114,1,D. DeRozan makes free throw 1 of 2
2:33.0,,,106-115,1,D. DeRozan makes free throw 2 of 2
2:24.0,Offensive foul by G. Dieng,,106-115,,
2:24.0,Turnover by G. Dieng (offensive foul),,106-115,,
2:01.0,,,106-115,,D. DeRozan misses 2-pt shot from 6 ft
2:00.0,Defensive rebound by K. Towns,,106-115,,
1:49.0,Turnover by K. Towns (bad pass),,106-115,,
1:32.0,,,106-118,3,D. DeRozan makes 3-pt shot from 24 ft (assist by K. Lowry)
1:32.0,Minnesota full timeout,,106-118,,
1:28.0,Shooting foul by J. Valanciunas (drawn by A. Wiggins),,106-118,,
1:28.0,A. Wiggins makes free throw 1 of 2,1,107-118,,
1:28.0,A. Wiggins makes free throw 2 of 2,1,108-118,,
1:09.0,,,108-118,,K. Lowry misses 2-pt shot from 3 ft (block by K. Towns)
1:09.0,,,108-118,,Offensive rebound by Team
1:07.0,,,108-118,,Shooting foul by Z. LaVine (drawn by P. Patterson)
1:07.0,,,108-119,1,P. Patterson makes free throw 1 of 2
1:07.0,,,108-119,,P. Patterson misses free throw 2 of 2
1:06.0,Defensive rebound by G. Dieng,,108-119,,
1:01.0,Z. LaVine makes 2-pt shot from 4 ft,2,110-119,,
0:58.0,,,110-119,,D. Carroll misses 2-pt shot from 3 ft
0:58.0,,,110-119,,Offensive rebound by D. DeRozan
0:58.0,,,110-121,2,D. DeRozan makes 2-pt shot at rim
0:58.0,Minnesota full timeout,,110-121,,
0:55.0,K. Towns misses 2-pt shot from 5 ft,,110-121,,
0:55.0,,,110-121,,Defensive rebound by D. DeRozan
0:38.0,,,110-121,,P. Patterson misses 3-pt shot from 24 ft
0:37.0,,,110-121,,Offensive rebound by D. Carroll
0:35.0,,,110-121,,Shooting foul by A. Wiggins (drawn by D. Carroll)
0:35.0,,,110-121,,D. Carroll misses free throw 1 of 2
0:35.0,,,110-121,,Offensive rebound by Team
0:35.0,,,110-122,1,D. Carroll makes free throw 2 of 2
0:35.0,N. Bjelica enters the game for A. Wiggins,,110-121,,
0:35.0,T. Jones enters the game for K. Towns,,110-121,,
0:35.0,K. Dunn enters the game for Z. LaVine,,110-121,,
0:35.0,,,110-121,,C. Joseph enters the game for D. DeRozan
0:35.0,,,110-121,,N. Powell enters the game for K. Lowry
0:35.0,,,110-121,,P. Siakam enters the game for P. Patterson
0:18.0,N. Bjelica misses 3-pt shot from 26 ft,,110-122,,
0:18.0,,,110-122,,Defensive rebound by P. Siakam
0:17.0,Personal foul by G. Dieng (drawn by P. Siakam),,110-122,,
0:17.0,,,110-123,1,P. Siakam makes free throw 1 of 2
0:17.0,,,110-124,1,P. Siakam makes free throw 2 of 2
0:05.0,T. Jones misses 3-pt shot from 25 ft,,110-124,,
0:05.0,,,110-124,,Defensive rebound by D. Carroll
0:00.0,End of 4th quarter,,,,End of 4th quarter
