time,Philadelphia,pts.away,score,pts.home,Orlando
7:39.0,,,90-96,1,N. Vucevic makes free throw 2 of 2
7:26.0,D. Saric misses 2-pt shot from 11 ft,,90-96,,
7:25.0,,,90-96,,Defensive rebound by N. Vucevic
7:16.0,,,90-98,2,E. Payton makes 2-pt shot at rim
7:02.0,Turnover by N. Stauskas (bad pass),,90-98,,
6:49.0,Violation by S. Rodriguez (kicked ball),,90-98,,
6:35.0,,,90-98,,J. Green misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by D. Saric,,90-98,,
6:25.0,S. Rodriguez misses 2-pt shot from 20 ft,,90-98,,
6:24.0,,,90-98,,Defensive rebound by N. Vucevic
6:08.0,,,90-98,,D. Augustin misses 2-pt shot from 6 ft (block by N. Noel)
6:06.0,Defensive rebound by N. Noel,,90-98,,
6:00.0,N. Stauskas misses 3-pt shot from 26 ft,,90-98,,
5:59.0,,,90-98,,Defensive rebound by N. Vucevic
5:50.0,,,90-98,,E. Payton misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by N. Stauskas,,90-98,,
5:40.0,Shooting foul by J. Green (drawn by D. Saric),,90-98,,
5:40.0,Official timeout,,90-98,,
5:40.0,,,90-98,,Technical foul by J. Green (drawn by D. Saric)
5:40.0,N. Stauskas makes technical free throw,1,91-98,,
5:40.0,D. Saric makes free throw 1 of 2,1,92-98,,
5:40.0,D. Saric makes free throw 2 of 2,1,93-98,,
5:40.0,,,90-98,,S. Ibaka enters the game for E. Payton
5:40.0,,,90-98,,C. Watson enters the game for J. Green
5:27.0,,,93-98,,Turnover by E. Fournier (lost ball; steal by R. Covington)
5:24.0,D. Saric makes 2-pt shot from 1 ft (assist by N. Noel),2,95-98,,
5:24.0,Shooting foul by S. Ibaka (drawn by D. Saric),,95-98,,
5:24.0,D. Saric makes free throw 1 of 1,1,96-98,,
5:04.0,,,96-98,,C. Watson misses 2-pt shot from 19 ft
5:03.0,Defensive rebound by N. Stauskas,,96-98,,
4:46.0,N. Stauskas misses 2-pt shot from 20 ft,,96-98,,
4:45.0,Offensive rebound by D. Saric,,96-98,,
4:45.0,D. Saric makes 2-pt shot from 5 ft,2,98-98,,
4:45.0,,,98-98,,Orlando full timeout
4:45.0,,,98-98,,Technical foul by S. Ibaka
4:45.0,Technical foul by N. Noel,,98-98,,
4:45.0,T. McConnell enters the game for S. Rodriguez,,98-98,,
4:33.0,,,98-101,3,E. Fournier makes 3-pt shot from 24 ft (assist by D. Augustin)
4:11.0,R. Covington misses 3-pt shot from 26 ft,,98-101,,
4:11.0,,,98-101,,Defensive rebound by D. Augustin
4:05.0,,,98-103,2,C. Watson makes 2-pt shot from 2 ft (assist by D. Augustin)
3:48.0,R. Covington misses 2-pt shot from 3 ft (block by S. Ibaka),,98-103,,
3:48.0,,,98-103,,Defensive rebound by Team
3:30.0,,,98-105,2,D. Augustin makes 2-pt shot from 2 ft
3:11.0,Shooting foul by E. Fournier (drawn by R. Covington),,98-105,,
3:11.0,R. Covington makes free throw 1 of 2,1,99-105,,
3:11.0,R. Covington misses free throw 2 of 2,,99-105,,
3:11.0,E. Ilyasova enters the game for N. Noel,,99-105,,
3:09.0,,,99-105,,Defensive rebound by E. Fournier
2:50.0,,,99-105,,Turnover by E. Fournier (bad pass; steal by D. Saric)
2:41.0,R. Covington makes 2-pt shot from 6 ft (assist by T. McConnell),2,101-105,,
2:31.0,Personal foul by E. Ilyasova (drawn by C. Watson),,101-105,,
2:31.0,,,101-106,1,C. Watson makes free throw 1 of 2
2:31.0,,,101-107,1,C. Watson makes free throw 2 of 2
2:23.0,T. McConnell makes 2-pt shot from 13 ft,2,103-107,,
2:02.0,,,103-107,,S. Ibaka misses 2-pt shot from 3 ft
2:02.0,,,103-107,,Offensive rebound by S. Ibaka
2:02.0,Personal foul by R. Covington (drawn by S. Ibaka),,103-107,,
2:02.0,,,103-108,1,S. Ibaka makes free throw 1 of 2
2:02.0,,,103-109,1,S. Ibaka makes free throw 2 of 2
1:48.0,E. Ilyasova misses 3-pt shot from 24 ft,,103-109,,
1:47.0,Offensive rebound by N. Stauskas,,103-109,,
1:45.0,Shooting foul by N. Vucevic (drawn by E. Ilyasova),,103-109,,
1:45.0,E. Ilyasova makes free throw 1 of 2,1,104-109,,
1:45.0,E. Ilyasova makes free throw 2 of 2,1,105-109,,
1:29.0,,,105-109,,Turnover by N. Vucevic (lost ball; steal by E. Ilyasova)
1:18.0,Shooting foul by N. Vucevic (drawn by E. Ilyasova),,105-109,,
1:18.0,E. Ilyasova makes free throw 1 of 2,1,106-109,,
1:18.0,E. Ilyasova misses free throw 2 of 2,,106-109,,
1:18.0,Offensive rebound by D. Saric,,106-109,,
1:17.0,,,106-109,,Personal foul by S. Ibaka (drawn by E. Ilyasova)
1:17.0,E. Ilyasova makes free throw 1 of 2,1,107-109,,
1:17.0,E. Ilyasova makes free throw 2 of 2,1,108-109,,
1:17.0,,,108-109,,Orlando full timeout
0:52.0,,,108-109,,E. Fournier misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by T. McConnell,,108-109,,
0:35.0,D. Saric makes 2-pt shot at rim (assist by T. McConnell),2,110-109,,
0:35.0,,,110-109,,Orlando full timeout
0:34.0,,,110-109,,Orlando full timeout
0:27.0,,,110-111,2,N. Vucevic makes 2-pt shot from 7 ft
0:27.0,Philadelphia full timeout,,110-111,,
0:27.0,,,110-111,,E. Payton enters the game for D. Augustin
0:15.0,E. Ilyasova misses 2-pt shot from 21 ft (block by N. Vucevic),,110-111,,
0:14.0,Offensive rebound by Team,,110-111,,
0:12.0,Jump ball: E. Fournier vs. E. Ilyasova (T. McConnell gains possession),,,,Jump ball: E. Fournier vs. E. Ilyasova (T. McConnell gains possession)
0:06.0,T. McConnell makes 2-pt shot from 9 ft,2,112-111,,
0:02.0,,,112-111,,Turnover by E. Fournier (bad pass; steal by T. McConnell)
0:00.0,End of 4th quarter,,,,End of 4th quarter
